name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Armaan Balasubramanian,Female,1/7/2018,Muli,ST,Yes,84379715,Christian,SHRI GOVERNMENT HIGH SCHOOL,Panchmahals,Bullying/Harassment,11th,C,186-909-5245,ArmaanBalasubramanian@gmail.com,68078,Government,Rati Ghosh,Aradhya Butala,Malayalam,Bangla,Farmer,Accountant,Other/Unknown,High School,8595-8236-4193,6991-1726-3547-6474,Central Bank Of India,Individual,A+,4FWYLUNVW2J,393078
Oorja Lata,Female,8/7/2013,Dhandhuka,ST,Yes,42704488,Muslim,DIGVIJAYSINHJI NEW GOVT.SCHOOL,Bhavnagar,Bullying/Harassment,6th,D,840-964-1748,OorjaLata@gmail.com,83710,Government,Shayak Dubey,Tiya Sankar,Bangla,Punjabi,Artist,Pharmacist,Bachelor's Degree,No Formal Education,3618-9692-5930,9400-5551-5463-7476,Punjab National Bank,Joint,A+,ND16LZIZKYT,399824
Krish Johal,Male,4/2/2013,Halol,ST,Yes,35179268,Christian,GOVT SECONDARY SCHOOL,Mahesana,Inadequate Teaching,6th,E,834-955-5123,KrishJohal@gmail.com,61906,Government,Samar Iyer,Anya Kari,Marathi,Punjabi,Retired,Homemaker,Some College/Associate's Degree,Some College/Associate's Degree,2682-5642-8607,3037-9701-6774-1376,Indian Bank,Individual,AB+,8XYHVVYD5SF,384890
Ahana  Kamdar,Female,1/6/2013,Bhachau,General,Yes,11910739,Muslim,GOVT SECONDARY SCHOOL,Panchmahals,Marriage,6th,F,770-425-7485,AhanaKamdar@gmail.com,72973,Government,Manikya Verma,Tiya Garg,Urdu,Kashmiri,Other,Retired,Doctorate/Ph.D.,Middle School,2335-5280-7423,4093-6971-5304-3003,HDFC Bank,Individual,B+,5ZVVFJK1KAC,381684
Jivika Gokhale,Female,12/4/2018,Becharaji,DT,Yes,88218901,Muslim,SHREE HARDHOL GOVT. HIGH SCHOOL,Narmada,Transportation Issues,11th,U,925-369-8137,JivikaGokhale@gmail.com,55324,Government,Jayesh Bhalla,Himmat Dhaliwal,Kashmiri,Urdu,Teacher,IT Professional,Master's Degree,Middle School,5239-5066-2712,1452-5498-3597-3466,State Bank Of India,Joint,O+,PCAOAJILKL0,385804
Ahana  Ray,Female,1/24/2011,Khanpur,DT,Yes,42558541,Muslim,NAWANAGAR(GOV) HIGH SCHOOL,Ahmedabad,Transportation Issues,8th,F,350-657-5632,AhanaRay@gmail.com,48392,Government,Hazel Sami,Heer Rau,Telugu,Others,Business Owner,Pharmacist,Some College/Associate's Degree,Master's Degree,9317-2374-4960,8294-1858-1672-9079,ICICI Bank,Individual,O+,EQUQW7Y52N9,380343
Ojas Vohra,Male,8/22/2016,Amirgadh,ST,Yes,94869647,Hindu,GOVT. HIGH SEC. SCHOOL,Jamnagar,Health Issues,3rd,Q,488-628-4264,OjasVohra@gmail.com,69757,Government,Jayesh Aggarwal,Nishith Ghose,Gujarati,Others,Artist,Sales Representative,No Formal Education,Doctorate/Ph.D.,1585-6699-4999,6818-9495-7363-7183,IDBI Bank,Joint,B+,5RU21NFSLV9,385234
Sara Magar,Male,6/7/2018,Mahuva,SEBC,Yes,11973574,Hindu,GOVT. HIGH SEC. SCHOOL,Patan,Health Issues,10th,Y,519-383-6706,SaraMagar@gmail.com,80411,Government,Himmat Bhavsar,Advik Dora,Nepali,Manipuri,Chef,Chef,Vocational/Trade School,Master's Degree,8055-9574-2872,1932-6439-4653-5004,Axis Bank,Joint,A-,91EEBMKJIIJ,384840
Nehmat Sankar,Female,4/4/2011,Paddhari,SC,Yes,44124772,Hindu,SHREE HARDHOL GOVT. HIGH SCHOOL,Bhavnagar,Lack of Interest,8th,F,182-692-3606,NehmatSankar@gmail.com,94299,Government,Zain Dugar,Ira Ravi,Sindhi,Nepali,Lawyer,Artist,Doctorate/Ph.D.,No Formal Education,4772-3386-9956,1109-5574-6821-1833,State Bank Of India,Individual,A+,EXYEMV2APUM,390657
Yuvaan Borah,Male,3/9/2018,Malpur,OBC,Yes,38128635,Hindu,B K GOVT. HIGH SCHOOL,Valsad,Peer Pressure,10th,U,736-226-9635,YuvaanBorah@gmail.com,70216,Government,Indrajit Madan,Vihaan Dugar,Telugu,Kannada,Chef,Pharmacist,No Formal Education,High School,9343-9692-3388,2180-7856-1418-2664,IDBI Bank,Individual,O+,EOHQZSMSWB8,383891
