schoolName,type,district,city,schcd,uid,userRole,password,
ALFRED HIGH SCHOOL,Private,Banaskantha,Bhachau,72938456105,2C3krOOQlEVo5NBtPeSm3izQZ6F3,school,123456,2131
B K GOVT. HIGH SCHOOL,Government,Rajkot,Abdasa,30481629754,TGKVRfQ2cTPm6R3hEZwZX9Q5ZLy2,school,123456,2160
DIGVIJAYSINHJI NEW GOVT.SCHOOL,Government,Surat,Radhanpur,53892761409,8a68Lq8ZgOP9z7YNmYGBKvZVRA13,school,123456,2160
DR VIKRAMSARABHAI VIDHYALAY,Private,Kheda,Chuda,31850762409,EnrZEk1RBjd3gkzdTAMjPcmA1mO2,school,123456,2160
GANDHI VIDYALAY,Private,Narmada,Kadi,97856234019,0Qj8GgrPBmUxxKNeyBiqG2WieXv1,school,123456,
GOVERMENT HIGH SCHOOL,Government,Porbandar,Sanand,64250391876,PDwRu1822zPeIpMZuIL0E6IMwjs1,school,123456,
GOVERNMENT HIGHER SECONDARY SCHOOL,Government,Tapi,Deodar,68574021983,PuUATwc9e2Qt0L2eH96U9XZbuUu2,school,123456,
GOVT SECONDARY SCHOOL,Government,Surendranaga,Tharad,82714530619,dIsEmhLxUcM95VNVSsCoGj6okUf2,school,123456,
GOVT SMT K K HIGHSCHOOL ,Government,Surat,Radhanpur,61520389724,hUxENRL64TfHukBlcRhv73BOJov2,school,123456,
GOVT. HIGH SEC. SCHOOL,Government,Valsad,Palanpur,20198473652,YqI2Se5UpJexBYAhmrRC9xkJ5N43,school,123456,
INDIRABAI HIGH SCHOOL,Private,Sabarkantha,Idar,15382079463,OBlU6UKCm8elcEg6jSkUMW5SwxR2,school,123456,
K.K.M.S. HIGH SCHOOL,Private,Rajkot,Abdasa,38475620918,y7Voj5ZnjzO8MY2JhIsPIycx9ip1,school,123456,
KOKTA RMSA SCHOOL,Private,Amreli,Vadali,76401298375,KI5JCPG1RshzvEZYW3I4Fan4EP92,school,123456,
MODEL SCHOOL,Private,Banaskantha,Lakhpat,91827364502,rhllg230FFQJnzQ9FPi9BhVQefd2,school,123456,
NAWANAGAR(GOV) HIGH SCHOOL,Government,Vadodara,Dhansura,49213756084,7DqwyJPKLUOhxToedBz932bOCy53,school,123456,
RMSA GOVERNMENT SCHOOL,Government,Banaskantha,Lakhpat,47293618520,3j7MCVIfdNVzVmp61ea04FIMp4a2,school,123456,
SARKARI MADYAMIK SCHOOL,Private,Amreli,Vadali,23948765107,z3rZEAiThkPSrO573ArtRJxZtHG3,school,123456,
SARKARI UCCHATAR MADYAMIK SCHOOL,Private,Narmada,Visnagar,87029564318,u0mWF1iHl0W4RGxYmfXF6em3M7t2,school,123456,
SHREE HARDHOL GOVT. HIGH SCHOOL,Government,Navsari,Sidhpur,95642837021,VwWMirEAgtP6tLDlpb3ysYYVfTt2,school,123456,
SHRI GOVERNMENT HIGH SCHOOL,Government,Sabarkantha,Amirgadh,50629184735,8Tue2qKHxVdaeZEo31wGWKBwPkE2,school,123456,
