name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Jhanvi Bhatnagar,Male,8/19/2018,Mehmedabad,OBC,No,67864120,Muslim,ALFRED HIGH SCHOOL,Surendranagar,,6th,D,312-406-4951,JhanviBhatnagar@gmail.com,72107,Private,Ahana  Saini,Emir Ben,Others,Kashmiri,Driver,Government Employee,Doctorate/Ph.D.,Some College/Associate's Degree,8406-4091-6411,8917-2830-1960-4896,IDBI Bank,Joint,B-,IC1YZC88AF3,391158
Indranil Sibal,Female,2/8/2018,Kalavad,DT,No,99878311,Hindu,ALFRED HIGH SCHOOL,Sabarkantha,,5th,D,448-164-8377,IndranilSibal@gmail.com,50903,Private,Kabir Khurana,Madhav Acharya,Tamil,Kannada,Government Employee,Sales Representative,Vocational/Trade School,Vocational/Trade School,4562-4521-6609,1890-4748-5033-8114,Indian Bank,Joint,A+,BPBZEF8Q4KV,381770
Tarini Brahmbhatt,Female,1/18/2018,Danta,DT,No,96147863,Muslim,ALFRED HIGH SCHOOL,Junagadh,,7th,A,105-516-7400,TariniBrahmbhatt@gmail.com,40818,Private,Arnav Yogi,Samiha Varkey,Assamese,Sindhi,Construction Worker,Labour,High School,Doctorate/Ph.D.,9742-7440-2191,6889-1748-2759-8034,HDFC Bank,Individual,A+,QGWFRHKIXJD,397032
Indrans Master,Female,8/11/2018,Lilia,SEBC,No,98967804,Hindu,ALFRED HIGH SCHOOL,The Dangs,,5th,D,201-756-1749,IndransMaster@gmail.com,91046,Private,Nitya Bajwa,Dharmajan Kannan,Punjabi,Sindhi,Sales Representative,Sales Representative,No Formal Education,High School,1505-6973-2386,4034-5208-4619-5835,HDFC Bank,Individual,B-,0B7S0EVA5PQ,384374
Vaibhav Mani,Male,5/16/2018,Idar,ST,No,40280879,Hindu,ALFRED HIGH SCHOOL,Kheda,,11th,D,396-667-3302,VaibhavMani@gmail.com,83161,Private,Kabir Kunda,Shanaya Sahni,Maithili,Malayalam,Business Owner,Librarian,Primary School,Middle School,9181-1832-3426,8051-5660-5365-4251,IDBI Bank,Joint,B+,A1ESNKYVWP6,394136
Faiyaz Ghosh,Female,3/23/2018,Malpur,SEBC,No,89595701,Muslim,ALFRED HIGH SCHOOL,Patan,,10th,A,181-465-9818,FaiyazGhosh@gmail.com,39860,Private,Mehul Mane,Riya Kumar,Maithili,Manipuri,Retired,Labour,Bachelor's Degree,No Formal Education,3390-9824-6023,5289-1267-4410-4968,IDBI Bank,Joint,AB+,SII22XNH0OP,385608
Sahil Dhar,Male,2/20/2018,Meghraj,DT,No,89033282,Hindu,ALFRED HIGH SCHOOL,Dahod,,3rd,B,332-728-6216,SahilDhar@gmail.com,31027,Private,Vidur Mandal,Taimur Goswami,Nepali,Marathi,Accountant,Chef,Middle School,Other/Unknown,3453-6324-9752,7565-3457-5868-5232,State Bank Of India,Individual,AB-,H8DOXLMH5ST,392012
Purab Dhingra,Male,8/16/2018,Sutrapada,ST,No,44460887,Christian,ALFRED HIGH SCHOOL,Navsari,,6th,C,196-776-6889,PurabDhingra@gmail.com,55460,Private,Samiha Bhargava,Samiha Kuruvilla,Urdu,Bodo,Retired,Doctor,Primary School,High School,6218-9982-5939,1861-7556-7500-4522,IDBI Bank,Joint,O+,PH8Y31A2E2E,384957
Farhan Bhatt,Female,11/8/2018,Bavla,DT,No,41374302,Hindu,ALFRED HIGH SCHOOL,Vadodara,,5th,B,244-562-4961,FarhanBhatt@gmail.com,62533,Private,Pihu Vora,Bhamini Dey,Konkani,Marathi,Business Owner,Librarian,No Formal Education,High School,9649-4866-3879,2111-4244-5810-7497,IDBI Bank,Joint,B+,YZF5U6BPXQ2,392248
Kiaan Sarma,Female,4/1/2018,Balasinor,OBC,No,70687214,Muslim,ALFRED HIGH SCHOOL,Dahod,,11th,C,540-670-5952,KiaanSarma@gmail.com,92477,Private,Mehul Kohli,Indranil Garde,Konkani,Hindi,Teacher,Chef,Master's Degree,Primary School,8903-5910-1353,2360-3879-7476-9680,Axis Bank,Joint,AB+,RNMUH5IYDTC,394371
