name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Neysa Ravel,Female,7/16/2018,Barwala,DT,No,56275986,Muslim,B K GOVT. HIGH SCHOOL,Surendranagar,,12th,A,104-653-9911,NeysaRavel@gmail.com,26755,Government,Pari Warrior,Seher Edwin,Urdu,Assamese,Accountant,Retired,Some College/Associate's Degree,High School,7283-3991-8129,6355-3042-9783-8622,Indian Bank,Individual,A+,MO2GN6DD89I,389179
Myra Chopra,Male,3/19/2018,Kotda Sangani,SEBC,No,85172536,Muslim,B K GOVT. HIGH SCHOOL,Rajkot,,5th,D,923-167-6501,MyraChopra@gmail.com,28338,Government,Samar Kumar,Heer Hans,Telugu,Telugu,IT Professional,Librarian,High School,Other/Unknown,2773-4562-4945,5984-1317-3355-5586,ICICI Bank,Individual,AB-,0IPV9Z68ES6,397072
Yashvi Grover,Male,12/9/2018,Amirgadh,SEBC,No,48733757,Christian,B K GOVT. HIGH SCHOOL,Amreli,,10th,B,305-289-1415,YashviGrover@gmail.com,75641,Government,Manjari Sabharwal,Samaira Amble,Maithili,Tamil,Driver,Business Owner,Middle School,Some College/Associate's Degree,9783-6745-2182,2637-2820-6415-2355,Punjab National Bank,Joint,AB-,VG37CID5J2D,384836
Diya Sani,Male,2/19/2018,Kheralu,DT,No,99103664,Hindu,B K GOVT. HIGH SCHOOL,Amreli,,9th,D,646-902-8144,DiyaSani@gmail.com,60980,Government,Hazel Swamy,Kismat Bal,Nepali,Marathi,Accountant,Accountant,Bachelor's Degree,Master's Degree,4329-5902-6838,6247-1025-9741-6377,State Bank Of India,Individual,A+,K2MYG0ZK7D0,389779
Anay Choudhury,Female,11/2/2018,Meghraj,ST,No,56728491,Hindu,B K GOVT. HIGH SCHOOL,Bhavnagar,,4th,B,409-788-3494,AnayChoudhury@gmail.com,72712,Government,Drishya Bhasin,Ranbir Sami,Others,Malayalam,Accountant,Social Worker,Other/Unknown,Master's Degree,6786-4153-2255,7386-3063-9485-7274,ICICI Bank,Individual,B-,I9NW340KKFA,387528
Ira Gulati,Female,11/25/2018,Morvi,SC,No,49488042,Christian,B K GOVT. HIGH SCHOOL,Navsari,,4th,D,639-489-7243,IraGulati@gmail.com,53515,Government,Shayak Shenoy,Indrajit Shan,Dogri,Kannada,Teacher,Chef,High School,Primary School,9465-4267-7850,9016-8990-1134-8745,IDBI Bank,Individual,O+,Z85IUVX17RF,385225
Alisha Yogi,Male,9/1/2018,Morwa (Hadaf),DT,No,94632633,Christian,B K GOVT. HIGH SCHOOL,Tapi,,9th,A,738-348-9041,AlishaYogi@gmail.com,26100,Government,Hiran Bala,Azad Ghose,Nepali,Maithili,Lawyer,Manager,Master's Degree,Other/Unknown,6975-5672-1372,9122-7884-4869-5280,IDBI Bank,Joint,AB-,SBV4I9W889S,391723
Arhaan Sampath,Female,2/22/2018,Maliya,ST,No,70739560,Hindu,B K GOVT. HIGH SCHOOL,Amreli,,6th,A,311-147-3012,ArhaanSampath@gmail.com,26878,Government,Riya Bose,Kiara Sengupta,Assamese,Punjabi,Artist,Business Owner,Bachelor's Degree,Some College/Associate's Degree,5294-7218-7326,7604-9554-8536-7336,State Bank Of India,Individual,O+,6LK6QOLLEO8,385517
Ranbir Gara,Female,9/16/2018,Wankaner,OBC,No,40613496,Muslim,B K GOVT. HIGH SCHOOL,Tapi,,5th,A,292-721-3984,RanbirGara@gmail.com,66296,Government,Aradhya Shere,Hansh Acharya,Malayalam,Manipuri,Chef,Doctor,Bachelor's Degree,No Formal Education,2930-3371-9668,9487-1169-9304-3394,Punjab National Bank,Individual,AB+,MIQB5I9EPT0,388817
Kabir Mane,Female,1/13/2018,Botad,OBC,No,57698413,Christian,B K GOVT. HIGH SCHOOL,Patan,,3rd,D,586-673-8758,KabirMane@gmail.com,83836,Government,Dharmajan Rastogi,Divit Yogi,Marathi,Urdu,IT Professional,Librarian,Some College/Associate's Degree,Primary School,9256-2501-6852,8773-1757-8602-7782,Punjab National Bank,Joint,AB+,P3DRFZHUCRX,393795
