name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Ehsaan Chauhan,Female,6/9/2018,Kutiyana,DT,No,26325616,Christian,DIGVIJAYSINHJI NEW GOVT.SCHOOL,Surendranagar,,5th,B,728-732-4574,EhsaanChauhan@gmail.com,80601,Government,Devansh Ravel,Samiha Jhaveri,Bodo,Assamese,Government Employee,Secretary,Bachelor's Degree,High School,4556-4610-5898,6704-7833-2424-5415,HDFC Bank,Individual,AB+,TSCD5ME9AYR,390861
Hiran Soni,Female,7/26/2018,Thasra,NT,No,26406182,Muslim,DIGVIJAYSINHJI NEW GOVT.SCHOOL,Porbandar,,8th,C,979-580-5332,HiranSoni@gmail.com,42387,Government,Lagan Sawhney,Eva Chauhan,Urdu,Bodo,Teacher,Business Owner,No Formal Education,No Formal Education,5599-8676-6769,7826-8598-2103-4280,IDBI Bank,Joint,O+,XA73IS1OURZ,380459
Riaan Sura,Male,3/16/2018,Junagadh,DT,No,65866072,Christian,DIGVIJAYSINHJI NEW GOVT.SCHOOL,The Dangs,,9th,D,488-740-2648,RiaanSura@gmail.com,36961,Government,Vivaan Uppal,Kismat Sathe,Telugu,Kannada,Government Employee,Secretary,High School,Bachelor's Degree,4641-8073-9281,6169-1277-8996-7013,State Bank Of India,Joint,A+,QG6WI8VV647,385003
Vardaniya Lad,Male,8/20/2018,Sutrapada,ST,No,51124691,Hindu,DIGVIJAYSINHJI NEW GOVT.SCHOOL,Rajkot,,7th,C,406-499-1183,VardaniyaLad@gmail.com,91456,Government,Vedika Konda,Onkar Vyas,Marathi,Konkani,Engineer,Secretary,No Formal Education,Vocational/Trade School,7181-8566-5071,2086-2422-4038-3642,State Bank Of India,Individual,B+,EYWG931GJOO,395327
Himmat Swamy,Male,3/10/2018,Vijapur,ST,No,36748242,Christian,DIGVIJAYSINHJI NEW GOVT.SCHOOL,Kheda,,4th,B,629-668-4211,HimmatSwamy@gmail.com,43917,Government,Zara Bhavsar,Ivan Iyengar,Gujarati,Others,Artist,Nurse,Bachelor's Degree,Middle School,1307-6375-3387,1748-5057-9436-5046,Axis Bank,Individual,O+,UUTVHEJFQHH,394807
Mohanlal Kadakia,Male,12/15/2018,Mundra,SC,No,76466990,Hindu,DIGVIJAYSINHJI NEW GOVT.SCHOOL,Narmada,,10th,A,855-591-7608,MohanlalKadakia@gmail.com,90392,Government,Shamik Shetty,Advik Hayer,Konkani,Sindhi,Doctor,Sales Representative,Master's Degree,Some College/Associate's Degree,1287-4506-1495,3420-5535-1876-4352,IDBI Bank,Joint,O+,K195IM7GM9X,383820
Raunak Bali,Female,8/1/2018,Kathlal,DT,No,10484994,Muslim,DIGVIJAYSINHJI NEW GOVT.SCHOOL,Junagadh,,12th,D,460-871-9503,RaunakBali@gmail.com,63118,Government,Shayak Ravel,Urvi Kalita,Assamese,Urdu,Manager,Other,Bachelor's Degree,Some College/Associate's Degree,9656-7427-6766,7162-3361-8762-7986,IDBI Bank,Individual,A+,K1XOJI102JH,382810
Ranbir Bajwa,Female,4/8/2018,Kadi,SEBC,No,69905755,Christian,DIGVIJAYSINHJI NEW GOVT.SCHOOL,Dahod,,10th,C,416-937-4774,RanbirBajwa@gmail.com,55222,Government,Misha Suri,Hridaan Sura,Hindi,Urdu,Labour,Librarian,Master's Degree,Some College/Associate's Degree,6191-2489-2521,4399-2930-1038-3518,Axis Bank,Joint,B+,M2M540A6Z69,397033
Saira Karnik,Male,12/20/2018,Amreli,OBC,No,46343883,Muslim,DIGVIJAYSINHJI NEW GOVT.SCHOOL,Surendranagar,,9th,A,585-158-9364,SairaKarnik@gmail.com,49084,Government,Riya Baria,Seher Sachdev,Manipuri,Sindhi,Sales Representative,Manager,Other/Unknown,Doctorate/Ph.D.,9106-8123-1146,5726-3913-8804-5441,State Bank Of India,Individual,A+,XN374FVKF33,387296
Aniruddh Sheth,Male,3/3/2018,Talaja,DT,No,49751740,Muslim,DIGVIJAYSINHJI NEW GOVT.SCHOOL,Patan,,3rd,C,935-161-7632,AniruddhSheth@gmail.com,37100,Government,Azad Goel,Adira Bhatti,Others,Bodo,Lawyer,Other,Bachelor's Degree,Bachelor's Degree,2902-6380-7286,5042-6406-6371-2822,State Bank Of India,Individual,AB+,X28FDYDLTZ5,393851
Kaira Talwar,Male,3/9/2018,Porbandar,SEBC,No,83804792,Muslim,DIGVIJAYSINHJI NEW GOVT.SCHOOL,Dahod,,7th,D,502-702-9090,KairaTalwar@gmail.com,68578,Government,Jayesh Bains,Kaira Issac,Bangla,Malayalam,IT Professional,Homemaker,Some College/Associate's Degree,Some College/Associate's Degree,1473-9602-7076,5431-5479-8618-3508,ICICI Bank,Joint,B-,WNSO9DVUO0Y,384413
Hazel Chaudhuri,Female,9/3/2018,Rajula,DT,No,98991675,Christian,DIGVIJAYSINHJI NEW GOVT.SCHOOL,Sabarkantha,,7th,A,773-108-1971,HazelChaudhuri@gmail.com,83806,Government,Hridaan Ganesh,Uthkarsh Mani,Telugu,Oriya,Driver,Homemaker,Vocational/Trade School,Vocational/Trade School,9032-2429-5464,5171-8684-7872-7968,HDFC Bank,Joint,AB+,OH7A6D2FWL4,383546
Zeeshan Butala,Female,9/12/2018,Detroj-Rampura,DT,No,65083629,Christian,DIGVIJAYSINHJI NEW GOVT.SCHOOL,Mahesana,,11th,C,609-726-5366,ZeeshanButala@gmail.com,44842,Government,Oorja Bava,Zara Lalla,Gujarati,Maithili,Manager,Other,Vocational/Trade School,Vocational/Trade School,4069-6485-6837,5845-7974-5183-2409,ICICI Bank,Joint,O+,BKWDBVWHYMD,396511
Misha Reddy,Female,6/20/2018,Bhanvad,SC,No,15357915,Muslim,DIGVIJAYSINHJI NEW GOVT.SCHOOL,Tapi,,6th,B,200-328-1418,MishaReddy@gmail.com,72183,Government,Renee Guha,Trisha Varma,Konkani,Punjabi,Engineer,Secretary,High School,Other/Unknown,9425-6835-2822,5021-9737-5030-5541,Punjab National Bank,Joint,A+,XNIP4S656OB,399658
