name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Urvi Ramanathan,Male,8/23/2018,Godhra,DT,No,57200419,Hindu,DR VIKRAMSARABHAI VIDHYALAY,The Dangs,,3rd,D,559-208-5230,UrviRamanathan@gmail.com,58513,Private,Ranbir Sheth,Vivaan Apte,Kashmiri,Sindhi,Business Owner,Sales Representative,Bachelor's Degree,Doctorate/Ph.D.,1609-8602-7318,8598-8938-9168-4877,Punjab National Bank,Joint,A+,IR7EBJF3LI9,395875
Pihu Borde,Male,10/24/2018,Okhamandal,OBC,No,31502160,Muslim,DR VIKRAMSARABHAI VIDHYALAY,Porbandar,,3rd,D,469-819-9949,PihuBorde@gmail.com,72461,Private,Sana Kadakia,Zoya Manne,Kannada,Malayalam,Doctor,Government Employee,Master's Degree,Doctorate/Ph.D.,2232-1289-2556,8421-5264-4476-3524,State Bank Of India,Individual,A-,GTI0YZYXXOW,398067
Neelofar Yadav,Female,8/14/2018,Kheda,OBC,No,85321856,Muslim,DR VIKRAMSARABHAI VIDHYALAY,Junagadh,,6th,A,139-288-2924,NeelofarYadav@gmail.com,73935,Private,Advika Wagle,Ojas Gaba,Punjabi,Dogri,Lawyer,IT Professional,Doctorate/Ph.D.,Some College/Associate's Degree,4588-5330-2890,1478-6520-5945-5876,Central Bank Of India,Individual,A+,1DHBWDBFDTA,393787
Vaibhav Sura,Male,3/4/2018,Kalol,SEBC,No,50868612,Christian,DR VIKRAMSARABHAI VIDHYALAY,Bharuch,,1st,D,207-662-7575,VaibhavSura@gmail.com,98426,Private,Mahika Gill,Kabir Dube,Assamese,Santali,Government Employee,Manager,Some College/Associate's Degree,Other/Unknown,7797-6881-5546,8123-7518-4478-8624,HDFC Bank,Joint,AB+,WJXKVVOZBQ6,395355
Ira Chana,Male,10/3/2018,Kalyanpur,SC,No,16135654,Hindu,DR VIKRAMSARABHAI VIDHYALAY,Gandhinagar,,12th,D,402-582-9394,IraChana@gmail.com,49064,Private,Ahana  Dani,Gatik Ganesh,Dogri,Hindi,Engineer,Retired,Doctorate/Ph.D.,High School,1233-1507-2113,1950-6195-9446-5918,Central Bank Of India,Joint,AB-,CZBIKNKER7D,387723
Samarth Ghose,Female,10/24/2018,Chotila,DT,No,70740289,Muslim,DR VIKRAMSARABHAI VIDHYALAY,Sabarkantha,,7th,D,904-376-6174,SamarthGhose@gmail.com,39569,Private,Nitara Sangha,Sana Dube,Assamese,Bodo,Doctor,Doctor,Vocational/Trade School,Master's Degree,1633-5340-8742,1936-1050-8204-3617,HDFC Bank,Joint,O+,Q02N1X0RIL0,382268
Vihaan Bajwa,Female,6/8/2018,Dholka,ST,No,50001214,Christian,DR VIKRAMSARABHAI VIDHYALAY,Banaskantha,,8th,B,285-903-1173,VihaanBajwa@gmail.com,94511,Private,Indrans Boase,Uthkarsh Bora,Sindhi,Others,Government Employee,IT Professional,Bachelor's Degree,High School,6344-9566-2447,8229-5675-4662-8709,HDFC Bank,Joint,AB-,4P5ORS3DDRA,397713
Urvi Krishnan,Female,7/25/2018,Anand,OBC,No,46798586,Muslim,DR VIKRAMSARABHAI VIDHYALAY,Narmada,,2nd,C,425-735-8451,UrviKrishnan@gmail.com,42002,Private,Saira Saran,Diya Bala,Kashmiri,Kannada,Business Owner,Pharmacist,Some College/Associate's Degree,Middle School,5859-3401-6013,6719-4266-2621-4815,Axis Bank,Joint,A-,H29S0HZ233Q,390051
Gatik Sarkar,Female,12/9/2018,Babra,DT,No,38878170,Muslim,DR VIKRAMSARABHAI VIDHYALAY,Surat,,9th,D,995-391-2268,GatikSarkar@gmail.com,68367,Private,Nirvaan Vohra,Divit Kala,Assamese,Santali,Construction Worker,Other,Vocational/Trade School,Vocational/Trade School,2485-8421-9404,9055-4674-2367-2228,IDBI Bank,Joint,AB+,T9L7YNX4MNW,380318
Shanaya Kaul,Male,11/13/2018,Muli,OBC,No,95425750,Hindu,DR VIKRAMSARABHAI VIDHYALAY,Rajkot,,3rd,C,201-488-5721,ShanayaKaul@gmail.com,46755,Private,Priyansh Shukla,Advik Magar,Kashmiri,Others,Farmer,Librarian,Middle School,No Formal Education,5764-6351-1147,7301-2387-5508-4745,State Bank Of India,Joint,O+,8A8HD7ZXCY8,383683
Vedika Toor,Male,3/23/2018,Prantij,General,No,87286178,Christian,DR VIKRAMSARABHAI VIDHYALAY,Gandhinagar,,2nd,B,533-253-2795,VedikaToor@gmail.com,53761,Private,Kartik Ranganathan,Tejas Kata,Bodo,Bodo,Artist,Labour,Other/Unknown,Master's Degree,8492-6160-8767,7889-2170-5592-1184,ICICI Bank,Joint,A+,6B2RJ5U1GAP,387048
Badal Saini,Female,5/14/2018,Sami,DT,No,20320431,Muslim,DR VIKRAMSARABHAI VIDHYALAY,Patan,,6th,D,469-796-5101,BadalSaini@gmail.com,72420,Private,Krish Ghose,Veer Das,Dogri,Others,Engineer,Chef,High School,Some College/Associate's Degree,7799-4029-1652,3426-7837-7888-2371,Indian Bank,Individual,B+,KM7EKBUW16S,387612
Tejas Maharaj,Male,2/15/2018,Unjha,OBC,No,66771263,Christian,DR VIKRAMSARABHAI VIDHYALAY,Jamnagar,,9th,A,335-401-3655,TejasMaharaj@gmail.com,65058,Private,Nayantara Varughese,Shamik Jha,Urdu,Gujarati,Government Employee,Social Worker,Master's Degree,Master's Degree,2886-7311-6935,8794-4301-4679-5817,Central Bank Of India,Individual,A-,SCZVON3K5WS,391999
Akarsh Kaul,Female,2/22/2018,Kalavad,NT,No,70406459,Hindu,DR VIKRAMSARABHAI VIDHYALAY,Bharuch,,8th,B,631-820-8223,AkarshKaul@gmail.com,89205,Private,Ivana Srivastava,Zain Randhawa,Telugu,Maithili,Manager,Labour,Middle School,Bachelor's Degree,2763-4498-1449,8084-6797-1015-8799,Indian Bank,Joint,AB-,3V2YFE9HXW5,389213
Zain Barman,Female,12/9/2018,Dhandhuka,SEBC,No,28389739,Muslim,DR VIKRAMSARABHAI VIDHYALAY,Navsari,,3rd,B,652-146-2092,ZainBarman@gmail.com,93138,Private,Kaira Tank,Hunar Vohra,Hindi,Santali,Accountant,IT Professional,Middle School,High School,5321-5179-1808,3447-1680-1508-5003,Central Bank Of India,Individual,AB+,V0HE3GFNI8Y,390824
Adah Rana,Male,1/9/2018,Kotda Sangani,SC,No,67930099,Hindu,DR VIKRAMSARABHAI VIDHYALAY,Gandhinagar,,3rd,A,435-120-8323,AdahRana@gmail.com,54819,Private,Jayant Choudhry,Yuvraj  Bahl,Bangla,Tamil,IT Professional,Business Owner,No Formal Education,Doctorate/Ph.D.,2596-7404-1946,3126-6208-1043-2830,Central Bank Of India,Individual,A-,PUJ15GD5Z07,384680
Suhana Madan,Female,1/15/2018,Bhabhar,SC,No,90086190,Muslim,DR VIKRAMSARABHAI VIDHYALAY,Valsad,,2nd,A,666-462-6718,SuhanaMadan@gmail.com,55784,Private,Kaira Maharaj,Rohan Dhillon,Gujarati,Maithili,Accountant,Retired,Master's Degree,Some College/Associate's Degree,6277-8546-6844,1646-6407-7577-3205,Axis Bank,Joint,A-,4TC0IB75X1X,396635
Tushar Handa,Male,3/19/2018,Lilia,SC,No,72045827,Christian,DR VIKRAMSARABHAI VIDHYALAY,Narmada,,8th,A,883-320-3588,TusharHanda@gmail.com,28188,Private,Saira Ramachandran,Mehul Subramaniam,Assamese,Punjabi,Other,Teacher,Master's Degree,Some College/Associate's Degree,6010-4746-5730,7503-8740-2070-9981,HDFC Bank,Joint,A+,P7TNKITT3VX,392045
Kiara Khosla,Female,5/22/2018,Detroj-Rampura,ST,No,82325885,Christian,DR VIKRAMSARABHAI VIDHYALAY,Tapi,,12th,A,116-216-3486,KiaraKhosla@gmail.com,25121,Private,Baiju Bhardwaj,Sumer Dani,Bangla,Bangla,Doctor,Manager,Bachelor's Degree,Master's Degree,2955-9397-8083,6621-6608-9538-2862,Punjab National Bank,Individual,B+,7EJTPMKGKXR,387074
Anaya Dara,Male,9/7/2018,Dantiwada,ST,No,16127372,Muslim,DR VIKRAMSARABHAI VIDHYALAY,Sabarkantha,,5th,D,301-737-4665,AnayaDara@gmail.com,90184,Private,Eva Dora,Misha Bir,Konkani,Nepali,Business Owner,Secretary,High School,Doctorate/Ph.D.,3863-1570-3394,1384-3839-2586-8240,Indian Bank,Individual,AB+,16NSUQC25TK,390730
