name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Alia Behl,Male,8/22/2018,Ranpur,DT,No,34427729,Hindu,GANDHI VIDYALAYA,Anand,,4th,D,958-460-8871,AliaBehl@gmail.com,54742,Private,Advika Vala,Siya Vig,Telugu,Oriya,IT Professional,Accountant,Vocational/Trade School,Middle School,1135-5318-5186,6601-4358-6296-2554,Axis Bank,Individual,B+,7MERZJZ347G,391055
Hiran Shetty,Female,7/2/2018,Rapar,SC,No,88666164,Hindu,GANDHI VIDYALAYA,Bhavnagar,,11th,D,775-668-3711,HiranShetty@gmail.com,52902,Private,Anahita Tripathi,Romil Chadha,Manipuri,Tamil,Government Employee,Teacher,Bachelor's Degree,Bachelor's Degree,9008-8257-2672,7071-2946-3387-6458,Punjab National Bank,Individual,B+,4BQTDQXFI1Z,389682
Aarna Wagle,Male,3/13/2018,Kheralu,ST,No,25107542,Christian,GANDHI VIDYALAYA,Amreli,,9th,A,517-533-7019,AarnaWagle@gmail.com,76250,Private,Mahika Sachar,Charvi Sarma,Punjabi,Manipuri,Farmer,Government Employee,No Formal Education,Bachelor's Degree,6056-7785-2693,5586-3401-9706-7462,Central Bank Of India,Individual,AB+,CSEECSZYZ2R,390489
Zain Gill,Male,11/2/2018,Jafrabad,OBC,No,53597617,Muslim,GANDHI VIDYALAYA,Rajkot,,10th,B,946-840-5988,ZainGill@gmail.com,47228,Private,Dishani Gour,Trisha Kunda,Bangla,Manipuri,Chef,Nurse,Some College/Associate's Degree,Other/Unknown,5799-9727-6822,9317-6150-4519-8918,State Bank Of India,Joint,AB+,S7520MKB6CT,390878
Myra Gera,Male,11/19/2018,Khambhat,SC,No,11648474,Christian,GANDHI VIDYALAYA,Patan,,1st,A,939-999-7159,MyraGera@gmail.com,66192,Private,Trisha Ghose,Seher Chad,Manipuri,Kannada,Business Owner,Homemaker,Other/Unknown,Master's Degree,9413-9548-9066,3825-2379-9768-8114,Axis Bank,Individual,B+,OYC86NYHMZ4,388621
Prisha Choudhury,Male,7/25/2018,Keshod,SEBC,No,95959380,Muslim,GANDHI VIDYALAYA,Jamnagar,,1st,D,766-391-3288,PrishaChoudhury@gmail.com,49442,Private,Baiju Sekhon,Zain Issac,Punjabi,Others,Sales Representative,Labour,Doctorate/Ph.D.,Vocational/Trade School,6813-1495-7989,7329-8618-6119-9984,HDFC Bank,Individual,O+,7HFFGGYZ6DE,390858
Sahil Bora,Male,2/23/2018,Sojitra,SC,No,62246855,Christian,GANDHI VIDYALAYA,Valsad,,7th,B,855-393-1857,SahilBora@gmail.com,56726,Private,Riya Dutt,Renee Dave,Santali,Konkani,IT Professional,Chef,No Formal Education,Some College/Associate's Degree,9441-6886-7189,7860-1044-2192-5129,Axis Bank,Individual,A-,6C89VG6T7GN,387560
Shaan Guha,Female,1/26/2018,Visavadar,SC,No,99702881,Christian,GANDHI VIDYALAYA,Anand,,8th,B,219-326-7038,ShaanGuha@gmail.com,39502,Private,Damini Kamdar,Yakshit Sachdeva,Kannada,Konkani,Farmer,Social Worker,Vocational/Trade School,Doctorate/Ph.D.,8444-1681-5493,1601-8048-9680-7119,State Bank Of India,Individual,AB+,84YN3NE18O1,380323
Samarth Wable,Female,3/13/2018,Dhandhuka,NT,No,46815630,Hindu,GANDHI VIDYALAYA,Amreli,,4th,A,646-153-8555,SamarthWable@gmail.com,68630,Private,Chirag Ravel,Sara Garg,Bodo,Malayalam,Artist,Artist,Middle School,Middle School,8305-1633-2718,7451-5847-9549-1667,IDBI Bank,Joint,AB+,FW54A1XSJ7A,394887
Seher Sibal,Female,11/18/2018,Barwala,SC,No,83807577,Hindu,GANDHI VIDYALAYA,Surendranagar,,5th,C,730-993-3383,SeherSibal@gmail.com,85770,Private,Nishith Batra,Anahita Dhawan,Bangla,Bangla,Teacher,Artist,High School,High School,9030-8720-5085,1322-8449-4517-6005,ICICI Bank,Joint,A-,MNGL5N3P780,396091
Kartik Ramaswamy,Female,7/8/2018,Khambha,DT,No,83156985,Christian,GANDHI VIDYALAYA,Navsari,,5th,C,196-558-5058,KartikRamaswamy@gmail.com,26953,Private,Nirvaan Ramesh,Shanaya Zachariah,Assamese,Dogri,Other,Artist,Middle School,High School,9983-2002-4296,7084-3622-8663-8643,Indian Bank,Joint,AB+,R2I7FYA8SLO,391564
Indrans Date,Female,4/17/2018,Bhanvad,ST,No,49847299,Hindu,GANDHI VIDYALAYA,Panchmahals,,7th,A,485-417-5551,IndransDate@gmail.com,70610,Private,Eva Soni,Oorja Iyengar,Malayalam,Others,Labour,Secretary,Other/Unknown,Bachelor's Degree,8947-7618-6023,2391-8712-7489-7571,Central Bank Of India,Individual,A-,BDNB4LHPP53,391658
Rati Suri,Male,1/4/2018,Matar,SC,No,77492515,Hindu,GANDHI VIDYALAYA,Junagadh,,1st,A,614-515-4011,RatiSuri@gmail.com,74171,Private,Badal Mani,Armaan Krishnan,Malayalam,Bangla,Business Owner,Social Worker,Other/Unknown,Middle School,7428-2788-7503,3964-5249-4460-5343,Axis Bank,Individual,AB+,Z4U93MB9U3G,392740
