name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Yashvi Atwal,Female,2/8/2018,Jamnagar,ST,No,91760707,Hindu,GOVERNMENT HIGH SCHOOL,Tapi,,2nd,B,819-752-5583,YashviAtwal@gmail.com,49823,Government,Khushi Mandal,Parinaaz Chacko,Tamil,Oriya,Farmer,Social Worker,Primary School,Some College/Associate's Degree,6868-1588-1682,5355-3743-1698-4161,Punjab National Bank,Individual,A-,4K3NFE7161C,396461
Jayesh Dube,Female,6/9/2018,Bhachau,General,No,84711609,Hindu,GOVERNMENT HIGH SCHOOL,Narmada,,11th,B,689-504-1405,JayeshDube@gmail.com,84909,Government,Pihu Buch,Darshit Ghose,Kashmiri,Kashmiri,Retired,Other,High School,Primary School,6091-3402-4435,1015-1633-6817-4971,Axis Bank,Joint,A-,PFWOFCX3O1L,386724
Aniruddh Barman,Male,9/26/2018,Vav,SC,No,98103625,Hindu,GOVERNMENT HIGH SCHOOL,The Dangs,,9th,D,927-483-7389,AniruddhBarman@gmail.com,98247,Government,Mahika Datta,Divyansh Das,Malayalam,Konkani,IT Professional,Chef,No Formal Education,Primary School,2397-3016-6799,8765-8555-5204-9735,IDBI Bank,Joint,AB-,SZEJCAHULT8,395370
Tarini Vaidya,Male,12/23/2018,Lodhika,ST,No,90000323,Hindu,GOVERNMENT HIGH SCHOOL,Bhavnagar,,1st,C,848-113-3697,TariniVaidya@gmail.com,78384,Government,Abram Kale,Divyansh Sarin,Nepali,Malayalam,Government Employee,Teacher,Master's Degree,Other/Unknown,2628-6787-2771,4042-1785-2327-3499,IDBI Bank,Individual,AB+,M35AWJVPH8A,389442
Divyansh Kuruvilla,Male,7/27/2018,Bhuj,OBC,No,87375762,Christian,GOVERNMENT HIGH SCHOOL,Anand,,9th,D,267-841-2749,DivyanshKuruvilla@gmail.com,65290,Government,Anay Badami,Aradhya Chada,Assamese,Malayalam,Accountant,IT Professional,Doctorate/Ph.D.,Some College/Associate's Degree,2017-6015-2213,3416-7247-7484-8264,IDBI Bank,Joint,O+,8QM2IT5QA23,384218
Divit Chaudhary,Female,7/22/2018,Thasra,SEBC,No,56443910,Hindu,GOVERNMENT HIGH SCHOOL,The Dangs,,8th,B,773-720-6008,DivitChaudhary@gmail.com,67187,Government,Jivika Chacko,Ishita Suresh,Maithili,Bodo,Engineer,Government Employee,Some College/Associate's Degree,High School,1711-1667-8310,3578-5196-9334-9954,Punjab National Bank,Individual,AB-,HQWAOQW7ZW1,396085
Vanya Cherian,Male,8/15/2018,Dhoraji,DT,No,58780486,Muslim,GOVERNMENT HIGH SCHOOL,Gandhinagar,,7th,D,623-294-2614,VanyaCherian@gmail.com,35650,Government,Kanav Gill,Samaira Boase,Bodo,Nepali,Engineer,Government Employee,Master's Degree,Middle School,8425-7190-5103,3658-6779-4734-4138,Indian Bank,Individual,A-,MUIHA4UN62T,397773
Nehmat Zachariah,Female,11/4/2018,Kunkavav Vadia,SEBC,No,95947064,Muslim,GOVERNMENT HIGH SCHOOL,Ahmedabad,,12th,B,728-151-6900,NehmatZachariah@gmail.com,95071,Government,Aaina Kala,Azad Subramaniam,Manipuri,Bangla,Driver,Sales Representative,Master's Degree,Primary School,4849-9703-2436,3572-7634-6353-5795,Indian Bank,Joint,AB+,KNU6YJ0YRY6,391321
Diya Setty,Male,11/26/2018,Talala,General,No,17028014,Hindu,GOVERNMENT HIGH SCHOOL,Anand,,8th,B,505-658-7349,DiyaSetty@gmail.com,71128,Government,Manjari Chanda,Mamooty Tiwari,Telugu,Others,Lawyer,Other,Other/Unknown,Vocational/Trade School,1763-2665-1102,8460-7354-5374-2388,Indian Bank,Joint,AB+,D7AJNSSL6UZ,382084
Ojas Doctor,Male,5/7/2018,Kalavad,ST,No,18997982,Christian,GOVERNMENT HIGH SCHOOL,Bharuch,,1st,D,896-852-2739,OjasDoctor@gmail.com,76061,Government,Jhanvi Kothari,Chirag Bail,Maithili,Telugu,Engineer,Retired,Some College/Associate's Degree,High School,1000-6981-9633,5165-2376-5768-3187,Punjab National Bank,Individual,B-,37AB868V24T,382016
