name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Rania Dugar,Male,8/11/2018,Idar,SEBC,No,93949219,Hindu,GOVERNMENT HIGHER SECONDARY SCHOOL,Valsad,,6th,D,501-388-1400,RaniaDugar@gmail.com,94940,Government,Diya Lata,Zain Wason,Bangla,Others,Construction Worker,Artist,Vocational/Trade School,Vocational/Trade School,3959-2454-6957,4325-3683-9782-1341,State Bank Of India,Joint,A+,YACBV9ZHAIY,397493
Hansh Ghosh,Male,11/3/2018,Upleta,DT,No,79585114,Christian,GOVERNMENT HIGHER SECONDARY SCHOOL,Porbandar,,12th,D,518-632-2140,HanshGhosh@gmail.com,31148,Government,Devansh Bhatnagar,Miraya Sehgal,Santali,Dogri,Lawyer,Retired,Some College/Associate's Degree,Primary School,1004-6389-6918,2085-8590-4116-4509,ICICI Bank,Individual,A+,58GNYE4YMRO,398905
Ehsaan Behl,Female,10/26/2018,Mahudha,DT,No,28404376,Hindu,GOVERNMENT HIGHER SECONDARY SCHOOL,Vadodara,,3rd,B,401-269-8807,EhsaanBehl@gmail.com,82979,Government,Hrishita Saini,Arnav Iyengar,Oriya,Kashmiri,Teacher,Government Employee,No Formal Education,Middle School,6984-7016-5602,1943-5251-1951-2903,ICICI Bank,Individual,B-,8T02C6T1FO8,396168
Miraan Shenoy,Female,6/18/2018,Prantij,ST,No,35261736,Muslim,GOVERNMENT HIGHER SECONDARY SCHOOL,Junagadh,,11th,A,137-781-2230,MiraanShenoy@gmail.com,58992,Government,Manjari Thaman,Vanya Dhar,Urdu,Assamese,Teacher,Artist,Some College/Associate's Degree,No Formal Education,2474-3379-7097,8210-1243-7350-2974,Punjab National Bank,Joint,A-,AYYBF565BE0,382526
Prisha Mann,Female,9/17/2018,Keshod,DT,No,87319792,Muslim,GOVERNMENT HIGHER SECONDARY SCHOOL,Kheda,,8th,A,526-653-5537,PrishaMann@gmail.com,77559,Government,Zoya Amble,Kimaya Sha,Punjabi,Tamil,Accountant,Artist,Middle School,Other/Unknown,1613-4325-9657,6787-7046-2346-6639,IDBI Bank,Individual,A+,SJ2LK8M2CJK,399493
Vidur Baria,Male,12/8/2018,Jambusar,DT,No,33648272,Hindu,GOVERNMENT HIGHER SECONDARY SCHOOL,Valsad,,7th,B,927-899-7810,VidurBaria@gmail.com,98477,Government,Eva Kalita,Anahi Mane,Punjabi,Maithili,Sales Representative,Nurse,Vocational/Trade School,Other/Unknown,7860-6085-2355,9052-9993-2484-4722,Punjab National Bank,Joint,A-,U4CM05O1UXB,382719
Hansh Cherian,Female,10/7/2018,Godhra,SC,No,24637868,Hindu,GOVERNMENT HIGHER SECONDARY SCHOOL,Vadodara,,4th,A,302-983-4638,HanshCherian@gmail.com,71073,Government,Romil Kumar,Bhavin Bath,Hindi,Assamese,Chef,Labour,Master's Degree,Some College/Associate's Degree,2476-3818-4684,1722-6104-6794-4536,HDFC Bank,Individual,A-,JT3NYXWQI11,394032
Kismat Hayer,Male,2/11/2018,Babra,OBC,No,91422116,Muslim,GOVERNMENT HIGHER SECONDARY SCHOOL,Amreli,,12th,A,498-648-2861,KismatHayer@gmail.com,68719,Government,Advika Sabharwal,Mahika Savant,Nepali,Tamil,Government Employee,IT Professional,Other/Unknown,Bachelor's Degree,7506-9788-2199,7832-8739-8791-9675,Central Bank Of India,Joint,AB-,114ETZIKD35,389963
Anya Tandon,Female,12/18/2018,Kapadvanj,OBC,No,72311456,Muslim,GOVERNMENT HIGHER SECONDARY SCHOOL,Patan,,6th,B,587-808-6591,AnyaTandon@gmail.com,72855,Government,Ishita Bawa,Shlok Vyas,Bodo,Kashmiri,Government Employee,Labour,Some College/Associate's Degree,Some College/Associate's Degree,2449-9041-4128,2565-2211-5800-1484,Central Bank Of India,Individual,B+,YFRA221AYJA,389368
Indrans Chaudhry,Male,12/7/2018,Balasinor,DT,No,16247431,Hindu,GOVERNMENT HIGHER SECONDARY SCHOOL,Gandhinagar,,12th,A,476-776-9800,IndransChaudhry@gmail.com,99173,Government,Mishti Kanda,Ayesha Sundaram,Dogri,Tamil,Driver,Pharmacist,Middle School,Doctorate/Ph.D.,8769-6434-5981,2296-7091-2506-6765,ICICI Bank,Individual,AB+,88CNK4N6RBR,380809
Abram Bala,Female,4/21/2018,Santrampur,SEBC,No,37329535,Hindu,GOVERNMENT HIGHER SECONDARY SCHOOL,The Dangs,,9th,D,311-218-7647,AbramBala@gmail.com,87143,Government,Hansh Manda,Yuvraj  Jani,Santali,Kannada,Sales Representative,Sales Representative,Other/Unknown,Doctorate/Ph.D.,1473-7046-4834,8369-2738-2886-4357,Punjab National Bank,Joint,B-,EAT18UTPYCZ,388696
Ivana Khatri,Female,9/28/2018,Kalol,SC,No,44503469,Christian,GOVERNMENT HIGHER SECONDARY SCHOOL,Panchmahals,,4th,D,951-612-4280,IvanaKhatri@gmail.com,84491,Government,Mehul Kurian,Zaina Dixit,Urdu,Konkani,Engineer,Accountant,Master's Degree,Primary School,5450-9677-7558,9216-8070-9518-1146,Central Bank Of India,Individual,AB-,AE6AAWQJAHO,387190
Heer Dutt,Male,7/24/2018,Lodhika,ST,No,11495970,Hindu,GOVERNMENT HIGHER SECONDARY SCHOOL,Panchmahals,,7th,D,635-493-5826,HeerDutt@gmail.com,54621,Government,Romil Gara,Alisha Srivastava,Sindhi,Oriya,IT Professional,Retired,Vocational/Trade School,Other/Unknown,2442-4934-2162,7802-2053-5236-3661,ICICI Bank,Individual,B-,LYNGWSJAG5R,398317
Jhanvi Barman,Female,10/15/2018,Lilia,OBC,No,47470404,Muslim,GOVERNMENT HIGHER SECONDARY SCHOOL,Dahod,,6th,C,895-873-7825,JhanviBarman@gmail.com,87760,Government,Rhea Kulkarni,Hridaan Bobal,Dogri,Telugu,Lawyer,Sales Representative,Primary School,Middle School,2052-6254-4366,6901-6281-8521-1423,Punjab National Bank,Individual,B-,AUW28AUWWG4,380869
Ela Sachar,Female,5/25/2018,Vijapur,ST,No,84299231,Christian,GOVERNMENT HIGHER SECONDARY SCHOOL,Tapi,,5th,D,272-272-3823,ElaSachar@gmail.com,88290,Government,Rania Sant,Saanvi Solanki,Tamil,Marathi,Lawyer,Nurse,Primary School,Some College/Associate's Degree,8281-1628-7503,1549-2928-9163-7304,Indian Bank,Joint,O+,PHM4IT2RUIQ,386174
Indrans Madan,Female,10/24/2018,Visavadar,SC,No,73611750,Christian,GOVERNMENT HIGHER SECONDARY SCHOOL,Gandhinagar,,5th,D,708-232-5698,IndransMadan@gmail.com,27560,Government,Myra Bhatia,Nayantara Bhavsar,Assamese,Manipuri,Labour,Doctor,High School,Other/Unknown,4088-6999-2795,4784-8043-1398-3504,Indian Bank,Joint,B-,RH4L9509GN4,383466
Mahika Bains,Male,4/17/2018,Nadiad,DT,No,54958600,Muslim,GOVERNMENT HIGHER SECONDARY SCHOOL,Gandhinagar,,12th,C,748-125-3897,MahikaBains@gmail.com,27224,Government,Shanaya Manne,Prerak Sinha,Kashmiri,Tamil,IT Professional,Teacher,Other/Unknown,Master's Degree,9162-3326-6639,9539-1012-5479-3203,Indian Bank,Individual,AB-,358644W2E95,391080
Inaaya  Grewal,Female,7/15/2018,Dasada,OBC,No,95238918,Hindu,GOVERNMENT HIGHER SECONDARY SCHOOL,Bharuch,,7th,B,654-529-5182,InaayaGrewal@gmail.com,48979,Government,Lavanya Tara,Kanav Tailor,Manipuri,Marathi,Other,Secretary,High School,Master's Degree,8382-9374-8422,6098-8334-5184-5520,Central Bank Of India,Individual,AB+,OZ83PE7RLMO,390564
Onkar Raja,Male,10/16/2018,Deodar,ST,No,33110020,Hindu,GOVERNMENT HIGHER SECONDARY SCHOOL,Sabarkantha,,3rd,B,370-220-5023,OnkarRaja@gmail.com,62937,Government,Rati Shankar,Arnav Raman,Kashmiri,Gujarati,Manager,Chef,Doctorate/Ph.D.,Primary School,5121-9464-1630,3652-2241-7268-8273,ICICI Bank,Individual,AB-,ZHYC71ZFGZT,387125
Anya Dave,Female,6/1/2018,Khambhat,ST,No,94977660,Hindu,GOVERNMENT HIGHER SECONDARY SCHOOL,Rajkot,,12th,D,976-851-7994,AnyaDave@gmail.com,77756,Government,Ahana  Basu,Kavya Reddy,Urdu,Kannada,Driver,Other,Primary School,Master's Degree,9534-6031-3469,9927-4036-1592-4224,Central Bank Of India,Joint,AB+,QKF84ENBBPZ,386285
Mishti Deshmukh,Male,7/5/2018,Petlad,DT,No,57379655,Hindu,GOVERNMENT HIGHER SECONDARY SCHOOL,Porbandar,,7th,B,221-102-7583,MishtiDeshmukh@gmail.com,43119,Government,Sumer Tripathi,Mahika Saini,Konkani,Konkani,Lawyer,Homemaker,Some College/Associate's Degree,High School,9361-5640-8493,4733-1366-5955-9634,Indian Bank,Joint,O+,GXX6WIZC35C,382325
Mishti Badami,Female,1/13/2018,Kunkavav Vadia,ST,No,29766644,Muslim,GOVERNMENT HIGHER SECONDARY SCHOOL,Ahmedabad,,1st,D,949-439-6241,MishtiBadami@gmail.com,72484,Government,Pihu Bal,Siya Mahajan,Bangla,Manipuri,Retired,Government Employee,Some College/Associate's Degree,Vocational/Trade School,4259-1935-8670,8585-6409-6290-7401,Punjab National Bank,Individual,O+,NY7DPCRVUXV,398663
Kanav Contractor,Male,11/17/2018,Muli,SC,No,93053060,Christian,GOVERNMENT HIGHER SECONDARY SCHOOL,Junagadh,,6th,C,175-837-5420,KanavContractor@gmail.com,82208,Government,Arhaan Batta,Nirvaan Gala,Bodo,Bodo,Artist,Librarian,Some College/Associate's Degree,Master's Degree,2890-4542-9595,6148-9836-1798-3479,State Bank Of India,Individual,A+,KF1U65OV0X3,381136
Samiha Ganesh,Female,8/28/2018,Palitana,SC,No,53004366,Muslim,GOVERNMENT HIGHER SECONDARY SCHOOL,Tapi,,4th,B,237-487-8113,SamihaGanesh@gmail.com,40658,Government,Aniruddh Venkatesh,Aaryahi Uppal,Urdu,Konkani,Business Owner,Labour,Primary School,High School,6510-7945-4442,2667-4635-4420-4158,IDBI Bank,Joint,A-,KOVU24EV4QP,390859
Ivan Ranganathan,Male,2/3/2018,Vadgam,DT,No,39670642,Christian,GOVERNMENT HIGHER SECONDARY SCHOOL,Junagadh,,1st,D,114-319-6219,IvanRanganathan@gmail.com,36247,Government,Pranay Dalal,Zeeshan Randhawa,Tamil,Konkani,Sales Representative,Social Worker,Bachelor's Degree,Bachelor's Degree,4960-8764-7575,3884-5989-5427-7612,ICICI Bank,Individual,AB+,P8CWHIVJPOU,391511
Nirvi Salvi,Male,8/20/2018,Lakhpat,DT,No,95578856,Muslim,GOVERNMENT HIGHER SECONDARY SCHOOL,The Dangs,,3rd,D,548-534-5852,NirviSalvi@gmail.com,25735,Government,Dishani Suresh,Zeeshan Bassi,Konkani,Bangla,Other,Social Worker,High School,Vocational/Trade School,6178-4964-5336,6505-7693-7557-1683,HDFC Bank,Individual,O+,67UGWMEDAIH,396865
Mahika Kothari,Female,2/27/2018,Junagadh,ST,No,36826254,Hindu,GOVERNMENT HIGHER SECONDARY SCHOOL,Tapi,,3rd,A,950-975-6304,MahikaKothari@gmail.com,90486,Government,Vihaan Lala,Fateh Wason,Manipuri,Others,Teacher,Social Worker,Other/Unknown,Primary School,8501-5029-5550,9542-6282-7058-4135,HDFC Bank,Joint,AB+,8XHF0TMWG6T,387616
Heer Koshy,Male,10/13/2018,Mundra,OBC,No,70971667,Muslim,GOVERNMENT HIGHER SECONDARY SCHOOL,Narmada,,12th,D,320-175-7007,HeerKoshy@gmail.com,26952,Government,Ishaan Srinivasan,Onkar Ramesh,Punjabi,Kannada,Retired,Accountant,Middle School,Middle School,7180-5804-5218,2119-7797-1632-1123,IDBI Bank,Individual,A+,JQV3VLAVCIZ,392801
Nirvi Kadakia,Male,10/11/2018,Kalol,ST,No,26834635,Muslim,GOVERNMENT HIGHER SECONDARY SCHOOL,Panchmahals,,12th,B,829-162-8910,NirviKadakia@gmail.com,67839,Government,Kaira Sabharwal,Ivan Loyal,Bangla,Dogri,Engineer,Artist,Master's Degree,Doctorate/Ph.D.,7145-1972-2352,2575-5753-8824-4787,Central Bank Of India,Individual,A+,6UDL5TLIHEX,396240
Hiran Mand,Female,10/21/2018,Bhiloda,OBC,No,49355138,Hindu,GOVERNMENT HIGHER SECONDARY SCHOOL,Panchmahals,,2nd,C,184-386-1033,HiranMand@gmail.com,69687,Government,Nitya Tailor,Hridaan Dugal,Tamil,Kashmiri,Farmer,Other,Master's Degree,High School,1048-8188-3117,6993-3446-7099-5783,Central Bank Of India,Individual,A+,QJE9SAHE3ZT,392086
