name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Arnav Hans,Female,2/12/2018,Anjar,SEBC,No,91682967,Muslim,GOVT SECONDARY SCHOOL,Sabarkantha,,5th,B,989-383-1314,ArnavHans@gmail.com,40102,Government,Bhavin Dass,Jivika Varughese,Dogri,Assamese,Teacher,Manager,Vocational/Trade School,No Formal Education,4773-2051-5467,4612-6983-2019-2869,ICICI Bank,Individual,A+,502W0BXNJWV,387486
Fateh Dyal,Female,9/24/2018,Vav,DT,No,57351972,Christian,GOVT SECONDARY SCHOOL,Panchmahals,,3rd,B,903-967-3124,FatehDyal@gmail.com,28746,Government,Sana Kaul,Prerak Gupta,Sindhi,Hindi,Business Owner,Homemaker,Vocational/Trade School,Doctorate/Ph.D.,3863-1882-5897,5638-9760-2083-5346,Axis Bank,Individual,B+,SJ6PQQAR1KO,384676
Kanav Rout,Male,2/4/2018,Talod,ST,No,15320825,Muslim,GOVT SECONDARY SCHOOL,Porbandar,,3rd,C,796-516-7771,KanavRout@gmail.com,54574,Government,Farhan Atwal,Tiya Gole,Maithili,Dogri,Labour,Retired,High School,High School,2353-3257-4277,9051-1123-8837-2654,State Bank Of India,Joint,B+,T62C5DC3AOL,398703
Reyansh Jhaveri,Female,9/6/2018,Thasra,ST,No,73985435,Muslim,GOVT SECONDARY SCHOOL,Surendranagar,,3rd,A,480-475-8669,ReyanshJhaveri@gmail.com,85612,Government,Riaan Sagar,Prisha Hegde,Oriya,Bangla,Construction Worker,Librarian,Primary School,No Formal Education,3689-8519-2422,8875-4660-5478-5403,HDFC Bank,Individual,B+,2S1J2AB9QQP,385585
Jayant Basu,Male,1/8/2018,Palanpur,SEBC,No,99146736,Hindu,GOVT SECONDARY SCHOOL,Dahod,,8th,B,463-788-4505,JayantBasu@gmail.com,65488,Government,Jivika Vig,Yuvaan Comar,Tamil,Sindhi,IT Professional,Secretary,Middle School,High School,2172-7554-7900,9726-3818-6150-8521,Central Bank Of India,Individual,B-,BGADGCMKJAW,382674
Kabir Grover,Male,6/14/2018,Himatnagar,ST,No,62053829,Hindu,GOVT SECONDARY SCHOOL,Jamnagar,,4th,C,964-116-7302,KabirGrover@gmail.com,26855,Government,Anay Choudhury,Kashvi Borah,Assamese,Urdu,Other,Business Owner,Doctorate/Ph.D.,Vocational/Trade School,6572-5881-7756,9942-2392-3525-5676,Axis Bank,Joint,O+,8CQCGD4CHQU,390442
Manjari Manne,Female,7/3/2018,Umreth,SC,No,20700051,Hindu,GOVT SECONDARY SCHOOL,Mahesana,,4th,B,876-264-2659,ManjariManne@gmail.com,96788,Government,Ranbir Gola,Divij Seshadri,Santali,Hindi,Chef,Chef,Middle School,Some College/Associate's Degree,3069-8672-9500,7774-2075-4343-2146,Central Bank Of India,Joint,AB+,EWJTPPDXO17,389354
Lakshay Sule,Male,3/12/2018,Idar,OBC,No,31636885,Christian,GOVT SECONDARY SCHOOL,Ahmedabad,,10th,B,142-618-4274,LakshaySule@gmail.com,36506,Government,Riaan Lall,Jayan Ranganathan,Konkani,Konkani,Other,Retired,Middle School,Primary School,4549-2766-8502,3927-1657-5360-8785,Central Bank Of India,Joint,AB-,URFMXXSJM3H,397280
Diya Cherian,Female,10/17/2018,Lodhika,DT,No,69403803,Muslim,GOVT SECONDARY SCHOOL,Banaskantha,,1st,D,977-377-2931,DiyaCherian@gmail.com,82675,Government,Baiju Lall,Riaan Thaman,Urdu,Santali,Retired,Manager,Doctorate/Ph.D.,Master's Degree,8909-8420-6010,9692-8268-6875-4557,Punjab National Bank,Joint,B-,3KIRHIMZEAQ,388251
Shamik Dugal,Female,2/16/2018,Dasada,OBC,No,72516534,Hindu,GOVT SECONDARY SCHOOL,Vadodara,,12th,B,239-230-4165,ShamikDugal@gmail.com,58773,Government,Shamik Vaidya,Kaira Dhillon,Manipuri,Manipuri,Farmer,Nurse,Primary School,Other/Unknown,2563-8754-9094,1073-2836-5122-9050,Punjab National Bank,Joint,AB+,9QDCQT0O129,389915
Priyansh Loyal,Female,6/26/2018,Meghraj,DT,No,24880125,Hindu,GOVT SECONDARY SCHOOL,Narmada,,8th,C,277-357-2081,PriyanshLoyal@gmail.com,47896,Government,Faiyaz Raja,Divyansh Balasubramanian,Dogri,Manipuri,Retired,Other,Doctorate/Ph.D.,Middle School,1601-5805-7981,9227-1674-6862-9510,Central Bank Of India,Individual,A+,RDM6GEWD8RJ,396966
Rasha Bajwa,Female,2/7/2018,Kalol,SEBC,No,84939908,Muslim,GOVT SECONDARY SCHOOL,Mahesana,,4th,D,198-498-3911,RashaBajwa@gmail.com,55001,Government,Drishya Savant,Navya Khosla,Manipuri,Marathi,Engineer,Labour,Master's Degree,Some College/Associate's Degree,5261-2260-1286,2685-3989-7214-4535,State Bank Of India,Individual,B-,284HJQ4JWAF,396984
Bhavin Sanghvi,Male,11/27/2018,Abdasa,ST,No,19936748,Muslim,GOVT SECONDARY SCHOOL,Amreli,,2nd,B,884-971-3363,BhavinSanghvi@gmail.com,88213,Government,Tushar Chanda,Vidur Khare,Marathi,Hindi,Sales Representative,Labour,Master's Degree,High School,5995-1449-7044,2605-7618-9650-5082,State Bank Of India,Joint,O+,V4WBL01KB2S,383943
Mishti Buch,Female,8/9/2018,Kalyanpur,General,No,36940463,Hindu,GOVT SECONDARY SCHOOL,Patan,,11th,C,338-303-7447,MishtiBuch@gmail.com,31084,Government,Vaibhav Soman,Damini Kala,Oriya,Dogri,Farmer,Business Owner,Bachelor's Degree,Doctorate/Ph.D.,3565-5635-9139,9062-4272-3599-2168,ICICI Bank,Individual,A-,MA0ST58L79R,390138
Tushar Sharaf,Female,10/16/2018,Kunkavav Vadia,SC,No,30492790,Muslim,GOVT SECONDARY SCHOOL,Amreli,,4th,D,161-744-4194,TusharSharaf@gmail.com,73514,Government,Stuvan Krishnamurthy,Zaina Chawla,Bodo,Maithili,Sales Representative,Secretary,Other/Unknown,Vocational/Trade School,3821-3826-6436,1556-4315-9332-3485,Axis Bank,Individual,A-,8FTIZ5OWU5Y,393564
Anika Setty,Female,2/27/2018,Modasa,NT,No,67979159,Muslim,GOVT SECONDARY SCHOOL,Panchmahals,,5th,B,421-812-3565,AnikaSetty@gmail.com,34521,Government,Saira DÂAlia,Misha Chatterjee,Oriya,Gujarati,Other,IT Professional,Vocational/Trade School,High School,9417-5302-4386,6797-4334-1586-2738,HDFC Bank,Individual,AB+,52QUT1URZU6,396425
Himmat Choudhury,Male,3/25/2018,Bhiloda,OBC,No,32515342,Christian,GOVT SECONDARY SCHOOL,Gandhinagar,,2nd,D,465-825-7732,HimmatChoudhury@gmail.com,62661,Government,Advik Balay,Myra Bhakta,Marathi,Maithili,Lawyer,Teacher,Vocational/Trade School,Vocational/Trade School,5309-1443-3420,4129-5983-5887-1147,Indian Bank,Joint,AB+,ZDSBDMAD8NO,395192
Chirag Guha,Male,5/7/2018,Danta,NT,No,97159263,Muslim,GOVT SECONDARY SCHOOL,The Dangs,,2nd,D,559-968-3513,ChiragGuha@gmail.com,43602,Government,Reyansh Bajaj,Miraya Varghese,Kashmiri,Hindi,Chef,Manager,Doctorate/Ph.D.,Master's Degree,4716-9391-6569,3416-3888-6881-2433,Indian Bank,Joint,AB+,CG7J61LXGAG,381017
Vardaniya Uppal,Female,8/12/2018,Lilia,OBC,No,26813236,Muslim,GOVT SECONDARY SCHOOL,Porbandar,,5th,A,111-401-8469,VardaniyaUppal@gmail.com,59872,Government,Tanya Varty,Navya Golla,Konkani,Assamese,Retired,Librarian,Doctorate/Ph.D.,Other/Unknown,2465-2001-9202,8780-7783-2557-6628,Indian Bank,Individual,O+,IQOME5CCBJ9,382932
Diya Rastogi,Male,7/1/2018,Prantij,ST,No,92021031,Muslim,GOVT SECONDARY SCHOOL,Narmada,,5th,D,424-278-3207,DiyaRastogi@gmail.com,81125,Government,Vedika Choudhury,Aradhya Aurora,Urdu,Others,Driver,Nurse,Other/Unknown,Bachelor's Degree,8022-6171-7242,4161-7735-4678-9332,Punjab National Bank,Joint,A+,ZGHIC0F6DSC,390893
Eshani Kalita,Male,11/27/2018,Dhari,General,No,70942173,Hindu,GOVT SECONDARY SCHOOL,Mahesana,,7th,B,284-434-1036,EshaniKalita@gmail.com,57157,Government,Samarth Samra,Tejas Chander,Hindi,Maithili,Driver,IT Professional,Vocational/Trade School,Primary School,6232-2941-7958,3112-3794-1887-2102,ICICI Bank,Individual,AB+,C7QVO5Y3XNS,389400
Zain Kibe,Male,7/14/2018,Santrampur,NT,No,49823839,Hindu,GOVT SECONDARY SCHOOL,Kheda,,7th,B,236-227-2508,ZainKibe@gmail.com,69355,Government,Samaira Borde,Ryan Dhar,Maithili,Others,Lawyer,Sales Representative,Other/Unknown,Some College/Associate's Degree,5564-5389-8136,8920-7191-7025-5429,IDBI Bank,Individual,AB-,AO7USVJL3K6,396449
Kiaan Garde,Male,5/18/2018,Dhandhuka,SC,No,22421940,Christian,GOVT SECONDARY SCHOOL,Rajkot,,9th,B,784-257-8214,KiaanGarde@gmail.com,25391,Government,Romil Sami,Dhanuk Samra,Hindi,Tamil,IT Professional,Government Employee,Bachelor's Degree,Other/Unknown,1970-8138-9838,2920-1623-9137-8153,HDFC Bank,Individual,B-,T3KJK4QT7N4,389275
Anvi Doshi,Female,11/14/2018,Okhamandal,NT,No,99176620,Muslim,GOVT SECONDARY SCHOOL,Dahod,,2nd,A,894-360-7020,AnviDoshi@gmail.com,96100,Government,Sahil Salvi,Umang Dass,Assamese,Gujarati,Manager,Business Owner,Middle School,Other/Unknown,3427-5016-9559,4010-2448-2408-7721,Axis Bank,Joint,AB-,G1KRE19IZRM,394193
Reyansh Deshpande,Male,10/12/2018,Talala,SEBC,No,56810883,Christian,GOVT SECONDARY SCHOOL,Valsad,,4th,D,482-427-2188,ReyanshDeshpande@gmail.com,85433,Government,Ivan Som,Saanvi Dube,Konkani,Bangla,Driver,Accountant,Bachelor's Degree,Middle School,5897-9617-7159,8739-9644-7505-3990,Central Bank Of India,Joint,O+,XN2FJD2DYRD,397546
Kabir Kade,Male,11/17/2018,Himatnagar,OBC,No,97364261,Christian,GOVT SECONDARY SCHOOL,Gandhinagar,,12th,C,287-792-9611,KabirKade@gmail.com,40337,Government,Anay Saran,Jhanvi Balasubramanian,Dogri,Bangla,Manager,Artist,Other/Unknown,Some College/Associate's Degree,1413-3590-1539,2048-1314-7959-6781,Axis Bank,Individual,B+,NUBL3B5EA0T,397735
