name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Anay Bahri,Female,12/9/2018,Palitana,SEBC,No,48491775,Christian,GOVT SMT K K HIGHSCHOOL,Navsari,,5th,C,575-937-9538,AnayBahri@gmail.com,31022,Government,Jayan Ratta,Nishith Hayer,Kashmiri,Marathi,Teacher,Chef,Middle School,Bachelor's Degree,2559-5802-7542,3722-8191-2146-1483,IDBI Bank,Individual,B-,JTG6FS9256C,390276
Tushar Sachdeva,Female,11/19/2018,Mahuva,SC,No,33321213,Muslim,GOVT SMT K K HIGHSCHOOL,Jamnagar,,5th,D,549-576-9217,TusharSachdeva@gmail.com,27275,Government,Vardaniya Reddy,Seher Bhalla,Others,Telugu,Labour,Business Owner,Doctorate/Ph.D.,Vocational/Trade School,4150-2216-3167,8640-6237-2958-9905,HDFC Bank,Joint,AB+,OBQMATZR6CT,392742
Alisha Jha,Male,9/28/2018,Bhavnagar,ST,No,63038831,Muslim,GOVT SMT K K HIGHSCHOOL,Junagadh,,4th,C,793-691-4218,AlishaJha@gmail.com,32550,Government,Faiyaz Bhatti,Kaira Dara,Assamese,Telugu,Engineer,Retired,Doctorate/Ph.D.,No Formal Education,2346-1598-4072,7860-3114-6634-2200,State Bank Of India,Individual,A+,A8OK8YTUDIL,386324
Urvi Gara,Male,5/21/2018,Bhesan,SC,No,56759376,Hindu,GOVT SMT K K HIGHSCHOOL,Dahod,,5th,A,909-303-8131,UrviGara@gmail.com,58426,Government,Adira Lad,Kavya Mand,Oriya,Manipuri,Engineer,Business Owner,Doctorate/Ph.D.,Other/Unknown,9176-9570-4042,6881-6234-2747-7084,Axis Bank,Individual,AB-,AJBL3LOXYCO,384678
Diya Doshi,Female,2/22/2018,Deesa,SC,No,15960129,Hindu,GOVT SMT K K HIGHSCHOOL,Bhavnagar,,9th,A,811-947-2006,DiyaDoshi@gmail.com,86242,Government,Hrishita Savant,Taran Dhaliwal,Marathi,Dogri,Construction Worker,Other,Doctorate/Ph.D.,High School,5599-9029-9745,6738-6012-4024-8778,State Bank Of India,Individual,A-,3097J1TTLQF,387385
Samarth Bedi,Male,12/9/2018,Mehmedabad,OBC,No,68236698,Muslim,GOVT SMT K K HIGHSCHOOL,Banaskantha,,7th,C,502-891-9687,SamarthBedi@gmail.com,49741,Government,Kartik Dhingra,Ryan Magar,Manipuri,Kashmiri,Teacher,Chef,Master's Degree,Other/Unknown,8152-8309-2446,3260-9706-3670-1307,Axis Bank,Joint,A+,Q0AVZPVFKZ0,385709
Prerak Wagle,Male,8/20/2018,Kodinar,ST,No,60840980,Hindu,GOVT SMT K K HIGHSCHOOL,Valsad,,7th,D,880-518-5393,PrerakWagle@gmail.com,75856,Government,Parinaaz Ratti,Parinaaz Swaminathan,Tamil,Bodo,Business Owner,Manager,Master's Degree,High School,4142-9362-8829,6873-8630-8490-2180,ICICI Bank,Joint,A+,Y058X06W5BU,390292
Sara Joshi,Male,6/7/2018,Ghoghamba,DT,No,35067447,Hindu,GOVT SMT K K HIGHSCHOOL,Ahmedabad,,11th,A,631-378-5721,SaraJoshi@gmail.com,27017,Government,Raunak Mallick,Hazel Amble,Punjabi,Others,Retired,Librarian,Bachelor's Degree,Master's Degree,5576-2165-3136,8979-4738-5695-7577,Indian Bank,Joint,A+,3TIIPHO4IZ6,386874
Arhaan Bhalla,Male,9/1/2018,Junagadh,DT,No,33551200,Muslim,GOVT SMT K K HIGHSCHOOL,Anand,,1st,A,881-915-5794,ArhaanBhalla@gmail.com,46801,Government,Akarsh Kalita,Anvi Shroff,Sindhi,Bangla,Teacher,Manager,High School,No Formal Education,1794-8089-9784,9063-8784-6888-9657,ICICI Bank,Joint,AB+,EIRF36HT2LF,386882
Dharmajan Dara,Male,10/13/2018,Kodinar,DT,No,31103655,Muslim,GOVT SMT K K HIGHSCHOOL,Bharuch,,12th,C,715-576-3892,DharmajanDara@gmail.com,66102,Government,Samiha Bhat,Zain Dhingra,Hindi,Bodo,Government Employee,Nurse,Primary School,Doctorate/Ph.D.,4613-9461-1175,3612-6800-6283-7827,Punjab National Bank,Joint,B+,GSXD11PMWLA,384733
Shaan Deshmukh,Female,10/28/2018,Khanpur,DT,No,79114435,Hindu,GOVT SMT K K HIGHSCHOOL,Navsari,,11th,A,496-871-5418,ShaanDeshmukh@gmail.com,71010,Government,Nayantara Mangal,Kiara Shere,Dogri,Tamil,Manager,Retired,Some College/Associate's Degree,Vocational/Trade School,6296-9489-7676,4943-3697-9695-7139,IDBI Bank,Joint,B+,IF4PGOA3CB5,397899
Eshani Batra,Female,11/3/2018,Balasinor,DT,No,18587101,Christian,GOVT SMT K K HIGHSCHOOL,Anand,,12th,C,170-560-8468,EshaniBatra@gmail.com,33653,Government,Jiya Som,Kismat Sahota,Dogri,Urdu,Government Employee,Pharmacist,Bachelor's Degree,Other/Unknown,3830-2544-2940,9698-2316-1099-2005,Axis Bank,Joint,AB-,M62YABQ1FWG,380853
Aayush Brahmbhatt,Female,9/6/2018,Ranpur,ST,No,67149294,Muslim,GOVT SMT K K HIGHSCHOOL,The Dangs,,5th,D,505-540-8448,AayushBrahmbhatt@gmail.com,73061,Government,Arnav Srinivas,Ivan Chakraborty,Kannada,Bangla,Manager,Homemaker,Bachelor's Degree,Master's Degree,8741-3537-9477,1955-4133-1828-3533,ICICI Bank,Individual,AB+,TOL0ZQQW07S,397839
Zeeshan Handa,Male,1/24/2018,Petlad,DT,No,43577824,Muslim,GOVT SMT K K HIGHSCHOOL,Porbandar,,6th,B,236-504-3671,ZeeshanHanda@gmail.com,71605,Government,Ranbir Upadhyay,Vivaan Chauhan,Sindhi,Gujarati,Lawyer,Chef,No Formal Education,Doctorate/Ph.D.,6785-6558-6338,9438-8045-5046-9373,IDBI Bank,Joint,A+,WU4YAEN0MTS,396829
Sahil Khurana,Male,4/8/2018,Morwa (Hadaf),ST,No,41334808,Christian,GOVT SMT K K HIGHSCHOOL,Vadodara,,2nd,A,376-201-5249,SahilKhurana@gmail.com,68514,Government,Indrans Behl,Gokul Khare,Sindhi,Santali,Chef,Nurse,Master's Degree,Other/Unknown,7118-8749-7670,7179-5543-1075-8442,IDBI Bank,Joint,AB+,C50K9ESYA4R,392729
Piya Tiwari,Female,9/12/2018,Harij,SC,No,69429982,Hindu,GOVT SMT K K HIGHSCHOOL,Patan,,5th,C,683-840-3028,PiyaTiwari@gmail.com,52258,Government,Hazel Rajagopalan,Jhanvi Bose,Telugu,Marathi,Accountant,Homemaker,Primary School,Master's Degree,5412-8614-7346,6310-8564-8984-2279,Central Bank Of India,Joint,B-,4O941XSVP20,386351
Ela Shere,Female,3/11/2018,Wankaner,DT,No,26634185,Christian,GOVT SMT K K HIGHSCHOOL,Surendranagar,,8th,C,856-476-5459,ElaShere@gmail.com,77929,Government,Hansh Shukla,Lakshit Jaggi,Konkani,Dogri,Doctor,Other,Primary School,Other/Unknown,5402-1640-2453,8112-7913-1381-8001,Indian Bank,Individual,A-,HIMRXQPPUUL,398730
Faiyaz Dar,Female,10/28/2018,Matar,OBC,No,59410441,Hindu,GOVT SMT K K HIGHSCHOOL,Anand,,11th,C,429-925-3686,FaiyazDar@gmail.com,99601,Government,Prisha Anand,Trisha Bose,Punjabi,Konkani,Other,Chef,Other/Unknown,Master's Degree,2241-5970-5493,5657-8587-9771-4806,HDFC Bank,Joint,O+,EHLUL8OHIS3,382963
