name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Eva Sem,Male,1/16/2018,Lathi,DT,No,69885603,Christian,GOVT. HIGH SEC. SCHOOL,Amreli,,6th,B,343-582-6886,EvaSem@gmail.com,52870,Government,Aayush Gandhi,Azad Sidhu,Manipuri,Bodo,Sales Representative,Business Owner,Some College/Associate's Degree,No Formal Education,3200-7841-4820,7769-8056-5336-1793,IDBI Bank,Joint,AB+,8Y0LGDTUVBM,384344
Reyansh Mand,Male,12/15/2018,Jamkandorna,OBC,No,67562289,Hindu,GOVT. HIGH SEC. SCHOOL,Gandhinagar,,2nd,B,410-851-6538,ReyanshMand@gmail.com,48993,Government,Amani Atwal,Pari Sahni,Konkani,Tamil,Sales Representative,Sales Representative,Primary School,Primary School,4165-4227-5934,1727-1068-7531-8843,Indian Bank,Individual,A-,5FG8JEGZHDH,387398
Ishita Raj,Female,5/27/2018,Chotila,ST,No,31331757,Hindu,GOVT. HIGH SEC. SCHOOL,Bharuch,,10th,C,826-989-9859,IshitaRaj@gmail.com,25078,Government,Romil Wason,Ahana  Kapadia,Manipuri,Bangla,Business Owner,Retired,Bachelor's Degree,Doctorate/Ph.D.,5667-3875-8608,3872-7676-4517-7244,Central Bank Of India,Joint,A-,O9M85X7ZWQC,388248
Himmat Hora,Female,9/27/2018,Petlad,ST,No,41170879,Hindu,GOVT. HIGH SEC. SCHOOL,Anand,,11th,D,702-585-5828,HimmatHora@gmail.com,49052,Government,Bhavin Sharaf,Khushi Kalita,Kannada,Telugu,Retired,Secretary,No Formal Education,Primary School,5297-6753-6010,9548-1722-4165-2854,IDBI Bank,Joint,AB-,8WPGVZID1NX,381643
Stuvan Shenoy,Male,3/24/2018,Vav,DT,No,13235857,Christian,GOVT. HIGH SEC. SCHOOL,Junagadh,,6th,A,437-338-7833,StuvanShenoy@gmail.com,34583,Government,Myra Kaul,Zeeshan Babu,Kashmiri,Kannada,Teacher,Labour,Bachelor's Degree,High School,1219-7136-4360,2771-6631-6623-7789,Indian Bank,Individual,B-,XQ90TEQZ7BA,384668
Zaina Krishnamurthy,Female,1/13/2018,Morwa (Hadaf),ST,No,59919903,Christian,GOVT. HIGH SEC. SCHOOL,Bhavnagar,,7th,C,644-776-2641,ZainaKrishnamurthy@gmail.com,90121,Government,Ishita Hayre,Bhavin Ramachandran,Bangla,Hindi,Other,Other,Primary School,High School,3947-3245-1180,6488-6228-6718-3733,Axis Bank,Joint,A-,5XR4KFM425S,392184
Pihu Ahuja,Male,12/2/2018,Godhra,SC,No,98204464,Muslim,GOVT. HIGH SEC. SCHOOL,Ahmedabad,,2nd,A,265-492-4245,PihuAhuja@gmail.com,96951,Government,Charvi Warrior,Yashvi Balasubramanian,Maithili,Bangla,Manager,Business Owner,Some College/Associate's Degree,No Formal Education,1491-8442-5450,6274-3675-9201-3514,State Bank Of India,Joint,A+,VEJZRJT112N,390536
Umang Tiwari,Male,8/26/2018,Deesa,SEBC,No,52063139,Hindu,GOVT. HIGH SEC. SCHOOL,Navsari,,12th,B,512-172-6656,UmangTiwari@gmail.com,80964,Government,Ivan Ganesh,Purab Baral,Urdu,Others,Labour,Social Worker,Other/Unknown,Primary School,8274-5994-5777,5014-6154-5041-9439,State Bank Of India,Individual,A+,9HG4C5LAXWM,398947
Divyansh Gaba,Male,6/10/2018,Vanthali,DT,No,91139076,Hindu,GOVT. HIGH SEC. SCHOOL,Dahod,,6th,B,132-259-5848,DivyanshGaba@gmail.com,86239,Government,Amira Amble,Jayesh Chahal,Telugu,Malayalam,Lawyer,IT Professional,High School,Primary School,1797-2583-9504,6878-9931-6946-7953,ICICI Bank,Individual,O+,A0SH1ONQG3D,393659
Veer Rout,Female,11/11/2018,Unjha,SC,No,30470050,Christian,GOVT. HIGH SEC. SCHOOL,Sabarkantha,,2nd,B,982-614-3329,VeerRout@gmail.com,31381,Government,Shayak Dada,Vritika Butala,Oriya,Nepali,Government Employee,Manager,Master's Degree,No Formal Education,3864-8550-1556,3166-3547-4180-9102,IDBI Bank,Joint,O+,O8035E8B85N,390865
Taran Rege,Female,4/19/2018,Bayad,SEBC,No,97660650,Christian,GOVT. HIGH SEC. SCHOOL,Bharuch,,9th,C,756-443-6813,TaranRege@gmail.com,75767,Government,Vanya Deep,Sahil Gulati,Tamil,Dogri,Doctor,Accountant,Doctorate/Ph.D.,Bachelor's Degree,7818-5284-7518,3093-3078-5069-5961,Indian Bank,Individual,B+,B5JIFQXZG8I,393586
Chirag Subramanian,Male,11/23/2018,Deodar,ST,No,49259294,Muslim,GOVT. HIGH SEC. SCHOOL,Dahod,,1st,C,931-557-3321,ChiragSubramanian@gmail.com,77342,Government,Anahita Babu,Dhanuk Kuruvilla,Oriya,Assamese,Labour,IT Professional,Bachelor's Degree,Doctorate/Ph.D.,3328-7425-9378,8074-2403-6980-4845,ICICI Bank,Joint,A-,BG05GDNMLYX,390230
Siya Shan,Male,10/3/2018,Jamjodhpur,ST,No,24750095,Hindu,GOVT. HIGH SEC. SCHOOL,Porbandar,,3rd,A,357-185-1900,SiyaShan@gmail.com,36666,Government,Divit Bhandari,Darshit Bobal,Oriya,Others,Government Employee,Chef,Vocational/Trade School,Other/Unknown,5530-1723-3483,1916-7404-5946-4754,Central Bank Of India,Individual,A+,355BVTF7C6Y,389321
Mannat Bhatti,Female,5/5/2018,Muli,SEBC,No,12003907,Muslim,GOVT. HIGH SEC. SCHOOL,Panchmahals,,4th,C,589-379-5262,MannatBhatti@gmail.com,62930,Government,Rohan Dar,Mohanlal Mallick,Santali,Nepali,Construction Worker,Chef,Other/Unknown,Primary School,9921-1286-3542,5009-8264-9178-5892,Central Bank Of India,Joint,O+,5KHJZZFT4WX,397163
Rasha Golla,Male,11/17/2018,Paddhari,DT,No,47980517,Christian,GOVT. HIGH SEC. SCHOOL,Sabarkantha,,5th,B,945-931-6961,RashaGolla@gmail.com,77197,Government,Biju Bansal,Advika Kannan,Assamese,Assamese,Artist,Nurse,Master's Degree,Doctorate/Ph.D.,1289-9724-8508,6093-8599-5840-9646,Indian Bank,Joint,A+,USGGZ21VSBW,382057
Vivaan Kalla,Female,9/1/2018,Talaja,DT,No,11803312,Hindu,GOVT. HIGH SEC. SCHOOL,Panchmahals,,10th,C,116-720-3866,VivaanKalla@gmail.com,59812,Government,Nirvi Agarwal,Nitara Kade,Malayalam,Punjabi,Labour,Doctor,Other/Unknown,Doctorate/Ph.D.,2533-4378-1085,8969-7760-4888-4654,State Bank Of India,Joint,B-,TGZO4D3S41D,384353
Dhanush Chandran,Female,8/5/2018,Thasra,SEBC,No,59020683,Muslim,GOVT. HIGH SEC. SCHOOL,The Dangs,,11th,D,739-405-1254,DhanushChandran@gmail.com,25618,Government,Shlok Bath,Indrans Hayer,Gujarati,Kannada,Accountant,Manager,Primary School,No Formal Education,3332-7233-8693,8678-9084-5664-9708,IDBI Bank,Individual,AB-,M0YL23AJRI1,386755
Zaina Master,Male,4/27/2018,Mahuva,DT,No,27101867,Muslim,GOVT. HIGH SEC. SCHOOL,Junagadh,,5th,C,672-925-9453,ZainaMaster@gmail.com,31439,Government,Elakshi Sunder,Riya Chokshi,Gujarati,Bangla,Teacher,Accountant,Master's Degree,Primary School,3530-5785-3898,6533-8229-6736-4700,Central Bank Of India,Individual,A-,7749J6LZD04,389296
Zara Kuruvilla,Female,4/9/2018,Mendarda,SC,No,13314080,Muslim,GOVT. HIGH SEC. SCHOOL,Panchmahals,,6th,A,840-463-4894,ZaraKuruvilla@gmail.com,37455,Government,Ayesha Sule,Hrishita Sinha,Kannada,Punjabi,IT Professional,Other,High School,Master's Degree,8643-8760-6365,8460-8240-3971-9511,Central Bank Of India,Individual,B+,ULG31N3G9B7,398033
Tiya Kannan,Male,12/14/2018,Malpur,SC,No,33141598,Christian,GOVT. HIGH SEC. SCHOOL,Jamnagar,,1st,B,197-266-8214,TiyaKannan@gmail.com,98464,Government,Mohanlal Deshpande,Vritika Dalal,Sindhi,Kannada,Government Employee,Homemaker,Doctorate/Ph.D.,High School,5900-7757-2748,9231-5593-7641-4446,Punjab National Bank,Joint,A+,ADDSZYT4UOH,384213
Vritika Doshi,Male,10/28/2018,Borsad,DT,No,19841504,Muslim,GOVT. HIGH SEC. SCHOOL,Narmada,,6th,C,140-492-3854,VritikaDoshi@gmail.com,70213,Government,Eva Lad,Dishani Deshpande,Konkani,Santali,Construction Worker,Other,Other/Unknown,Some College/Associate's Degree,4239-7508-3826,3948-5612-1124-4937,Indian Bank,Joint,B-,H9OAFNQ5UHN,391890
Nitya Krishna,Male,9/1/2018,Mansa,ST,No,78299313,Hindu,GOVT. HIGH SEC. SCHOOL,Rajkot,,4th,B,798-673-9886,NityaKrishna@gmail.com,33668,Government,Shamik Salvi,Stuvan Gour,Maithili,Kannada,Other,Doctor,Other/Unknown,Other/Unknown,7030-5020-3097,2830-8588-7231-2052,IDBI Bank,Individual,O+,RN66VAO3FCL,392915
