name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Dhruv Varughese,Male,5/12/2018,Gandhidham,DT,No,11587049,Muslim,INDIRABAI HIGH SCHOOL,Surat,,6th,B,707-713-1838,DhruvVarughese@gmail.com,49993,Private,Taimur Bir,Romil Master,Tamil,Kashmiri,Artist,Chef,Vocational/Trade School,Some College/Associate's Degree,2906-6747-2996,9465-1042-6097-2907,Indian Bank,Joint,A-,IJ0STAPUCMG,382326
Manjari Sampath,Male,12/3/2018,Deesa,NT,No,36597896,Muslim,INDIRABAI HIGH SCHOOL,Sabarkantha,,5th,C,511-977-7546,ManjariSampath@gmail.com,27369,Private,Adah Salvi,Shray Tella,Kashmiri,Dogri,Artist,Chef,Some College/Associate's Degree,Some College/Associate's Degree,2606-3957-6675,3037-7373-9744-8373,Axis Bank,Individual,B+,RRP75BCPC5X,396485
Priyansh Bhandari,Male,11/13/2018,Paddhari,DT,No,49195097,Muslim,INDIRABAI HIGH SCHOOL,Panchmahals,,10th,C,965-254-6485,PriyanshBhandari@gmail.com,90007,Private,Kabir Venkatesh,Trisha Jhaveri,Dogri,Gujarati,Engineer,Labour,Master's Degree,Middle School,1869-4606-3835,8324-6143-5066-7923,ICICI Bank,Individual,B-,4U641D6F0HS,380552
Pihu Swaminathan,Male,8/22/2018,Idar,NT,No,96332417,Muslim,INDIRABAI HIGH SCHOOL,Ahmedabad,,12th,B,989-982-2524,PihuSwaminathan@gmail.com,42498,Private,Vritika Sarkar,Kimaya Bal,Manipuri,Sindhi,Accountant,Nurse,Some College/Associate's Degree,High School,3070-4874-2462,7717-4009-4200-1120,Indian Bank,Joint,O+,R046XFEDCNX,387126
Zoya Bhardwaj,Female,1/26/2018,Harij,DT,No,71544027,Christian,INDIRABAI HIGH SCHOOL,Amreli,,9th,D,383-923-6373,ZoyaBhardwaj@gmail.com,57230,Private,Darshit Anand,Aarna Chada,Telugu,Others,Business Owner,Manager,Middle School,Middle School,1163-2625-1844,3391-3850-5167-6452,HDFC Bank,Joint,O+,SDWRBCTFV63,392858
Aayush Dutta,Female,8/7/2018,Malpur,ST,No,99852237,Muslim,INDIRABAI HIGH SCHOOL,Mahesana,,10th,C,938-382-6056,AayushDutta@gmail.com,91839,Private,Nitya Upadhyay,Dharmajan Sankaran,Others,Sindhi,Engineer,Government Employee,Doctorate/Ph.D.,Vocational/Trade School,2581-6063-9083,6570-7506-9659-1307,State Bank Of India,Joint,A+,6PBPO0SOI5W,393057
Aarna Dani,Female,10/17/2018,Okhamandal,SC,No,26634494,Hindu,INDIRABAI HIGH SCHOOL,Panchmahals,,4th,D,100-126-8447,AarnaDani@gmail.com,98288,Private,Farhan Dasgupta,Hunar Doshi,Santali,Malayalam,Business Owner,Secretary,Bachelor's Degree,Doctorate/Ph.D.,5581-9114-1657,9287-9219-6274-7514,HDFC Bank,Individual,AB-,A0ZHBN20ATO,384038
Amani Gera,Female,10/27/2018,Maliya,NT,No,40931027,Christian,INDIRABAI HIGH SCHOOL,Narmada,,12th,A,881-513-8039,AmaniGera@gmail.com,97240,Private,Vritika Shanker,Kismat Sura,Santali,Oriya,Driver,Government Employee,Primary School,Middle School,1128-6434-8160,3357-8397-9979-3556,Central Bank Of India,Individual,A+,7L2HNYRUGNI,396934
Zaina Tella,Male,2/1/2018,Bagasara,SC,No,72937674,Hindu,INDIRABAI HIGH SCHOOL,Anand,,5th,D,823-287-6928,ZainaTella@gmail.com,99915,Private,Arnav Shukla,Krish Chander,Kannada,Santali,Farmer,Sales Representative,Vocational/Trade School,No Formal Education,9040-9726-2006,5292-6309-2342-7178,ICICI Bank,Individual,AB+,56TM6H1YPHS,380054
Stuvan Hans,Female,4/26/2018,Becharaji,OBC,No,36010864,Christian,INDIRABAI HIGH SCHOOL,Porbandar,,11th,A,958-746-6031,StuvanHans@gmail.com,49024,Private,Saksham Kapur,Amani Shukla,Marathi,Hindi,Other,Labour,Some College/Associate's Degree,Vocational/Trade School,7243-9302-2517,5598-2528-9568-1415,Indian Bank,Joint,B-,L8HBS4VCNT3,389991
Nayantara Kunda,Male,6/9/2018,Unjha,DT,No,36845837,Christian,INDIRABAI HIGH SCHOOL,Junagadh,,10th,C,134-189-5662,NayantaraKunda@gmail.com,56832,Private,Lakshay Sarkar,Samarth Devi,Others,Kannada,Sales Representative,Artist,No Formal Education,Some College/Associate's Degree,1949-7230-4022,3148-7101-1069-2913,Indian Bank,Joint,B-,58HH92LAWLS,383846
Renee Majumdar,Male,4/2/2018,Harij,DT,No,54731261,Hindu,INDIRABAI HIGH SCHOOL,Valsad,,11th,A,977-372-4820,ReneeMajumdar@gmail.com,69460,Private,Biju Iyengar,Ayesha Kalla,Santali,Hindi,Manager,Retired,Other/Unknown,Primary School,6111-7166-8220,2123-9328-7779-9434,Central Bank Of India,Individual,A+,M44MGZYJL53,398678
Keya Chand,Male,7/26/2018,Sojitra,DT,No,92738160,Christian,INDIRABAI HIGH SCHOOL,Surendranagar,,3rd,B,901-345-4306,KeyaChand@gmail.com,64769,Private,Hansh Mann,Nakul Agrawal,Oriya,Assamese,Engineer,Secretary,High School,No Formal Education,1618-9092-2171,9111-9998-4487-2738,Central Bank Of India,Joint,B+,LDRVBCRP3XM,395115
Shlok Thakur,Female,9/14/2018,Fata,DT,No,72603770,Hindu,INDIRABAI HIGH SCHOOL,Bhavnagar,,12th,B,955-610-5719,ShlokThakur@gmail.com,75956,Private,Charvi Kohli,Reyansh Maharaj,Santali,Kashmiri,Teacher,Labour,Doctorate/Ph.D.,Vocational/Trade School,9897-5952-4052,6336-8849-7103-3643,State Bank Of India,Individual,B+,VOED8M66CHS,398069
Vardaniya Khatri,Female,7/25/2018,Nadiad,SC,No,75430417,Christian,INDIRABAI HIGH SCHOOL,Bharuch,,10th,B,778-438-6784,VardaniyaKhatri@gmail.com,44739,Private,Adah Kannan,Nitya Mani,Marathi,Dogri,Construction Worker,Sales Representative,Doctorate/Ph.D.,High School,6319-2373-6082,6967-2536-1408-5993,Punjab National Bank,Individual,A-,UNWOATBCEKL,399587
Aarush Ratti,Female,11/20/2018,Jamkandorna,DT,No,36565152,Christian,INDIRABAI HIGH SCHOOL,Bhavnagar,,2nd,A,588-748-4578,AarushRatti@gmail.com,89020,Private,Mishti Maharaj,Urvi Balakrishnan,Oriya,Konkani,Accountant,Pharmacist,High School,Doctorate/Ph.D.,8871-1614-3297,2644-2492-7444-3607,Central Bank Of India,Individual,B-,FIZO8ZVG09E,387584
Oorja Doctor,Male,8/21/2018,Babra,DT,No,60532179,Christian,INDIRABAI HIGH SCHOOL,Dahod,,4th,B,720-288-7900,OorjaDoctor@gmail.com,71758,Private,Neysa Gala,Nirvaan Kumar,Oriya,Urdu,Retired,Librarian,Bachelor's Degree,Primary School,8563-6750-8405,2348-4083-7304-8367,Indian Bank,Individual,A-,9RM3MQLGDFG,389464
