name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Misha Rama,Female,4/17/2018,Mandal,General,No,17973111,Christian,K.K.M.S. HIGH SCHOOL,Amreli,,8th,D,769-451-2319,MishaRama@gmail.com,88541,Private,Anahita Mandal,Shlok Sarin,Dogri,Malayalam,Artist,Secretary,Bachelor's Degree,Some College/Associate's Degree,5064-5827-4517,2916-1018-4358-5765,State Bank Of India,Joint,B+,DR03DRGVJ0E,394833
Zaina Rau,Male,4/16/2018,Porbandar,SEBC,No,54439724,Hindu,K.K.M.S. HIGH SCHOOL,Kheda,,4th,C,518-198-4163,ZainaRau@gmail.com,92031,Private,Aarav Soni,Aarav Gokhale,Santali,Telugu,Government Employee,Nurse,Primary School,Doctorate/Ph.D.,6482-3043-4486,6356-7369-5211-5286,Punjab National Bank,Individual,A+,SQ6U939FQ1P,392774
Raunak Deshmukh,Male,4/3/2018,Gandhinagar,ST,No,41866846,Christian,K.K.M.S. HIGH SCHOOL,Narmada,,5th,A,328-123-8749,RaunakDeshmukh@gmail.com,77148,Private,Shanaya Kata,Nehmat Swamy,Dogri,Assamese,Sales Representative,Accountant,No Formal Education,High School,7672-5356-8070,2305-8149-8146-5120,State Bank Of India,Joint,B-,3W8LUT4YNZ2,382858
Faiyaz Srinivasan,Female,1/28/2018,Umrala,ST,No,98797229,Hindu,K.K.M.S. HIGH SCHOOL,Rajkot,,1st,A,875-807-5752,FaiyazSrinivasan@gmail.com,47387,Private,Mehul Tata,Hunar Mangat,Dogri,Bangla,Business Owner,IT Professional,Vocational/Trade School,Some College/Associate's Degree,9659-8792-3373,7911-8072-1130-8791,ICICI Bank,Individual,B-,3V8F9DSJ6XT,381991
Badal Hayer,Female,5/25/2018,Umreth,DT,No,81969917,Hindu,K.K.M.S. HIGH SCHOOL,Tapi,,4th,C,462-288-2870,BadalHayer@gmail.com,56208,Private,Chirag Sampath,Shanaya Sengupta,Bangla,Hindi,Manager,Retired,Master's Degree,Middle School,3675-8772-1897,5352-8844-5742-5961,Indian Bank,Individual,O+,KALO581OUR7,388184
Madhup Hayer,Female,8/23/2018,Kheda,SC,No,94764609,Muslim,K.K.M.S. HIGH SCHOOL,Navsari,,6th,B,980-650-6523,MadhupHayer@gmail.com,75749,Private,Miraan Madan,Urvi Sami,Oriya,Nepali,Chef,Teacher,Vocational/Trade School,Doctorate/Ph.D.,4884-5473-3004,8511-5488-2422-6484,Axis Bank,Joint,A+,I3SVJKK8OP4,385333
Aaryahi Varty,Male,7/6/2018,Becharaji,SEBC,No,19036943,Christian,K.K.M.S. HIGH SCHOOL,Ahmedabad,,3rd,C,722-806-5775,AaryahiVarty@gmail.com,30717,Private,Eshani Warrior,Taimur Karnik,Manipuri,Bangla,IT Professional,Doctor,Some College/Associate's Degree,Bachelor's Degree,6738-9387-6958,6993-2085-4359-2460,Indian Bank,Individual,B+,FNFXWPSSHEG,391797
Armaan Krishnamurthy,Female,1/17/2018,Rajula,SC,No,12511969,Hindu,K.K.M.S. HIGH SCHOOL,Porbandar,,9th,C,776-675-7670,ArmaanKrishnamurthy@gmail.com,75669,Private,Onkar Issac,Jivika Manda,Malayalam,Telugu,Labour,Artist,Bachelor's Degree,Primary School,5089-1608-3890,6401-8564-7456-2827,Axis Bank,Joint,AB+,WKUPWQKXLU6,392138
Shray Saxena,Male,12/6/2018,Morvi,SEBC,No,94282141,Christian,K.K.M.S. HIGH SCHOOL,Rajkot,,6th,C,362-991-2054,ShraySaxena@gmail.com,75782,Private,Aaryahi Shanker,Vardaniya Dhaliwal,Dogri,Oriya,Farmer,IT Professional,Other/Unknown,No Formal Education,2385-1795-5355,4986-7847-6006-2614,Punjab National Bank,Individual,B-,7R1YBHORBCX,384504
Ivana Shan,Male,9/20/2018,Idar,SC,No,35168266,Christian,K.K.M.S. HIGH SCHOOL,Junagadh,,5th,C,584-923-1607,IvanaShan@gmail.com,65066,Private,Nitara Ramesh,Ranbir Badami,Oriya,Manipuri,Chef,Doctor,No Formal Education,High School,8439-7088-2697,6584-1442-5052-7496,Punjab National Bank,Individual,O+,075PMPX307G,387210
Aaryahi Sanghvi,Female,8/18/2018,Jamnagar,SC,No,39958765,Muslim,K.K.M.S. HIGH SCHOOL,Kheda,,7th,A,111-853-1532,AaryahiSanghvi@gmail.com,85787,Private,Dharmajan Sunder,Rasha Chokshi,Hindi,Malayalam,Driver,Teacher,Bachelor's Degree,High School,3967-2000-1521,6049-9606-3691-4063,ICICI Bank,Joint,AB+,6N0F3ND89RV,395649
Jivin Sahota,Female,3/13/2018,Anklav,SC,No,48862057,Hindu,K.K.M.S. HIGH SCHOOL,Sabarkantha,,6th,B,899-564-3644,JivinSahota@gmail.com,62679,Private,Kabir Seth,Mahika Kakar,Marathi,Sindhi,Labour,IT Professional,Other/Unknown,Middle School,8651-9177-6400,3773-4805-6360-7081,IDBI Bank,Individual,A-,EWQCXIU5BPC,382972
Miraya Biswas,Male,8/16/2018,Dhoraji,OBC,No,68844580,Hindu,K.K.M.S. HIGH SCHOOL,Bhavnagar,,8th,D,496-802-4519,MirayaBiswas@gmail.com,86981,Private,Chirag Sem,Pranay Viswanathan,Kannada,Marathi,Manager,Chef,Primary School,Doctorate/Ph.D.,4272-4110-5267,7672-3191-3296-7899,Indian Bank,Individual,A-,E7P1GBHIJBK,391667
Sana Babu,Male,8/27/2018,Sihor,DT,No,32807192,Muslim,K.K.M.S. HIGH SCHOOL,The Dangs,,1st,A,190-809-8007,SanaBabu@gmail.com,43756,Private,Ojas Dey,Bhamini Bhagat,Malayalam,Manipuri,Lawyer,Secretary,No Formal Education,Some College/Associate's Degree,5997-3842-1113,4317-6099-6040-4071,Central Bank Of India,Individual,A-,EOZQSLP18YL,397389
Ryan Suri,Male,6/6/2018,Talod,DT,No,75706723,Christian,K.K.M.S. HIGH SCHOOL,Navsari,,8th,A,227-275-7077,RyanSuri@gmail.com,72376,Private,Arnav Golla,Ritvik Sem,Bangla,Maithili,Government Employee,Librarian,Middle School,Master's Degree,5756-6722-2444,4700-1784-1591-6481,Punjab National Bank,Individual,B+,YKLK5SVNQ4B,389896
Sumer Reddy,Female,12/23/2018,Borsad,ST,No,99839666,Hindu,K.K.M.S. HIGH SCHOOL,Bharuch,,3rd,A,885-191-4888,SumerReddy@gmail.com,67343,Private,Rania Barman,Vardaniya Jaggi,Santali,Konkani,Farmer,Chef,Doctorate/Ph.D.,Primary School,6602-1071-5006,2971-6459-3479-7732,Indian Bank,Joint,A-,19GZXX0BR0R,384877
Anaya Mane,Male,8/22/2018,Savarkundla,DT,No,79139797,Muslim,K.K.M.S. HIGH SCHOOL,Kheda,,7th,B,149-702-2579,AnayaMane@gmail.com,53580,Private,Fateh Uppal,Jayesh Johal,Kannada,Kannada,IT Professional,Teacher,Other/Unknown,Doctorate/Ph.D.,1331-1217-7954,3368-7591-6166-5914,Punjab National Bank,Joint,B+,V1Q66VF04WM,383571
Yuvraj  Dayal,Female,6/19/2018,Kalol,DT,No,39813115,Muslim,K.K.M.S. HIGH SCHOOL,Navsari,,10th,D,137-523-4351,YuvrajDayal@gmail.com,60219,Private,Sumer Bassi,Ojas Sarma,Bodo,Hindi,Government Employee,Business Owner,Bachelor's Degree,Middle School,3215-9620-5332,3070-6935-9170-6034,ICICI Bank,Individual,O+,GK9PAT5JY7S,392453
Ahana  Gupta,Male,6/19/2018,Jetpur,SEBC,No,96424471,Hindu,K.K.M.S. HIGH SCHOOL,Amreli,,11th,A,626-778-7653,AhanaGupta@gmail.com,92286,Private,Tushar Sibal,Vedika Barad,Punjabi,Others,Construction Worker,Chef,Doctorate/Ph.D.,High School,7700-8468-9406,5473-9530-8573-7816,ICICI Bank,Individual,O+,MXFF666XYA9,399618
Diya Deep,Male,2/3/2018,Becharaji,DT,No,18931137,Christian,K.K.M.S. HIGH SCHOOL,The Dangs,,10th,A,506-109-1162,DiyaDeep@gmail.com,71906,Private,Nitara Sachdev,Faiyaz Varkey,Hindi,Marathi,Lawyer,Labour,Master's Degree,Doctorate/Ph.D.,8584-8739-9506,7021-2845-5901-9405,State Bank Of India,Joint,B-,A7I1GHZPDOA,383464
Vaibhav Koshy,Female,2/12/2018,Umrala,DT,No,69071184,Muslim,K.K.M.S. HIGH SCHOOL,The Dangs,,3rd,D,838-359-1003,VaibhavKoshy@gmail.com,35355,Private,Darshit Barad,Ayesha Verma,Gujarati,Tamil,Artist,Social Worker,Some College/Associate's Degree,Bachelor's Degree,6685-7700-5742,8559-4382-3625-5243,ICICI Bank,Joint,O+,C2EBFBIF4PG,396753
Baiju Randhawa,Male,4/7/2018,Patan-Veraval,DT,No,18670769,Christian,K.K.M.S. HIGH SCHOOL,The Dangs,,4th,B,580-559-7981,BaijuRandhawa@gmail.com,55538,Private,Abram Gole,Anvi Sandal,Manipuri,Others,Doctor,Nurse,No Formal Education,High School,1768-3381-6703,5135-3043-5585-5666,State Bank Of India,Joint,O+,LTXBRSZZMCO,380150
Damini Verma,Female,12/14/2018,Porbandar,DT,No,76680527,Muslim,K.K.M.S. HIGH SCHOOL,Patan,,12th,D,875-518-2358,DaminiVerma@gmail.com,81633,Private,Arnav Chhabra,Veer Sarin,Others,Manipuri,Retired,Nurse,Primary School,Vocational/Trade School,5094-2199-4801,8426-8349-8666-9310,State Bank Of India,Individual,B+,5Q9N2X2CRUE,390766
Eshani Gopal,Male,9/2/2018,Prantij,DT,No,83813783,Muslim,K.K.M.S. HIGH SCHOOL,Ahmedabad,,1st,D,800-127-4997,EshaniGopal@gmail.com,40646,Private,Mishti Sawhney,Tarini Chacko,Sindhi,Bangla,Chef,Accountant,Primary School,No Formal Education,8739-6184-1619,8849-4871-4125-2697,IDBI Bank,Individual,AB-,776SI02XUAS,385944
Faiyaz Vala,Female,9/6/2018,Deodar,NT,No,65347807,Christian,K.K.M.S. HIGH SCHOOL,Panchmahals,,9th,B,274-333-3837,FaiyazVala@gmail.com,29822,Private,Armaan Bhasin,Riaan Luthra,Marathi,Santali,Accountant,Retired,Middle School,Doctorate/Ph.D.,1514-5666-5042,5956-9558-8882-1348,Indian Bank,Individual,A+,7QC2XJOP3MS,381606
Fateh Gala,Female,1/2/2018,Gadhada,DT,No,14040336,Hindu,K.K.M.S. HIGH SCHOOL,Valsad,,2nd,D,906-528-2400,FatehGala@gmail.com,33415,Private,Anaya Ramanathan,Advik Kumar,Manipuri,Oriya,Doctor,Artist,Bachelor's Degree,Doctorate/Ph.D.,1013-6757-5171,3367-9625-6445-1631,Punjab National Bank,Joint,AB-,TH9ZU8FKNAL,398070
Mamooty Bhagat,Male,3/3/2018,Vadgam,OBC,No,65279938,Hindu,K.K.M.S. HIGH SCHOOL,Junagadh,,9th,A,282-485-3151,MamootyBhagat@gmail.com,37566,Private,Ranbir Sood,Taimur Buch,Dogri,Marathi,Teacher,Labour,Master's Degree,Middle School,9888-7924-8408,1112-3839-6415-8008,Axis Bank,Individual,AB+,2M39ZK6Q38E,382551
Hunar Lata,Female,6/23/2018,Una,ST,No,75980161,Hindu,K.K.M.S. HIGH SCHOOL,Kheda,,3rd,C,401-637-5070,HunarLata@gmail.com,63524,Private,Rati Tak,Yakshit Thaman,Santali,Punjabi,Sales Representative,Other,Vocational/Trade School,No Formal Education,4563-4983-2344,7543-2505-8160-3010,Indian Bank,Joint,B-,KQU12T2NOIA,394475
Nitara Ranganathan,Female,1/20/2018,Lilia,OBC,No,12931160,Muslim,K.K.M.S. HIGH SCHOOL,Kheda,,1st,C,844-869-4125,NitaraRanganathan@gmail.com,85574,Private,Stuvan Basu,Onkar Saraf,Others,Hindi,Labour,Retired,No Formal Education,High School,3475-6297-1354,8812-2265-4123-9423,Punjab National Bank,Individual,AB-,5KAIXFN5KEK,386446
Aayush Ramanathan,Female,7/7/2018,Wankaner,SC,No,43696269,Christian,K.K.M.S. HIGH SCHOOL,Patan,,4th,C,402-894-2174,AayushRamanathan@gmail.com,99453,Private,Urvi Magar,Ritvik Sampath,Malayalam,Kannada,Farmer,Accountant,No Formal Education,Doctorate/Ph.D.,9973-5903-2211,8106-8827-5532-5153,Punjab National Bank,Individual,O+,0FEKY94W5BT,385530
Saanvi Arora,Female,8/12/2018,Lodhika,DT,No,70359057,Muslim,K.K.M.S. HIGH SCHOOL,The Dangs,,12th,C,335-971-7967,SaanviArora@gmail.com,38229,Private,Hunar Bhalla,Faiyaz Deshpande,Urdu,Malayalam,Construction Worker,Artist,Primary School,Primary School,6008-6227-6210,1305-8025-2534-6616,Indian Bank,Joint,AB-,9QLI8CZ0AO9,392264
Zain Venkataraman,Female,10/4/2018,Khambhat,DT,No,39536393,Hindu,K.K.M.S. HIGH SCHOOL,Dahod,,6th,C,724-964-1365,ZainVenkataraman@gmail.com,94518,Private,Sana Chada,Mahika Bhatia,Bangla,Hindi,Other,Pharmacist,Master's Degree,No Formal Education,3638-7797-1852,1690-6185-5969-9533,Indian Bank,Individual,AB+,2ZB5Q7HTOCB,381812
Vardaniya Gade,Female,1/18/2018,Daskroi,SEBC,No,72687086,Christian,K.K.M.S. HIGH SCHOOL,Surat,,10th,A,330-277-8783,VardaniyaGade@gmail.com,56809,Private,Lakshay Kapoor,Samiha Desai,Malayalam,Tamil,Engineer,Secretary,Vocational/Trade School,Some College/Associate's Degree,5224-1219-4261,7331-1992-9675-7127,Axis Bank,Joint,AB-,U6O9UBVEAYI,381651
Pari Zachariah,Female,11/9/2018,Sojitra,ST,No,55212081,Muslim,K.K.M.S. HIGH SCHOOL,Panchmahals,,5th,C,276-222-6859,PariZachariah@gmail.com,36693,Private,Krish Sahota,Shanaya Kothari,Sindhi,Maithili,Teacher,Teacher,Middle School,Doctorate/Ph.D.,5663-4750-4806,9700-9930-1652-1071,ICICI Bank,Individual,AB-,S78MEZJ0D11,382677
Jayan Yohannan,Female,10/23/2018,Babra,SEBC,No,21384476,Muslim,K.K.M.S. HIGH SCHOOL,Banaskantha,,3rd,D,836-123-1251,JayanYohannan@gmail.com,25928,Private,Vihaan Sehgal,Mehul Lall,Telugu,Maithili,Engineer,Chef,High School,Other/Unknown,5618-1497-2776,2801-2662-2989-8050,Central Bank Of India,Joint,O+,OJ12WZEI4HX,393754
Heer Kota,Female,8/25/2018,Ghogha,ST,No,47177556,Muslim,K.K.M.S. HIGH SCHOOL,Navsari,,1st,A,594-219-4903,HeerKota@gmail.com,29904,Private,Seher Venkataraman,Dharmajan Khatri,Konkani,Konkani,Accountant,Other,Vocational/Trade School,No Formal Education,3582-1655-5792,1364-8756-7709-4347,HDFC Bank,Joint,B+,JFPG0YEXK7R,386514
Arhaan Kapur,Male,11/28/2018,Danta,SEBC,No,43939838,Muslim,K.K.M.S. HIGH SCHOOL,Ahmedabad,,11th,B,159-336-5175,ArhaanKapur@gmail.com,55159,Private,Seher Banerjee,Kabir Jaggi,Gujarati,Kashmiri,Driver,Government Employee,Vocational/Trade School,Other/Unknown,7251-6718-3630,5407-4377-6487-6105,ICICI Bank,Individual,A+,69AXL39UG2G,392486
Drishya Agate,Male,5/20/2018,Kankrej,DT,No,23300649,Muslim,K.K.M.S. HIGH SCHOOL,Vadodara,,3rd,A,364-537-9296,DrishyaAgate@gmail.com,25001,Private,Aayush Divan,Riya Varughese,Marathi,Sindhi,Sales Representative,Retired,Master's Degree,Bachelor's Degree,5246-8590-3699,6615-6581-4815-9059,ICICI Bank,Individual,A-,CEPI0ATAV5O,396754
Lakshay Dara,Male,5/17/2018,Jamkandorna,SC,No,40393498,Hindu,K.K.M.S. HIGH SCHOOL,Gandhinagar,,8th,A,283-916-8055,LakshayDara@gmail.com,76030,Private,Dishani Wagle,Indrans Chatterjee,Bodo,Hindi,Farmer,Nurse,Bachelor's Degree,Primary School,8204-8638-2814,9486-5477-3923-3424,Central Bank Of India,Joint,O+,LNHWLNRM8KP,391742
Nirvi Guha,Female,2/21/2018,Lunawada,DT,No,37895779,Muslim,K.K.M.S. HIGH SCHOOL,Banaskantha,,8th,D,713-501-1253,NirviGuha@gmail.com,92491,Private,Azad Das,Riya Som,Konkani,Dogri,Farmer,Chef,Some College/Associate's Degree,Some College/Associate's Degree,3704-6083-7679,1979-7616-3747-5944,ICICI Bank,Individual,B+,YLP521W3D5Z,397073
Kavya Chandran,Female,7/2/2018,Petlad,General,No,31115167,Hindu,K.K.M.S. HIGH SCHOOL,Tapi,,8th,B,743-514-3203,KavyaChandran@gmail.com,65182,Private,Hiran Dugar,Fateh Bath,Kashmiri,Konkani,Retired,Nurse,No Formal Education,Bachelor's Degree,8900-4144-1229,3112-7787-6906-5658,ICICI Bank,Individual,B-,CNIFYBDVOHY,394358
Tiya Raj,Female,4/17/2018,Ghoghamba,ST,No,52642733,Christian,K.K.M.S. HIGH SCHOOL,Gandhinagar,,2nd,B,524-827-8390,TiyaRaj@gmail.com,99532,Private,Miraya Devan,Ela Sampath,Konkani,Hindi,Lawyer,Other,Vocational/Trade School,No Formal Education,5518-6234-1706,8994-7446-5872-4797,ICICI Bank,Joint,A-,5LFX2V8MHWU,380223
Aaryahi Loyal,Male,8/20/2018,Babra,DT,No,44280378,Christian,K.K.M.S. HIGH SCHOOL,Ahmedabad,,11th,C,522-394-9362,AaryahiLoyal@gmail.com,31982,Private,Zain Butala,Nehmat Deep,Tamil,Gujarati,Sales Representative,Artist,No Formal Education,No Formal Education,8219-2701-8711,4963-2802-3617-3507,HDFC Bank,Individual,A-,3JH7PH1ZRS0,394005
Kabir Kapadia,Male,9/22/2018,Balasinor,ST,No,10250180,Muslim,K.K.M.S. HIGH SCHOOL,Anand,,11th,A,556-113-8995,KabirKapadia@gmail.com,73481,Private,Arhaan Solanki,Samar Kala,Kannada,Tamil,Driver,Accountant,Other/Unknown,Middle School,3456-8921-9200,8375-8988-1298-4830,IDBI Bank,Individual,O+,NU77EABYBI7,383900
Ahana  Bhagat,Male,6/13/2018,Gariadhar,ST,No,83711152,Muslim,K.K.M.S. HIGH SCHOOL,Jamnagar,,8th,C,171-479-6275,AhanaBhagat@gmail.com,68795,Private,Mannat Bobal,Baiju Hegde,Others,Telugu,Retired,Social Worker,Vocational/Trade School,Other/Unknown,5925-5862-1275,4815-9840-1928-3050,State Bank Of India,Individual,AB-,4P4FMI6E3LF,397829
Purab Magar,Female,1/14/2018,Thasra,General,No,20813552,Muslim,K.K.M.S. HIGH SCHOOL,Junagadh,,2nd,D,438-544-9482,PurabMagar@gmail.com,81727,Private,Rohan Varty,Heer Char,Telugu,Nepali,Construction Worker,Librarian,High School,Other/Unknown,2860-1644-4013,9540-2651-1217-1418,Central Bank Of India,Joint,O+,0FVTLEEKUJ4,398094
Dhruv Goel,Male,9/8/2018,Gariadhar,SEBC,No,23906292,Hindu,K.K.M.S. HIGH SCHOOL,Rajkot,,4th,B,686-372-9538,DhruvGoel@gmail.com,34129,Private,Hiran Luthra,Dharmajan Lata,Nepali,Telugu,Driver,Nurse,High School,Primary School,5392-9403-8495,4474-6493-4877-8297,HDFC Bank,Individual,AB+,96BNTN7P5K5,381611
Sara Shukla,Male,6/6/2018,Deodar,ST,No,54485637,Muslim,K.K.M.S. HIGH SCHOOL,Vadodara,,10th,B,600-882-9556,SaraShukla@gmail.com,90841,Private,Aayush Viswanathan,Jayan Vasa,Sindhi,Assamese,Manager,IT Professional,Primary School,Primary School,4603-9163-1750,1928-5887-8325-9752,Axis Bank,Joint,O+,Z6C6KBV5BAB,389093
Tejas Sengupta,Female,12/18/2018,Manavadar,SC,No,70660142,Muslim,K.K.M.S. HIGH SCHOOL,Tapi,,3rd,C,409-167-1303,TejasSengupta@gmail.com,81895,Private,Sumer Doctor,Sara Tara,Dogri,Nepali,Teacher,Retired,Primary School,Some College/Associate's Degree,8219-3706-1428,2262-8161-6298-1608,HDFC Bank,Joint,B+,J3326VN6IEU,386769
Riya Bava,Male,5/13/2018,Bhanvad,DT,No,36649896,Christian,K.K.M.S. HIGH SCHOOL,Sabarkantha,,1st,B,527-348-5417,RiyaBava@gmail.com,38948,Private,Ryan Som,Khushi Swamy,Kannada,Maithili,Government Employee,Teacher,Middle School,Doctorate/Ph.D.,9907-6791-8189,3244-4092-9090-3022,Indian Bank,Joint,B+,AQACT60QOMJ,387701
Diya Chakraborty,Male,7/27/2018,Kunkavav Vadia,ST,No,92050803,Hindu,K.K.M.S. HIGH SCHOOL,Porbandar,,7th,C,392-357-2056,DiyaChakraborty@gmail.com,28197,Private,Sana Date,Anvi Agrawal,Konkani,Tamil,Teacher,Teacher,No Formal Education,Vocational/Trade School,8303-8821-9085,1702-6975-6546-9970,Punjab National Bank,Joint,B+,68F2S0YSFFZ,391170
Inaaya  Hegde,Female,8/12/2018,Himatnagar,DT,No,28979651,Christian,K.K.M.S. HIGH SCHOOL,Sabarkantha,,9th,D,908-206-9976,InaayaHegde@gmail.com,98893,Private,Riaan Dixit,Bhamini Sastry,Gujarati,Hindi,Sales Representative,Homemaker,High School,Primary School,1110-7187-1238,7404-1871-5628-9706,Punjab National Bank,Joint,B+,2V4QQ4220KO,386304
Tarini Wali,Male,5/8/2018,Kalavad,SEBC,No,39835811,Hindu,K.K.M.S. HIGH SCHOOL,Jamnagar,,6th,D,379-959-3885,TariniWali@gmail.com,67222,Private,Zain Amble,Raunak Hans,Tamil,Hindi,Lawyer,Accountant,No Formal Education,Middle School,8927-6917-7882,6175-9624-9505-2242,Axis Bank,Individual,A-,F3EGJNIQ855,383090
Adah Korpal,Male,6/14/2018,Unjha,General,No,59139270,Muslim,K.K.M.S. HIGH SCHOOL,Anand,,6th,A,871-465-5290,AdahKorpal@gmail.com,34521,Private,Priyansh Rao,Emir Barad,Manipuri,Gujarati,Government Employee,Retired,No Formal Education,High School,8564-6703-7643,4037-8450-5007-9189,Central Bank Of India,Individual,AB-,A1BGRE22KO5,388713
Azad Barad,Male,8/3/2018,Dehgam,OBC,No,48555929,Muslim,K.K.M.S. HIGH SCHOOL,Mahesana,,4th,B,109-820-5768,AzadBarad@gmail.com,67553,Private,Taimur Kothari,Renee Krishna,Oriya,Marathi,Construction Worker,Other,Primary School,Master's Degree,3831-3379-7069,6751-4739-7553-2750,Punjab National Bank,Joint,B-,TFHM9MMUJ06,382056
Mishti Kala,Male,5/21/2018,Kalavad,DT,No,55659389,Muslim,K.K.M.S. HIGH SCHOOL,Surendranagar,,5th,C,406-823-8503,MishtiKala@gmail.com,70498,Private,Lavanya Dhar,Zaina Bhatia,Malayalam,Hindi,Farmer,Nurse,Bachelor's Degree,Primary School,8451-9049-8290,1798-7026-4842-4761,State Bank Of India,Joint,B+,LD4L4UPVPO5,393073
Indrans Wagle,Female,2/14/2018,Wankaner,ST,No,95863995,Hindu,K.K.M.S. HIGH SCHOOL,Valsad,,6th,B,901-527-1674,IndransWagle@gmail.com,76614,Private,Taimur Borra,Zain Jayaraman,Maithili,Kannada,Business Owner,Government Employee,Primary School,Bachelor's Degree,5956-1669-9533,3342-1124-8418-4849,Punjab National Bank,Individual,AB+,3F0BQ37YVR0,384294
