name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Ranbir Contractor,Male,12/22/2018,Mahesana,DT,No,76711002,Muslim,KOKTA RMSA SCHOOL,The Dangs,,10th,C,493-666-8303,RanbirContractor@gmail.com,48986,Private,Gokul Dara,Inaaya  Sarma,Bodo,Maithili,Engineer,Other,No Formal Education,Middle School,6952-9797-6398,2723-1431-1808-6483,IDBI Bank,Joint,A+,3FY0DNFPVR5,387308
Mishti Borah,Female,1/17/2018,Godhra,ST,No,56121742,Christian,KOKTA RMSA SCHOOL,Banaskantha,,2nd,B,199-817-4654,MishtiBorah@gmail.com,90772,Private,Ranbir Doctor,Arnav Kota,Kannada,Hindi,Government Employee,Nurse,Doctorate/Ph.D.,Middle School,2310-7386-5443,1698-7327-1099-8248,Axis Bank,Individual,A+,BDUZ8Z3JC2N,387146
Lakshay Butala,Male,6/21/2018,Vijapur,SC,No,25087438,Christian,KOKTA RMSA SCHOOL,Ahmedabad,,10th,C,642-173-8816,LakshayButala@gmail.com,65533,Private,Kiaan Ramachandran,Kiara Sahota,Hindi,Dogri,Retired,Doctor,Primary School,Some College/Associate's Degree,4514-2935-3409,6201-5832-8954-3021,Punjab National Bank,Joint,O+,Q0NXBAGIXUX,391859
Vardaniya Dhingra,Male,9/21/2018,Anand,SC,No,84522781,Hindu,KOKTA RMSA SCHOOL,Jamnagar,,3rd,A,480-368-6211,VardaniyaDhingra@gmail.com,52640,Private,Vaibhav Bhalla,Lavanya Dubey,Gujarati,Marathi,Lawyer,Business Owner,Doctorate/Ph.D.,No Formal Education,7518-4244-8789,6129-6494-8409-5087,State Bank Of India,Individual,A-,0DM90TM5CID,383816
Suhana Sachar,Female,8/11/2018,Sayla,DT,No,61995525,Muslim,KOKTA RMSA SCHOOL,Banaskantha,,10th,B,658-469-4070,SuhanaSachar@gmail.com,39781,Private,Hrishita Warrior,Inaaya  Lata,Punjabi,Bodo,Teacher,Manager,Vocational/Trade School,Primary School,7570-6606-7674,6931-7232-7657-5679,State Bank Of India,Joint,AB-,CC85IX7E9ZQ,399887
Darshit Lanka,Female,11/5/2018,Ahmadabad City,OBC,No,61685932,Muslim,KOKTA RMSA SCHOOL,Kheda,,7th,B,926-907-4096,DarshitLanka@gmail.com,93390,Private,Jivin Swamy,Amani Hans,Konkani,Oriya,Lawyer,Nurse,Doctorate/Ph.D.,Primary School,6777-6377-3668,7101-6590-6489-5620,State Bank Of India,Individual,B+,CEGD4AOWZBE,385016
Onkar Babu,Female,10/22/2018,Fata,DT,No,78846099,Muslim,KOKTA RMSA SCHOOL,Surendranagar,,5th,C,562-611-4724,OnkarBabu@gmail.com,80795,Private,Renee Khalsa,Anvi Swamy,Assamese,Dogri,Manager,Other,Bachelor's Degree,Bachelor's Degree,3298-4973-3331,1148-3726-8441-1589,Punjab National Bank,Individual,AB-,97RZGBRLWMK,389883
Yuvraj  Bedi,Male,8/14/2018,Vallabhipur,OBC,No,55906163,Muslim,KOKTA RMSA SCHOOL,Navsari,,3rd,B,369-569-5699,YuvrajBedi@gmail.com,25839,Private,Saira Andra,Arnav Warrior,Tamil,Nepali,Business Owner,Government Employee,Bachelor's Degree,Master's Degree,2306-5997-5838,2432-7636-8631-1173,Central Bank Of India,Joint,O+,CXQ2HDJEZJD,393778
Kavya Bali,Female,3/2/2018,Becharaji,SC,No,30187035,Hindu,KOKTA RMSA SCHOOL,Surat,,9th,D,461-838-9280,KavyaBali@gmail.com,72930,Private,Heer Guha,Azad Bose,Others,Urdu,Teacher,Doctor,Doctorate/Ph.D.,Primary School,2459-5020-1563,6558-5730-9905-7336,IDBI Bank,Individual,B+,RJEGJOU3T5O,395327
Rania Khalsa,Female,5/13/2018,Patan-Veraval,ST,No,16052990,Hindu,KOKTA RMSA SCHOOL,Bhavnagar,,2nd,C,610-679-8078,RaniaKhalsa@gmail.com,48823,Private,Yuvraj  Sampath,Dishani Rao,Bodo,Maithili,Driver,Retired,Vocational/Trade School,Doctorate/Ph.D.,6681-4474-1943,9093-4880-9043-2910,Punjab National Bank,Individual,B+,BG3PRUG8IEI,396511
