name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Ira Bajwa,Female,7/13/2018,Abdasa,NT,No,24641248,Christian,MODEL SCHOOL,Gandhinagar,,5th,D,528-872-8240,IraBajwa@gmail.com,42878,Private,Aniruddh Chad,Vardaniya Dar,Konkani,Nepali,Doctor,Secretary,No Formal Education,Middle School,8530-6744-6714,2414-4756-1030-6122,ICICI Bank,Joint,AB-,ZCKH2YQZCSP,382999
Samar Sahni,Female,7/12/2018,Rapar,OBC,No,82263199,Muslim,MODEL SCHOOL,Ahmedabad,,9th,D,696-771-4794,SamarSahni@gmail.com,25844,Private,Darshit Ahuja,Mehul Sandal,Konkani,Hindi,Labour,Teacher,Master's Degree,Bachelor's Degree,8982-4940-6719,7777-7594-6264-7544,Punjab National Bank,Individual,O+,CG9CHASFSO1,383648
Amira Gupta,Male,12/24/2018,Bhavnagar,SEBC,No,17621666,Christian,MODEL SCHOOL,Kheda,,5th,B,350-712-5218,AmiraGupta@gmail.com,31065,Private,Vardaniya Mann,Dharmajan Luthra,Gujarati,Punjabi,Engineer,Labour,Master's Degree,Middle School,5667-3504-6873,5773-2326-1115-3059,HDFC Bank,Joint,AB-,3J3KR7GFUI9,395144
Aarush Sanghvi,Male,8/11/2018,Bhanvad,ST,No,92142294,Christian,MODEL SCHOOL,Banaskantha,,12th,A,546-664-5232,AarushSanghvi@gmail.com,68889,Private,Zeeshan Arora,Nirvi Venkatesh,Others,Telugu,Engineer,Librarian,No Formal Education,Other/Unknown,8570-4470-5446,5560-1783-8853-5560,Indian Bank,Joint,O+,LQAU9D68TFD,382812
Hiran Sarraf,Female,10/15/2018,Khedbrahma,General,No,55435160,Hindu,MODEL SCHOOL,Surat,,10th,D,827-269-9016,HiranSarraf@gmail.com,59925,Private,Amani Borde,Rhea Swaminathan,Bodo,Kashmiri,Driver,Nurse,Bachelor's Degree,Other/Unknown,5715-8540-2547,4476-7408-8934-4724,Punjab National Bank,Individual,A-,8EDT8O3001Y,392336
Taimur Halder,Male,2/8/2018,Kathlal,SC,No,55823488,Muslim,MODEL SCHOOL,Ahmedabad,,6th,B,852-236-2754,TaimurHalder@gmail.com,60550,Private,Rhea Bumb,Misha Sule,Manipuri,Urdu,Artist,Teacher,Other/Unknown,Primary School,1001-1598-1419,1543-6633-2699-4567,Indian Bank,Individual,O+,1NDXS74UC4S,380138
Abram Tiwari,Male,7/7/2018,Khambhalia,DT,No,20864020,Muslim,MODEL SCHOOL,Surendranagar,,9th,B,868-713-8086,AbramTiwari@gmail.com,91801,Private,Shlok Rajagopal,Anaya Dhar,Marathi,Urdu,Artist,Teacher,Other/Unknown,Master's Degree,2139-8639-4702,8309-5442-8204-9683,Indian Bank,Joint,B-,P6LJ4OO2Q0D,382202
Biju Sachdeva,Female,4/23/2018,Kotda Sangani,SC,No,43660801,Hindu,MODEL SCHOOL,Tapi,,12th,A,552-111-1051,BijuSachdeva@gmail.com,90748,Private,Jivin Raju,Eshani Gupta,Gujarati,Marathi,Teacher,Doctor,Doctorate/Ph.D.,Vocational/Trade School,5372-8535-7051,6793-2836-7635-1778,IDBI Bank,Joint,A+,6N8RJW26IAI,381914
Onkar Viswanathan,Female,11/20/2018,Rajula,General,No,90062725,Christian,MODEL SCHOOL,Gandhinagar,,2nd,D,212-930-6519,OnkarViswanathan@gmail.com,29268,Private,Samaira Khare,Dharmajan Buch,Dogri,Maithili,Other,Labour,Doctorate/Ph.D.,High School,9335-3434-5158,2000-4231-7698-2201,Indian Bank,Joint,AB+,2HVN20A9I0O,393988
Divyansh Kurian,Female,8/23/2018,Chotila,SEBC,No,44666220,Muslim,MODEL SCHOOL,Mahesana,,7th,C,239-646-9808,DivyanshKurian@gmail.com,28653,Private,Vardaniya Khatri,Shamik Atwal,Nepali,Gujarati,Accountant,Chef,Primary School,Primary School,5409-5183-8716,7801-6583-3671-5855,Indian Bank,Individual,A-,BSUYORCFLAT,381843
Manjari Badami,Female,7/3/2018,Mahudha,ST,No,82902769,Hindu,MODEL SCHOOL,Ahmedabad,,6th,D,347-358-1002,ManjariBadami@gmail.com,68630,Private,Zara Kunda,Ayesha Rana,Telugu,Assamese,Accountant,Secretary,Other/Unknown,Master's Degree,4495-1009-2382,8696-4004-7662-2257,State Bank Of India,Joint,B+,1D3ZO3VSOGP,393837
Anvi Halder,Female,3/1/2018,Borsad,SC,No,21544750,Muslim,MODEL SCHOOL,Surat,,8th,B,348-147-4075,AnviHalder@gmail.com,66717,Private,Kismat Suresh,Tara Khare,Bangla,Gujarati,Accountant,Other,Some College/Associate's Degree,Middle School,2927-8693-5038,7485-2114-9891-5719,ICICI Bank,Individual,AB-,6YNBUC88BKL,392108
Inaaya  Chaudhry,Male,6/17/2018,Limdi,ST,No,53665114,Muslim,MODEL SCHOOL,Valsad,,1st,D,160-646-8222,InaayaChaudhry@gmail.com,85641,Private,Taimur Reddy,Lakshay Kulkarni,Tamil,Konkani,Lawyer,Sales Representative,Other/Unknown,No Formal Education,2295-5219-4369,4040-5875-2723-8186,IDBI Bank,Individual,AB+,T73OZO4MZNR,392761
Samarth Rana,Male,8/27/2018,Khanpur,ST,No,46943626,Christian,MODEL SCHOOL,Valsad,,6th,A,877-657-3580,SamarthRana@gmail.com,87690,Private,Emir Date,Neelofar Chaudhary,Marathi,Telugu,IT Professional,Teacher,Other/Unknown,Other/Unknown,3487-1320-5319,1962-7682-2708-8624,Central Bank Of India,Joint,B-,JLH57D5X1D4,392175
Mahika Dewan,Male,11/13/2018,Khambhalia,DT,No,78783352,Hindu,MODEL SCHOOL,Mahesana,,6th,C,482-497-3581,MahikaDewan@gmail.com,66350,Private,Drishya Bhakta,Jayant Tara,Dogri,Konkani,IT Professional,Social Worker,Primary School,Middle School,3804-5440-8160,8840-7524-1402-1721,HDFC Bank,Individual,B-,0B96DV8F4MY,386726
Baiju Keer,Male,11/27/2018,Maliya,ST,No,23636422,Muslim,MODEL SCHOOL,Anand,,12th,A,652-841-3643,BaijuKeer@gmail.com,81679,Private,Krish Raman,Aaryahi Vasa,Oriya,Punjabi,Doctor,Doctor,Other/Unknown,Some College/Associate's Degree,4456-8488-7175,8457-6539-3905-1936,Central Bank Of India,Joint,B+,SD3NIH3XJXS,382147
