name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Faiyaz Kurian,Female,4/14/2018,Umreth,SC,No,80278871,Christian,NAWANAGAR(GOV) HIGH SCHOOL,Ahmedabad,,3rd,A,671-823-6957,FaiyazKurian@gmail.com,29641,Government,Jiya Dua,Adira Kulkarni,Marathi,Santali,Teacher,Teacher,Other/Unknown,Primary School,4999-5858-5733,3844-9849-2391-6292,State Bank Of India,Joint,AB-,0AA0CA8EG5U,397423
Mannat Seth,Female,2/11/2018,Vijaynagar,NT,No,53013666,Muslim,NAWANAGAR(GOV) HIGH SCHOOL,Gandhinagar,,6th,A,342-545-1494,MannatSeth@gmail.com,40146,Government,Elakshi Mahal,Heer Sarraf,Marathi,Marathi,Retired,Government Employee,Bachelor's Degree,Master's Degree,7262-8903-6427,1600-3268-4880-8372,Indian Bank,Joint,B-,V6NIB0ZBUGS,383063
Mannat Hans,Female,9/5/2018,Vadali,SEBC,No,89271488,Hindu,NAWANAGAR(GOV) HIGH SCHOOL,Kheda,,10th,C,478-575-4333,MannatHans@gmail.com,70095,Government,Jivin Borde,Gokul Ghose,Manipuri,Nepali,Business Owner,Accountant,Middle School,Doctorate/Ph.D.,9814-5598-5056,1843-7633-9859-8792,Axis Bank,Joint,O+,QBXVY82QK99,392516
Akarsh Hari,Female,12/3/2018,Chuda,SC,No,56206120,Christian,NAWANAGAR(GOV) HIGH SCHOOL,Jamnagar,,12th,D,725-180-2131,AkarshHari@gmail.com,47785,Government,Raghav Sankaran,Anya Edwin,Telugu,Punjabi,Teacher,Sales Representative,Middle School,No Formal Education,5750-6098-3088,1538-4276-4686-2638,Punjab National Bank,Joint,A-,B609SBPKVSY,396924
Kiara Sama,Female,2/11/2018,Balasinor,SEBC,No,96562509,Muslim,NAWANAGAR(GOV) HIGH SCHOOL,Valsad,,12th,B,735-324-2797,KiaraSama@gmail.com,94930,Government,Ojas Ramakrishnan,Trisha Soni,Nepali,Kashmiri,Doctor,Other,Master's Degree,Master's Degree,5915-3736-4153,9400-2311-3565-4005,IDBI Bank,Individual,B-,RNK8TPBB825,380532
Neysa Deshpande,Male,3/21/2018,Vav,SC,No,71954914,Christian,NAWANAGAR(GOV) HIGH SCHOOL,Kheda,,1st,D,751-962-8207,NeysaDeshpande@gmail.com,81937,Government,Farhan Swamy,Jivin Raj,Kashmiri,Marathi,Other,Artist,Primary School,High School,3733-7054-8144,8724-9503-8123-1540,State Bank Of India,Joint,A-,63A44HODDUA,386250
Advik Kapoor,Male,4/26/2018,Ghogha,OBC,No,15949665,Christian,NAWANAGAR(GOV) HIGH SCHOOL,Valsad,,5th,B,391-995-7641,AdvikKapoor@gmail.com,92861,Government,Charvi Rau,Mohanlal Dugal,Dogri,Malayalam,Doctor,Librarian,Other/Unknown,Some College/Associate's Degree,5548-5669-6048,6015-1085-8570-8516,State Bank Of India,Individual,A+,HIP9AVH0UHX,393558
Kaira Sharma,Male,8/6/2018,Porbandar,DT,No,14960360,Muslim,NAWANAGAR(GOV) HIGH SCHOOL,Gandhinagar,,8th,B,981-541-8797,KairaSharma@gmail.com,33209,Government,Hunar Gade,Zeeshan Dhingra,Telugu,Sindhi,Artist,Labour,Primary School,Master's Degree,5697-9864-3554,7206-3959-2413-1246,State Bank Of India,Individual,AB+,W0QEB1JJY9H,391655
Gokul Chana,Female,2/28/2018,Kalavad,SC,No,80480874,Muslim,NAWANAGAR(GOV) HIGH SCHOOL,Vadodara,,11th,C,145-699-8466,GokulChana@gmail.com,82563,Government,Adira Bath,Adah Yohannan,Marathi,Manipuri,Artist,IT Professional,Bachelor's Degree,Master's Degree,4028-2264-8549,7214-9270-9924-6007,ICICI Bank,Individual,B-,T0WABGKDRV5,397402
Devansh Choudhry,Female,2/9/2018,Petlad,NT,No,55604519,Hindu,NAWANAGAR(GOV) HIGH SCHOOL,Porbandar,,7th,D,124-589-7318,DevanshChoudhry@gmail.com,44003,Government,Indrajit Ram,Vihaan Konda,Malayalam,Manipuri,Teacher,Business Owner,Some College/Associate's Degree,Master's Degree,1635-9179-2428,6968-4763-1963-7980,Indian Bank,Joint,A+,6NY2JUJ6FJG,399277
Manjari Wason,Male,4/14/2018,Godhra,SC,No,23956100,Hindu,NAWANAGAR(GOV) HIGH SCHOOL,Gandhinagar,,6th,D,877-789-2952,ManjariWason@gmail.com,58551,Government,Anya Bava,Jivin Talwar,Maithili,Konkani,Driver,Nurse,High School,Master's Degree,2290-5423-4896,4676-6175-7957-9837,Punjab National Bank,Joint,AB-,EOA89FJ72UF,392756
Fateh Dewan,Female,11/10/2018,Kutiyana,DT,No,95953392,Hindu,NAWANAGAR(GOV) HIGH SCHOOL,Valsad,,2nd,A,355-957-6602,FatehDewan@gmail.com,68849,Government,Yuvraj  Vora,Yasmin Sura,Punjabi,Urdu,Manager,Artist,Bachelor's Degree,Doctorate/Ph.D.,1777-9639-8865,5643-2938-7380-8694,Central Bank Of India,Joint,AB+,0NI2MJD600M,384433
Vaibhav Gole,Female,10/19/2018,Malia,SC,No,38817214,Muslim,NAWANAGAR(GOV) HIGH SCHOOL,Sabarkantha,,3rd,D,654-590-7379,VaibhavGole@gmail.com,73829,Government,Eshani Kata,Indranil Wadhwa,Urdu,Gujarati,Farmer,Other,No Formal Education,Middle School,4086-9991-8402,2980-5914-9720-8662,Central Bank Of India,Joint,B-,MODRYX6ZYYW,399515
Reyansh Batta,Female,6/24/2018,Lakhpat,DT,No,92366832,Christian,NAWANAGAR(GOV) HIGH SCHOOL,Mahesana,,5th,A,419-463-4680,ReyanshBatta@gmail.com,29997,Government,Anahita Suri,Azad Sachdev,Manipuri,Hindi,Engineer,Doctor,Vocational/Trade School,Master's Degree,2080-1909-7188,2514-3290-1868-8347,Axis Bank,Individual,AB+,XXRNRHJL0O7,384512
Jayant Borah,Male,1/6/2018,Lilia,SC,No,30438631,Christian,NAWANAGAR(GOV) HIGH SCHOOL,Surat,,6th,D,164-698-6841,JayantBorah@gmail.com,47378,Government,Urvi Khanna,Taran Magar,Malayalam,Oriya,Farmer,Social Worker,Doctorate/Ph.D.,Other/Unknown,5242-9648-2689,6851-3460-7051-9167,Indian Bank,Joint,AB-,GK2191WKMRJ,380938
Kanav Dyal,Male,4/3/2018,Tankara,ST,No,38288337,Muslim,NAWANAGAR(GOV) HIGH SCHOOL,Bharuch,,9th,B,733-301-8816,KanavDyal@gmail.com,26533,Government,Ishita Cherian,Dishani Lall,Tamil,Others,Teacher,Social Worker,Primary School,No Formal Education,8829-6269-1629,9956-3417-1496-8504,ICICI Bank,Joint,B+,FNAK558WN4B,397961
Fateh Talwar,Male,3/21/2018,Deodar,DT,No,53675758,Christian,NAWANAGAR(GOV) HIGH SCHOOL,Banaskantha,,9th,B,152-609-4264,FatehTalwar@gmail.com,33284,Government,Jhanvi Hayer,Charvi Reddy,Assamese,Malayalam,Retired,Government Employee,Other/Unknown,Doctorate/Ph.D.,7613-3302-7489,1072-6086-3683-7933,Indian Bank,Joint,O+,N2I053347RS,399980
Tejas Tak,Male,11/15/2018,Bayad,SEBC,No,57555747,Muslim,NAWANAGAR(GOV) HIGH SCHOOL,Junagadh,,5th,C,548-749-4550,TejasTak@gmail.com,51378,Government,Dhanush Baria,Uthkarsh Sura,Tamil,Hindi,Engineer,IT Professional,Some College/Associate's Degree,Some College/Associate's Degree,8585-3782-7465,4750-6642-2808-5164,Central Bank Of India,Individual,AB-,1KMQN5LNR0I,395890
Shray Subramaniam,Male,1/16/2018,Sihor,DT,No,72152507,Hindu,NAWANAGAR(GOV) HIGH SCHOOL,Dahod,,4th,A,170-402-6810,ShraySubramaniam@gmail.com,65145,Government,Anika Konda,Aarav Tandon,Manipuri,Nepali,Business Owner,IT Professional,Master's Degree,Doctorate/Ph.D.,4926-5810-4255,9066-4983-9358-6595,IDBI Bank,Joint,A-,UEGD7VXGT6H,392051
Advika Divan,Male,5/10/2018,Dhoraji,DT,No,91680276,Muslim,NAWANAGAR(GOV) HIGH SCHOOL,Kheda,,9th,D,704-538-5883,AdvikaDivan@gmail.com,36829,Government,Vritika Varkey,Bhamini Bajaj,Manipuri,Punjabi,Government Employee,Pharmacist,Some College/Associate's Degree,Master's Degree,3709-2250-3686,3089-1061-8958-7731,HDFC Bank,Individual,B+,IJQDCZUHTVB,383756
Riaan Tara,Female,9/21/2018,Sidhpur,SC,No,72796510,Christian,NAWANAGAR(GOV) HIGH SCHOOL,Valsad,,4th,D,876-936-4404,RiaanTara@gmail.com,95723,Government,Faiyaz Bawa,Badal Ganguly,Malayalam,Kannada,Lawyer,Manager,Bachelor's Degree,Some College/Associate's Degree,3107-1247-6875,7545-3491-6503-9814,State Bank Of India,Individual,AB-,TCLHJ98GBMK,399052
Reyansh Jhaveri,Male,2/5/2018,Chuda,General,No,22572285,Muslim,NAWANAGAR(GOV) HIGH SCHOOL,Amreli,,6th,A,949-737-1688,ReyanshJhaveri@gmail.com,43360,Government,Anika Hayre,Dharmajan Chawla,Hindi,Maithili,Doctor,Government Employee,Doctorate/Ph.D.,Primary School,5673-4461-3508,5052-2639-6761-7975,ICICI Bank,Individual,B-,4V9W01US997,387194
Shamik Saxena,Female,9/11/2018,Bhabhar,SEBC,No,93362577,Muslim,NAWANAGAR(GOV) HIGH SCHOOL,Anand,,11th,C,190-217-5481,ShamikSaxena@gmail.com,86265,Government,Mishti Comar,Miraya Boase,Santali,Konkani,Engineer,Pharmacist,Doctorate/Ph.D.,Bachelor's Degree,4442-3754-9377,5766-3533-7041-9639,HDFC Bank,Individual,B+,7DTXPU7B1MP,384266
Darshit Ghose,Male,2/3/2018,Tankara,DT,No,76041699,Hindu,NAWANAGAR(GOV) HIGH SCHOOL,Bharuch,,3rd,C,645-753-5161,DarshitGhose@gmail.com,37493,Government,Zara Raval,Miraya Sen,Tamil,Konkani,Chef,Artist,Other/Unknown,Master's Degree,5583-5025-6224,6804-9697-2928-5697,HDFC Bank,Individual,A-,YSE7154GCN8,391189
Prerak Edwin,Female,1/8/2018,Malia,DT,No,95678421,Muslim,NAWANAGAR(GOV) HIGH SCHOOL,Narmada,,10th,C,928-167-9104,PrerakEdwin@gmail.com,29940,Government,Nitya Bala,Vanya Dyal,Konkani,Malayalam,Government Employee,Social Worker,Doctorate/Ph.D.,Vocational/Trade School,5478-4438-7682,4416-7240-4480-2543,Central Bank Of India,Individual,B-,RKMYASLTGV4,397781
Manjari Raval,Male,11/15/2018,Balasinor,SC,No,38370309,Hindu,NAWANAGAR(GOV) HIGH SCHOOL,Panchmahals,,11th,A,156-288-3363,ManjariRaval@gmail.com,90227,Government,Zeeshan Borde,Ishaan Bhakta,Bodo,Konkani,Other,Nurse,High School,Bachelor's Degree,2555-7450-9653,4493-7266-1488-5846,ICICI Bank,Individual,AB+,X02856CW34J,381546
Anvi Gera,Male,9/17/2018,Kheralu,ST,No,38450939,Muslim,NAWANAGAR(GOV) HIGH SCHOOL,Jamnagar,,9th,D,943-378-7110,AnviGera@gmail.com,43988,Government,Purab Madan,Hansh Arora,Others,Telugu,Artist,Retired,High School,Vocational/Trade School,5198-9634-2757,2502-4128-3357-9070,Axis Bank,Individual,O+,48LOJU37VDO,381172
Hiran Doshi,Male,6/4/2018,Tharad,DT,No,74012831,Hindu,NAWANAGAR(GOV) HIGH SCHOOL,Bhavnagar,,1st,A,405-525-8274,HiranDoshi@gmail.com,78502,Government,Jayant Mann,Tanya Loyal,Dogri,Others,Other,Chef,Other/Unknown,Doctorate/Ph.D.,2016-1486-8739,6619-7223-5763-9134,IDBI Bank,Individual,A-,9M5U7CNMLMM,383074
Lakshit Kumer,Male,8/4/2018,Ranavav,SC,No,73893147,Christian,NAWANAGAR(GOV) HIGH SCHOOL,Bharuch,,6th,D,689-789-6164,LakshitKumer@gmail.com,93877,Government,Jivin Manne,Siya Krishnan,Konkani,Dogri,IT Professional,Business Owner,Middle School,Primary School,7645-2188-6017,4341-9628-7327-8004,HDFC Bank,Individual,O+,BD5C9TC7JI3,391229
Sahil Sarna,Male,11/23/2018,Godhra,OBC,No,85946783,Christian,NAWANAGAR(GOV) HIGH SCHOOL,Tapi,,2nd,A,702-737-9687,SahilSarna@gmail.com,29936,Government,Umang Ganguly,Aradhya Gulati,Manipuri,Konkani,Accountant,Sales Representative,Doctorate/Ph.D.,Bachelor's Degree,5151-9573-3537,3353-4768-7333-7200,IDBI Bank,Individual,AB-,Q0IMPSYAI8H,394371
Myra Sibal,Male,12/8/2018,Virpur,SC,No,11875985,Muslim,NAWANAGAR(GOV) HIGH SCHOOL,Surendranagar,,7th,A,373-564-2381,MyraSibal@gmail.com,27828,Government,Zaina Contractor,Dhanuk Thaman,Malayalam,Others,Accountant,Secretary,No Formal Education,No Formal Education,1600-6457-5306,5474-9377-8800-7410,HDFC Bank,Joint,A-,Z4THMMXJQAW,381136
Advika Manda,Male,6/16/2018,Halvad,SC,No,28697623,Muslim,NAWANAGAR(GOV) HIGH SCHOOL,Surendranagar,,11th,B,118-751-6881,AdvikaManda@gmail.com,70560,Government,Heer Dugar,Baiju Gala,Gujarati,Assamese,Construction Worker,Teacher,Bachelor's Degree,Doctorate/Ph.D.,4235-7038-7958,2168-3773-3207-8302,Central Bank Of India,Individual,B-,NSTSUQ5YJTU,398674
Saksham Deep,Female,4/28/2018,Vadgam,SEBC,No,51697939,Christian,NAWANAGAR(GOV) HIGH SCHOOL,Kheda,,9th,D,865-734-2549,SakshamDeep@gmail.com,26322,Government,Dhanuk Kamdar,Raghav Kota,Others,Konkani,Other,Doctor,No Formal Education,Other/Unknown,3729-6530-3458,4412-9039-6866-2355,Axis Bank,Individual,A-,T9Q7IQLKF40,390895
Myra Kapoor,Female,10/19/2018,Gondal,NT,No,26743288,Christian,NAWANAGAR(GOV) HIGH SCHOOL,Surat,,3rd,C,686-749-4689,MyraKapoor@gmail.com,44951,Government,Aarush Vasa,Tushar Taneja,Tamil,Konkani,Chef,Manager,Primary School,No Formal Education,1655-9293-5567,7537-6216-7987-6710,Central Bank Of India,Individual,O+,AF73FMGMTG0,398719
Umang Krish,Male,6/7/2018,Godhra,SEBC,No,71241394,Hindu,NAWANAGAR(GOV) HIGH SCHOOL,Surat,,6th,B,821-568-8360,UmangKrish@gmail.com,64696,Government,Fateh Lata,Eva Edwin,Telugu,Bangla,Government Employee,Social Worker,No Formal Education,No Formal Education,9658-4340-1664,9223-7815-6545-7916,State Bank Of India,Individual,O+,P2ZJIPC1H1T,382926
Arhaan Cheema,Female,3/28/2018,Ranpur,DT,No,83208906,Christian,NAWANAGAR(GOV) HIGH SCHOOL,Sabarkantha,,3rd,D,791-734-4743,ArhaanCheema@gmail.com,98354,Government,Pari Madan,Purab Khatri,Assamese,Bodo,Construction Worker,Chef,Primary School,High School,4002-2407-2269,6025-4548-1600-3662,Axis Bank,Joint,AB-,QKFHNP21CE3,398722
Reyansh Babu,Female,5/12/2018,Dhansura,ST,No,67336680,Christian,NAWANAGAR(GOV) HIGH SCHOOL,Vadodara,,11th,D,553-316-9384,ReyanshBabu@gmail.com,54962,Government,Damini Kapoor,Armaan Reddy,Telugu,Punjabi,IT Professional,IT Professional,High School,Primary School,6848-9527-7155,6650-6557-2743-9028,Axis Bank,Individual,B+,BYQ5DER87NP,391433
Kiara Chaudhary,Male,2/26/2018,Unjha,SEBC,No,29582250,Hindu,NAWANAGAR(GOV) HIGH SCHOOL,Rajkot,,11th,A,844-880-9059,KiaraChaudhary@gmail.com,58535,Government,Stuvan Jhaveri,Ayesha Basak,Maithili,Oriya,Artist,Homemaker,Master's Degree,Doctorate/Ph.D.,4420-3872-5856,6990-3722-1022-4068,Axis Bank,Individual,A-,SOZ7D0YBNSI,385706
Gatik Kamdar,Female,7/2/2018,Mendarda,DT,No,51451978,Hindu,NAWANAGAR(GOV) HIGH SCHOOL,Porbandar,,3rd,C,773-508-2730,GatikKamdar@gmail.com,52922,Government,Suhana Chand,Seher Dube,Bodo,Oriya,Driver,Secretary,High School,Middle School,2357-5103-8489,9835-6972-6885-9229,State Bank Of India,Individual,B-,NHZ8RF4W65F,387302
Aradhya Tella,Female,11/3/2018,Mahuva,OBC,No,60736148,Christian,NAWANAGAR(GOV) HIGH SCHOOL,Amreli,,9th,B,936-559-9813,AradhyaTella@gmail.com,81026,Government,Lavanya Mandal,Vanya Dugar,Bangla,Maithili,IT Professional,Sales Representative,No Formal Education,Master's Degree,6503-8676-5938,8803-9393-6434-8407,IDBI Bank,Joint,A+,TK6CBLWUD5N,387305
Miraya Rajagopal,Male,2/21/2018,Petlad,SC,No,54929887,Hindu,NAWANAGAR(GOV) HIGH SCHOOL,Jamnagar,,9th,D,743-647-2505,MirayaRajagopal@gmail.com,40845,Government,Inaaya  Atwal,Rohan Chopra,Dogri,Punjabi,Doctor,Retired,Other/Unknown,Master's Degree,9146-2217-4130,7878-2893-2856-6819,Axis Bank,Joint,AB-,UKY28R7P3VI,382721
Stuvan Ramakrishnan,Male,2/12/2018,Virpur,SC,No,30376719,Muslim,NAWANAGAR(GOV) HIGH SCHOOL,Valsad,,10th,D,784-893-8913,StuvanRamakrishnan@gmail.com,91322,Government,Yakshit Kumer,Yasmin Bansal,Kashmiri,Urdu,Farmer,Business Owner,Some College/Associate's Degree,High School,5053-8201-8455,7366-5393-6685-1056,IDBI Bank,Joint,A+,Z48GZXB99AS,396045
