name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Kiaan Jayaraman,Male,12/1/2018,Palanpur,ST,No,42678768,Hindu,RMSA GOVERNMENT SCHOOL,Gandhinagar,,10th,A,135-678-1997,KiaanJayaraman@gmail.com,87483,Government,Farhan Dyal,Fateh Kumar,Konkani,Urdu,Government Employee,IT Professional,Some College/Associate's Degree,Other/Unknown,9559-4390-8030,5886-3212-5205-9568,ICICI Bank,Joint,B-,PAXSHWALSDQ,381809
Sana Soman,Male,6/12/2018,Jafrabad,NT,No,26634994,Muslim,RMSA GOVERNMENT SCHOOL,Surat,,4th,D,885-244-4128,SanaSoman@gmail.com,86637,Government,Navya Sagar,Romil Chowdhury,Manipuri,Maithili,Engineer,Sales Representative,Bachelor's Degree,Doctorate/Ph.D.,6362-6492-5103,5482-4524-6496-6046,ICICI Bank,Individual,B+,5ZLGUFAK590,380564
Ahana  Mahal,Male,3/18/2018,Amreli,SEBC,No,52490257,Hindu,RMSA GOVERNMENT SCHOOL,Junagadh,,1st,D,849-690-9297,AhanaMahal@gmail.com,85308,Government,Amira Shere,Anvi Sem,Konkani,Kashmiri,Construction Worker,Pharmacist,Master's Degree,Primary School,9347-1274-1024,3105-9149-8292-6560,Indian Bank,Joint,B+,5XMNPSSSR7R,384812
Samarth Doshi,Male,7/21/2018,Bagasara,SEBC,No,12867283,Christian,RMSA GOVERNMENT SCHOOL,Surendranagar,,5th,A,814-196-5146,SamarthDoshi@gmail.com,49586,Government,Reyansh Chakrabarti,Advik Ramanathan,Gujarati,Gujarati,Teacher,Sales Representative,Some College/Associate's Degree,Other/Unknown,7168-2805-4585,1195-6459-1942-2451,HDFC Bank,Joint,B+,JTIBXXH57U3,389808
Ishita Swamy,Female,7/15/2018,Mandal,DT,No,48775151,Hindu,RMSA GOVERNMENT SCHOOL,Panchmahals,,9th,B,877-666-2989,IshitaSwamy@gmail.com,35699,Government,Adira Sankar,Lavanya Kota,Assamese,Assamese,Other,Chef,Other/Unknown,Other/Unknown,5591-6944-5217,3316-8953-2583-1287,Indian Bank,Individual,AB+,36KJD5V2OSQ,391761
Hansh Chatterjee,Female,12/6/2018,Ranpur,ST,No,26165783,Hindu,RMSA GOVERNMENT SCHOOL,Rajkot,,10th,B,913-227-4688,HanshChatterjee@gmail.com,54704,Government,Nakul Magar,Samar Chokshi,Oriya,Bangla,Driver,Accountant,Master's Degree,Master's Degree,6096-2807-2785,4901-5040-7695-6973,ICICI Bank,Joint,AB+,B6QQL9NZSPC,399768
Lavanya Sabharwal,Female,8/23/2018,Radhanpur,ST,No,63506352,Hindu,RMSA GOVERNMENT SCHOOL,Vadodara,,10th,D,361-912-8127,LavanyaSabharwal@gmail.com,32099,Government,Mehul Banerjee,Biju Mahal,Malayalam,Santali,IT Professional,IT Professional,Doctorate/Ph.D.,Middle School,5311-8060-3250,8373-4909-1375-5398,Central Bank Of India,Joint,AB-,CE0O5OKPFLG,388905
Mehul Badal,Female,3/8/2018,Lathi,DT,No,49194100,Muslim,RMSA GOVERNMENT SCHOOL,Bhavnagar,,8th,A,202-600-2863,MehulBadal@gmail.com,66373,Government,Taran Biswas,Nirvaan Dhingra,Urdu,Dogri,Lawyer,Retired,Middle School,Middle School,6834-5929-4016,2310-8925-5768-8718,Punjab National Bank,Individual,B-,MNS0XRLDXT6,388800
Madhav Deo,Female,1/22/2018,Mahuva,SEBC,No,59052409,Hindu,RMSA GOVERNMENT SCHOOL,Ahmedabad,,3rd,B,446-405-1501,MadhavDeo@gmail.com,81665,Government,Siya Krishnan,Rania Banerjee,Telugu,Marathi,Teacher,Social Worker,Vocational/Trade School,Middle School,8059-7869-3262,2238-5521-4928-3093,Central Bank Of India,Individual,A+,KEGY1656GC5,394983
Navya Sen,Female,3/21/2018,Mandvi,ST,No,17550008,Hindu,RMSA GOVERNMENT SCHOOL,Porbandar,,8th,B,848-758-4938,NavyaSen@gmail.com,53782,Government,Alia Bobal,Heer Gara,Malayalam,Bodo,Lawyer,Labour,Primary School,Middle School,1991-2774-2361,9641-4950-3722-8399,Central Bank Of India,Joint,B-,O5PJRNRQF98,384249
Hunar Garg,Male,2/28/2018,Kapadvanj,ST,No,28452767,Christian,RMSA GOVERNMENT SCHOOL,Valsad,,2nd,B,504-125-6035,HunarGarg@gmail.com,29762,Government,Kiaan Mangal,Nitara Amble,Telugu,Konkani,Government Employee,IT Professional,Some College/Associate's Degree,No Formal Education,8124-1814-4663,2895-2527-9210-6668,Indian Bank,Joint,AB+,8K0LJHMPANJ,397678
Mishti Deol,Male,1/9/2018,Balasinor,SC,No,53290273,Muslim,RMSA GOVERNMENT SCHOOL,Bhavnagar,,10th,D,751-554-9751,MishtiDeol@gmail.com,60301,Government,Eva Sant,Advik Bava,Urdu,Santali,Labour,Other,High School,No Formal Education,8958-8851-6610,5698-6355-6487-2349,State Bank Of India,Joint,B-,0Y5E0QYPRJ3,385596
Fateh Lad,Female,7/21/2018,Talaja,SEBC,No,69132219,Muslim,RMSA GOVERNMENT SCHOOL,Porbandar,,5th,A,353-213-8791,FatehLad@gmail.com,55568,Government,Yashvi Rattan,Neelofar Din,Sindhi,Maithili,Chef,Secretary,Primary School,Master's Degree,3764-5424-4195,6236-1121-4614-1724,Central Bank Of India,Individual,A+,D03NDFM5F2I,382877
