name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Parinaaz Kamdar,Female,10/22/2018,Mahudha,SC,No,88680648,Muslim,SARKARI MADYAMIK SCHOOL,Ahmedabad,,1st,B,672-187-5690,ParinaazKamdar@gmail.com,74944,Private,Hunar Barad,Kartik Kaur,Sindhi,Nepali,Construction Worker,Homemaker,High School,High School,1749-2744-9941,1857-4553-2450-7937,IDBI Bank,Joint,B+,I1YLJC20K1I,389284
Yakshit Mander,Female,4/7/2018,Abdasa,ST,No,45319561,Hindu,SARKARI MADYAMIK SCHOOL,Jamnagar,,1st,B,711-870-9702,YakshitMander@gmail.com,72643,Private,Kabir Rege,Mannat Bajaj,Sindhi,Sindhi,Labour,Government Employee,Some College/Associate's Degree,Middle School,3565-7331-7206,2635-1056-5306-9530,Indian Bank,Joint,B+,AE3WAX19OTW,391066
Dhruv Goswami,Female,10/23/2018,Okhamandal,OBC,No,25531964,Christian,SARKARI MADYAMIK SCHOOL,Panchmahals,,1st,D,191-651-6273,DhruvGoswami@gmail.com,70428,Private,Nayantara Master,Hridaan Deo,Kashmiri,Maithili,Government Employee,Chef,Some College/Associate's Degree,High School,3261-2124-7997,9202-8578-1957-1513,Indian Bank,Joint,B-,Q16OO9SIDDU,380617
Riaan Sarna,Female,10/9/2018,Khanpur,DT,No,72956966,Christian,SARKARI MADYAMIK SCHOOL,Surendranagar,,9th,B,918-139-4807,RiaanSarna@gmail.com,91283,Private,Seher Mallick,Lakshay Kibe,Manipuri,Urdu,Sales Representative,Secretary,Vocational/Trade School,Vocational/Trade School,2812-4243-2645,8851-2693-2030-7306,Central Bank Of India,Individual,AB+,885ERHLJ6PL,380405
Amira Goda,Male,12/8/2018,Petlad,SEBC,No,31781669,Christian,SARKARI MADYAMIK SCHOOL,Kheda,,4th,C,942-208-1871,AmiraGoda@gmail.com,83253,Private,Nitya Mann,Sahil Rama,Hindi,Malayalam,Retired,Retired,No Formal Education,Primary School,1073-4012-5783,4297-9724-5258-9013,IDBI Bank,Joint,AB+,SVFHSU5HTVK,394983
Ela Wali,Male,9/4/2018,Babra,DT,No,68565420,Muslim,SARKARI MADYAMIK SCHOOL,Junagadh,,7th,D,776-441-8422,ElaWali@gmail.com,91898,Private,Hansh Chandra,Heer Buch,Urdu,Others,Doctor,Business Owner,Master's Degree,Middle School,1813-7673-9335,7332-6231-2512-1742,ICICI Bank,Joint,AB-,8D9TR89R1AP,387988
Lavanya Sangha,Female,7/23/2018,Bhachau,DT,No,80400196,Christian,SARKARI MADYAMIK SCHOOL,Sabarkantha,,3rd,B,102-307-4269,LavanyaSangha@gmail.com,87806,Private,Anaya Basak,Dishani Agate,Punjabi,Bodo,Sales Representative,Other,High School,Bachelor's Degree,7170-5223-9819,4864-4510-3067-4940,Central Bank Of India,Individual,AB-,AGT5YIBUDRK,392640
Divit Ganguly,Female,2/4/2018,Rajkot,DT,No,50211533,Hindu,SARKARI MADYAMIK SCHOOL,Valsad,,8th,C,332-649-3524,DivitGanguly@gmail.com,66152,Private,Kimaya Gopal,Divit Bail,Tamil,Nepali,Engineer,Labour,No Formal Education,Other/Unknown,8508-1777-7459,6242-5774-3857-9912,Indian Bank,Individual,O+,FFGVC2YW60W,390505
Aradhya Contractor,Male,1/24/2018,Anjar,SEBC,No,25335101,Hindu,SARKARI MADYAMIK SCHOOL,Gandhinagar,,10th,A,846-876-3905,AradhyaContractor@gmail.com,62608,Private,Reyansh Kata,Anvi Deo,Bodo,Punjabi,Doctor,Social Worker,Bachelor's Degree,Master's Degree,4536-3105-1230,2759-3891-4362-2096,Central Bank Of India,Joint,B+,104F3ZJE5YC,393416
Abram Bajwa,Female,6/1/2018,Keshod,SC,No,52345916,Muslim,SARKARI MADYAMIK SCHOOL,Tapi,,7th,D,596-814-6041,AbramBajwa@gmail.com,98665,Private,Samarth Bhat,Purab Gandhi,Malayalam,Sindhi,Driver,Sales Representative,High School,Bachelor's Degree,1415-1439-2802,1920-2484-5319-8975,IDBI Bank,Joint,O+,QF8I1ZEAVGY,387593
Eva Sachdev,Female,5/23/2018,Bagasara,General,No,63906789,Hindu,SARKARI MADYAMIK SCHOOL,Dahod,,12th,D,940-966-8711,EvaSachdev@gmail.com,59159,Private,Nitya Kadakia,Stuvan Chand,Konkani,Manipuri,Farmer,Accountant,High School,Some College/Associate's Degree,8610-3388-9973,9178-4085-8311-9390,HDFC Bank,Joint,AB-,XWCF6MQ5LU7,392439
Anaya Mammen,Female,3/11/2018,Kalavad,SC,No,58740487,Hindu,SARKARI MADYAMIK SCHOOL,Kheda,,4th,C,196-306-1386,AnayaMammen@gmail.com,36762,Private,Rasha Kala,Dishani Krishnamurthy,Konkani,Kashmiri,Business Owner,Government Employee,No Formal Education,Other/Unknown,2240-5209-7815,9446-4578-5239-8003,Indian Bank,Joint,AB-,6C5XEM31JG3,385006
Trisha Rege,Female,3/16/2018,Nakhatrana,OBC,No,27868242,Hindu,SARKARI MADYAMIK SCHOOL,Surat,,10th,C,262-525-2799,TrishaRege@gmail.com,99039,Private,Drishya Verma,Faiyaz Dhingra,Maithili,Telugu,Engineer,Chef,Vocational/Trade School,No Formal Education,7277-3531-9689,5216-6966-4775-9498,HDFC Bank,Joint,O+,2UZYY6ABG7I,383696
Miraan Majumdar,Female,1/7/2018,Vadgam,DT,No,25310490,Hindu,SARKARI MADYAMIK SCHOOL,The Dangs,,1st,A,682-363-8525,MiraanMajumdar@gmail.com,88695,Private,Khushi Keer,Hunar Devan,Urdu,Others,Teacher,Other,Vocational/Trade School,Middle School,5839-7122-1891,4894-4505-2935-7729,Indian Bank,Individual,AB+,2QZB5AYUHV6,390101
Stuvan Halder,Male,8/25/2018,Una,ST,No,34735486,Hindu,SARKARI MADYAMIK SCHOOL,Gandhinagar,,7th,A,493-772-1629,StuvanHalder@gmail.com,85848,Private,Anay Sachdeva,Advika Gade,Assamese,Gujarati,Sales Representative,Retired,Vocational/Trade School,Middle School,5233-4012-4722,4926-8197-4026-9206,IDBI Bank,Joint,O+,1CCAJRMB494,393939
Ojas Bhatnagar,Male,12/27/2018,Sanand,ST,No,47381856,Hindu,SARKARI MADYAMIK SCHOOL,Surat,,4th,B,171-721-3468,OjasBhatnagar@gmail.com,62453,Private,Adah Comar,Tanya Tata,Urdu,Punjabi,Construction Worker,IT Professional,Middle School,Doctorate/Ph.D.,2479-9245-1955,3399-4034-6042-1142,ICICI Bank,Joint,AB-,62OLXSYE4J9,382192
Gokul Saran,Male,8/11/2018,Bavla,SC,No,14698985,Muslim,SARKARI MADYAMIK SCHOOL,Ahmedabad,,8th,D,861-423-4022,GokulSaran@gmail.com,29789,Private,Mahika Mannan,Kismat Bansal,Telugu,Marathi,Construction Worker,Doctor,No Formal Education,Bachelor's Degree,8825-7686-8376,5618-7298-1056-2953,State Bank Of India,Joint,O+,GUS4NUDFWUO,389252
Riaan Mander,Female,11/26/2018,Kankrej,DT,No,99630095,Christian,SARKARI MADYAMIK SCHOOL,Anand,,4th,C,176-267-4285,RiaanMander@gmail.com,40137,Private,Nayantara Sen,Heer Kulkarni,Dogri,Marathi,Lawyer,Retired,Primary School,Middle School,9277-8147-3744,1884-4481-6158-2935,Central Bank Of India,Individual,AB+,SSPDVA5JO67,395972
Vedika Bakshi,Female,2/15/2018,Khanpur,ST,No,63303462,Hindu,SARKARI MADYAMIK SCHOOL,Valsad,,1st,D,979-316-2235,VedikaBakshi@gmail.com,41114,Private,Vritika Dasgupta,Diya Aurora,Others,Assamese,Lawyer,Nurse,Some College/Associate's Degree,No Formal Education,4826-4182-1556,9906-5583-4348-8860,Punjab National Bank,Individual,AB-,RSV53KJABD9,394891
