name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Damini Bajwa,Male,8/17/2018,Savarkundla,NT,No,35665548,Hindu,SARKARI UCCHATAR MADYAMIK SCHOOL,Patan,,5th,D,482-325-8695,DaminiBajwa@gmail.com,52043,Private,Vedika Taneja,Tiya Mandal,Nepali,Gujarati,Labour,Librarian,Some College/Associate's Degree,Master's Degree,3699-9633-8799,2671-3316-7887-1293,Punjab National Bank,Individual,B+,P2F0315DL2T,385719
Aradhya Brar,Male,3/25/2018,Deesa,SEBC,No,37534721,Hindu,SARKARI UCCHATAR MADYAMIK SCHOOL,Sabarkantha,,6th,D,644-992-6164,AradhyaBrar@gmail.com,94199,Private,Hazel Rao,Ivan Chada,Punjabi,Bodo,Sales Representative,Government Employee,High School,Middle School,4046-7700-7764,2428-3379-9764-4221,Central Bank Of India,Joint,B+,248L43VLEGX,386556
Hrishita Agate,Female,3/3/2018,Kalavad,General,No,17575717,Christian,SARKARI UCCHATAR MADYAMIK SCHOOL,Mahesana,,4th,D,211-475-9045,HrishitaAgate@gmail.com,91004,Private,Kartik Madan,Advika Wason,Dogri,Malayalam,Lawyer,Librarian,Other/Unknown,Other/Unknown,5876-4569-9618,3814-1764-3365-7323,HDFC Bank,Joint,O+,R4Z0RMU4GVL,383438
Riya Tandon,Female,6/10/2018,Bhiloda,DT,No,87391420,Muslim,SARKARI UCCHATAR MADYAMIK SCHOOL,Vadodara,,4th,D,819-780-7705,RiyaTandon@gmail.com,79266,Private,Kaira Dhingra,Anahi Shere,Konkani,Tamil,Doctor,Homemaker,No Formal Education,Master's Degree,6975-7743-7349,6094-7455-8910-9903,Axis Bank,Joint,B-,6J7PJZMYO14,386870
Purab Subramanian,Male,9/14/2018,Jodiya,ST,No,16594904,Christian,SARKARI UCCHATAR MADYAMIK SCHOOL,Gandhinagar,,1st,B,822-757-9119,PurabSubramanian@gmail.com,66855,Private,Riaan Sandal,Aradhya Cheema,Bodo,Assamese,Labour,Social Worker,Doctorate/Ph.D.,Primary School,6914-8357-4537,8472-6682-9498-7899,Indian Bank,Joint,B-,3SQ3XZTCT58,396478
Jayesh Sani,Male,7/19/2018,Sayla,SC,No,42096015,Muslim,SARKARI UCCHATAR MADYAMIK SCHOOL,Patan,,12th,D,465-397-1562,JayeshSani@gmail.com,78590,Private,Vihaan Vala,Anaya Ramesh,Urdu,Bodo,Farmer,Accountant,Middle School,Vocational/Trade School,6995-9000-8966,8537-4489-6763-2371,Punjab National Bank,Individual,B-,2M0FSC6V82Z,384675
Indranil Mallick,Female,10/28/2018,Dasada,DT,No,56593401,Muslim,SARKARI UCCHATAR MADYAMIK SCHOOL,Narmada,,10th,D,231-434-5688,IndranilMallick@gmail.com,34358,Private,Anvi Sem,Amira Dass,Santali,Nepali,Driver,Pharmacist,Bachelor's Degree,Bachelor's Degree,6088-1600-7279,5059-3862-7390-4375,State Bank Of India,Joint,A+,CT6QU916F2M,384134
Devansh Dey,Female,5/26/2018,Sihor,DT,No,19985568,Muslim,SARKARI UCCHATAR MADYAMIK SCHOOL,The Dangs,,4th,C,524-758-6871,DevanshDey@gmail.com,29586,Private,Anika Char,Sumer Bose,Kannada,Oriya,Accountant,Homemaker,Some College/Associate's Degree,Primary School,5999-5333-2026,1483-6386-7570-7632,Indian Bank,Joint,AB-,5WQV9J2TJF3,390785
Aarav Saran,Female,3/27/2018,Limdi,ST,No,86034561,Muslim,SARKARI UCCHATAR MADYAMIK SCHOOL,Tapi,,3rd,B,879-970-6316,AaravSaran@gmail.com,79063,Private,Kismat Butala,Ranbir Kapur,Santali,Konkani,Engineer,Librarian,Primary School,Vocational/Trade School,7185-1833-5521,6421-5049-4279-4801,IDBI Bank,Joint,AB-,3IZ8Y68CGYP,384047
Yuvraj  Andra,Male,12/2/2018,Ranavav,SC,No,63009774,Hindu,SARKARI UCCHATAR MADYAMIK SCHOOL,Sabarkantha,,12th,B,642-689-1883,YuvrajAndra@gmail.com,99791,Private,Vanya Saran,Kartik Seth,Tamil,Others,Accountant,Homemaker,Some College/Associate's Degree,Master's Degree,4523-1116-7205,5722-7622-8208-9425,Central Bank Of India,Individual,AB-,QWI9G7QLEAB,381683
Nishith Taneja,Male,5/8/2018,Kheralu,SEBC,No,98151685,Christian,SARKARI UCCHATAR MADYAMIK SCHOOL,Kheda,,6th,B,733-684-8999,NishithTaneja@gmail.com,93426,Private,Darshit Sani,Kartik Varma,Dogri,Punjabi,Construction Worker,Sales Representative,Vocational/Trade School,Bachelor's Degree,1031-2404-3005,9860-4855-6386-5852,State Bank Of India,Joint,O+,X7HJXY3P7GF,380205
Dhanuk Ravel,Female,10/4/2018,Jodiya,General,No,22615031,Muslim,SARKARI UCCHATAR MADYAMIK SCHOOL,Porbandar,,12th,C,935-516-3519,DhanukRavel@gmail.com,61141,Private,Zeeshan Ramachandran,Badal Gole,Konkani,Punjabi,Government Employee,Accountant,Primary School,Primary School,1161-3865-2146,1323-2910-7072-1122,HDFC Bank,Joint,A-,3RMX8JX56B4,385581
Onkar Anand,Female,2/14/2018,Kalol,OBC,No,50126935,Christian,SARKARI UCCHATAR MADYAMIK SCHOOL,Gandhinagar,,3rd,A,789-179-8041,OnkarAnand@gmail.com,48078,Private,Mehul Rajagopalan,Onkar Bhat,Others,Oriya,IT Professional,Homemaker,Primary School,High School,6863-6305-8377,8778-7607-6036-8170,Punjab National Bank,Individual,O+,BYMS9Y08S0S,395522
Siya Butala,Male,10/10/2018,Sidhpur,OBC,No,65079109,Christian,SARKARI UCCHATAR MADYAMIK SCHOOL,Sabarkantha,,12th,C,396-568-8715,SiyaButala@gmail.com,29333,Private,Kiaan Bhakta,Zain Majumdar,Maithili,Marathi,IT Professional,Teacher,Bachelor's Degree,Some College/Associate's Degree,9160-3786-7550,6122-3934-2627-3421,Axis Bank,Individual,AB-,AVX5UPS6JGY,392200
Anvi Reddy,Male,10/10/2018,Amirgadh,SEBC,No,18141792,Christian,SARKARI UCCHATAR MADYAMIK SCHOOL,Tapi,,11th,A,630-499-9266,AnviReddy@gmail.com,91065,Private,Miraya Sridhar,Lakshit Sundaram,Malayalam,Oriya,Engineer,Government Employee,Some College/Associate's Degree,Some College/Associate's Degree,3455-4704-5501,5183-9482-8671-2350,Central Bank Of India,Individual,B+,NXCF25EYLNZ,388497
Anaya Arora,Male,2/10/2018,Lalpur,DT,No,98297717,Christian,SARKARI UCCHATAR MADYAMIK SCHOOL,Sabarkantha,,8th,A,931-365-5710,AnayaArora@gmail.com,87083,Private,Indranil Gopal,Tarini Saraf,Marathi,Santali,Driver,Labour,Middle School,No Formal Education,5211-5108-7524,7074-5358-6889-8350,Indian Bank,Joint,O+,C59WHSHVQZF,394523
Dhanuk Bajaj,Male,8/8/2018,Vijaynagar,SEBC,No,87909726,Muslim,SARKARI UCCHATAR MADYAMIK SCHOOL,Valsad,,6th,B,246-368-3215,DhanukBajaj@gmail.com,66766,Private,Manjari Kar,Ryan Choudhry,Malayalam,Telugu,Other,Labour,Vocational/Trade School,High School,4641-8676-3201,1285-7571-5474-3980,State Bank Of India,Joint,AB-,91XQ0ZZCF5M,385060
Saira Varkey,Female,2/1/2018,Sutrapada,OBC,No,52389562,Hindu,SARKARI UCCHATAR MADYAMIK SCHOOL,Amreli,,8th,D,802-473-6863,SairaVarkey@gmail.com,46111,Private,Taimur Ghose,Zaina Batra,Malayalam,Santali,Government Employee,Retired,Middle School,High School,9649-7244-9212,2708-2952-4031-2745,State Bank Of India,Joint,O+,Y1MQIXYGIYF,392892
Vanya Dutta,Female,1/21/2018,Wadhwan,SC,No,50605287,Christian,SARKARI UCCHATAR MADYAMIK SCHOOL,Patan,,9th,D,528-463-2735,VanyaDutta@gmail.com,54507,Private,Kanav Majumdar,Adira Handa,Telugu,Bodo,Construction Worker,Nurse,Other/Unknown,Master's Degree,8419-4221-6182,1523-9568-8257-7775,Axis Bank,Joint,A+,NHRLHA6HE4Y,387992
Priyansh Bandi,Female,7/3/2018,Chuda,OBC,No,59553844,Muslim,SARKARI UCCHATAR MADYAMIK SCHOOL,Valsad,,10th,C,906-136-1097,PriyanshBandi@gmail.com,40059,Private,Bhavin Ganesh,Abram Bora,Bodo,Bodo,Construction Worker,Retired,Some College/Associate's Degree,Some College/Associate's Degree,1484-7061-9509,5172-4198-4848-6108,Indian Bank,Joint,B-,5YA7XHW9WYK,381978
