name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Pihu Behl,Male,12/21/2018,Ranavav,ST,No,87710438,Hindu,SHREE HARDHOL GOVT. HIGH SCHOOL,Amreli,,12th,A,944-663-3310,PihuBehl@gmail.com,84856,Government,Nehmat Desai,Neysa Behl,Dogri,Gujarati,Driver,Librarian,Master's Degree,Primary School,1192-4973-8244,7970-5756-8268-4878,Indian Bank,Joint,A+,WNIFGPU1VDO,385750
Dhruv Toor,Male,5/27/2018,Paddhari,DT,No,43985430,Christian,SHREE HARDHOL GOVT. HIGH SCHOOL,Gandhinagar,,5th,A,313-876-2756,DhruvToor@gmail.com,87811,Government,Myra Saran,Veer Ravel,Punjabi,Marathi,Driver,Government Employee,Bachelor's Degree,Some College/Associate's Degree,7832-6207-2686,8218-9066-7664-8597,Punjab National Bank,Individual,AB+,EXA28YAQCO6,392030
Anya Malhotra,Female,5/15/2018,Palitana,SC,No,94598524,Muslim,SHREE HARDHOL GOVT. HIGH SCHOOL,Navsari,,4th,B,541-975-9619,AnyaMalhotra@gmail.com,79455,Government,Alia Kothari,Ira Thakur,Dogri,Nepali,Accountant,Sales Representative,Primary School,Other/Unknown,1910-5656-9616,8160-2507-9206-6973,Axis Bank,Individual,A-,7ISADLVGM2U,380989
Dharmajan Lall,Female,7/6/2018,Jamkandorna,SC,No,79249679,Muslim,SHREE HARDHOL GOVT. HIGH SCHOOL,Ahmedabad,,10th,B,328-973-3560,DharmajanLall@gmail.com,44181,Government,Yuvaan Acharya,Madhav Rau,Kashmiri,Marathi,Construction Worker,Teacher,Doctorate/Ph.D.,Vocational/Trade School,2616-4292-4836,7167-9523-7996-6456,Central Bank Of India,Individual,A+,AYLGV3A8AMD,397465
Alisha Subramanian,Female,10/13/2018,Lakhpat,ST,No,48705561,Christian,SHREE HARDHOL GOVT. HIGH SCHOOL,Sabarkantha,,2nd,A,702-569-2239,AlishaSubramanian@gmail.com,76323,Government,Madhup Bala,Anaya Toor,Kannada,Others,IT Professional,Homemaker,Doctorate/Ph.D.,Some College/Associate's Degree,7019-8891-4600,2159-4579-5646-7419,Axis Bank,Joint,AB-,NVXGTT3B7TX,388803
Arnav Upadhyay,Male,6/23/2018,Talala,OBC,No,10233827,Hindu,SHREE HARDHOL GOVT. HIGH SCHOOL,Surat,,12th,C,522-125-5377,ArnavUpadhyay@gmail.com,80991,Government,Himmat Jha,Tushar Balan,Assamese,Konkani,Sales Representative,Labour,Middle School,Other/Unknown,1644-4438-2431,6914-4341-6220-5129,ICICI Bank,Joint,A-,2NIVAWS1U2E,387788
Hunar Thakur,Female,2/16/2018,Babra,SC,No,32088170,Muslim,SHREE HARDHOL GOVT. HIGH SCHOOL,Valsad,,7th,C,994-642-7091,HunarThakur@gmail.com,33716,Government,Aniruddh Chawla,Akarsh Hayre,Bangla,Punjabi,Accountant,Nurse,No Formal Education,Middle School,5367-5333-5314,5448-5178-8311-7025,Axis Bank,Joint,AB-,4VXYLHPRWZG,390009
Sumer Sangha,Male,6/9/2018,Lilia,SC,No,81597932,Hindu,SHREE HARDHOL GOVT. HIGH SCHOOL,Navsari,,4th,B,898-710-5203,SumerSangha@gmail.com,86454,Government,Vritika Keer,Miraya Tank,Maithili,Konkani,Business Owner,Teacher,Other/Unknown,Vocational/Trade School,8141-5068-2690,2341-9889-5964-6939,Central Bank Of India,Joint,AB-,ICRC6PEYSOK,386108
Myra Mand,Female,4/17/2018,Anklav,DT,No,36413221,Muslim,SHREE HARDHOL GOVT. HIGH SCHOOL,Ahmedabad,,8th,B,672-826-6188,MyraMand@gmail.com,94618,Government,Zoya Hora,Diya Sarna,Punjabi,Oriya,Driver,Labour,Bachelor's Degree,No Formal Education,7260-7478-9793,2647-7957-2580-4056,Indian Bank,Joint,O+,9VU41F10XAI,384877
Veer Joshi,Female,10/28/2018,Bhesan,SC,No,10666022,Muslim,SHREE HARDHOL GOVT. HIGH SCHOOL,Anand,,3rd,B,886-908-1197,VeerJoshi@gmail.com,93092,Government,Darshit Tandon,Tanya Saran,Urdu,Others,Artist,Business Owner,Vocational/Trade School,Middle School,3203-5540-4283,9371-7657-9029-9866,State Bank Of India,Joint,O+,WYM1BTYWT8X,384955
Vivaan Kamdar,Male,9/11/2018,Kutiyana,SC,No,34209726,Hindu,SHREE HARDHOL GOVT. HIGH SCHOOL,Amreli,,5th,D,968-450-5858,VivaanKamdar@gmail.com,26726,Government,Pari Bandi,Eshani Shan,Kashmiri,Manipuri,Chef,Pharmacist,Master's Degree,Bachelor's Degree,6485-9281-4775,7238-8488-6309-9536,Indian Bank,Joint,O+,Q9U178YKVIJ,399850
Saksham Reddy,Male,10/8/2018,Halol,DT,No,31761133,Hindu,SHREE HARDHOL GOVT. HIGH SCHOOL,Mahesana,,4th,D,278-775-1461,SakshamReddy@gmail.com,41398,Government,Samiha Ratti,Nishith Raval,Kannada,Others,Accountant,Teacher,Primary School,Vocational/Trade School,5969-9908-1025,4050-7525-4564-7766,HDFC Bank,Joint,B-,7NBYZ4BWRSR,393106
Anaya Krish,Male,11/2/2018,Sanand,ST,No,22003771,Christian,SHREE HARDHOL GOVT. HIGH SCHOOL,Sabarkantha,,1st,D,537-291-8997,AnayaKrish@gmail.com,83223,Government,Lakshay Goel,Hazel Kothari,Bangla,Others,Chef,Sales Representative,High School,No Formal Education,8983-1504-8550,9460-2346-8412-6266,State Bank Of India,Joint,B-,29EE9CCGWAC,390980
Nakul Lall,Male,2/17/2018,Daskroi,SC,No,19471659,Hindu,SHREE HARDHOL GOVT. HIGH SCHOOL,Porbandar,,10th,A,671-771-8799,NakulLall@gmail.com,73085,Government,Anya Sinha,Taran Bassi,Hindi,Dogri,Business Owner,Pharmacist,Other/Unknown,Bachelor's Degree,7761-5299-9052,7041-2486-7802-7981,Central Bank Of India,Individual,A+,KG9AINWA9DF,387393
Baiju Chakrabarti,Male,1/4/2018,Shehera,OBC,No,49769233,Christian,SHREE HARDHOL GOVT. HIGH SCHOOL,Surat,,11th,C,348-887-4827,BaijuChakrabarti@gmail.com,91316,Government,Khushi Kar,Vanya Kapur,Nepali,Kashmiri,Driver,Retired,No Formal Education,Other/Unknown,9464-2830-3703,1005-2486-6436-3889,Punjab National Bank,Individual,AB-,QL1CDVUZTUQ,385110
Taimur Ramachandran,Male,1/4/2018,Borsad,OBC,No,20570012,Muslim,SHREE HARDHOL GOVT. HIGH SCHOOL,Mahesana,,10th,C,733-443-9009,TaimurRamachandran@gmail.com,89420,Government,Armaan Soman,Zeeshan Rege,Sindhi,Santali,Doctor,Doctor,High School,Some College/Associate's Degree,2541-3158-5721,4634-2155-8774-9783,Punjab National Bank,Joint,B+,JDMLJRTM5DS,393506
Biju Tandon,Female,6/11/2018,Kheda,OBC,No,64838230,Christian,SHREE HARDHOL GOVT. HIGH SCHOOL,Navsari,,8th,B,909-932-5015,BijuTandon@gmail.com,42484,Government,Anya Bali,Miraan Bali,Assamese,Oriya,Doctor,Homemaker,Doctorate/Ph.D.,Middle School,9921-6854-5629,2766-5477-8977-8352,Punjab National Bank,Individual,A+,1350BK72E9K,382990
Aniruddh Vaidya,Female,6/1/2018,Mandvi,ST,No,41193733,Hindu,SHREE HARDHOL GOVT. HIGH SCHOOL,Anand,,5th,B,710-756-3800,AniruddhVaidya@gmail.com,96032,Government,Jayesh Thakkar,Trisha Lala,Assamese,Urdu,Other,Nurse,Vocational/Trade School,Doctorate/Ph.D.,8947-2917-7007,7494-1047-9060-6688,IDBI Bank,Joint,A-,1CP09Q298M8,397394
Jayant Dhillon,Male,7/19/2018,Vadali,ST,No,39434540,Christian,SHREE HARDHOL GOVT. HIGH SCHOOL,The Dangs,,11th,D,933-641-8141,JayantDhillon@gmail.com,84639,Government,Ritvik Dalal,Stuvan Dube,Dogri,Telugu,Manager,IT Professional,Master's Degree,Bachelor's Degree,3318-6972-8856,9801-3591-8602-9804,Axis Bank,Individual,AB-,H5D3RZTEHG0,392708
Hridaan Sampath,Male,5/16/2018,Okhamandal,SC,No,83874026,Christian,SHREE HARDHOL GOVT. HIGH SCHOOL,Gandhinagar,,2nd,D,154-208-7110,HridaanSampath@gmail.com,56996,Government,Ranbir Thaker,Tarini Hayer,Maithili,Oriya,Manager,Social Worker,Bachelor's Degree,Primary School,5499-8006-7835,4515-1340-6460-8057,HDFC Bank,Individual,AB-,017KY8B3PSO,392471
Jivin Johal,Male,2/11/2018,Una,ST,No,33704971,Hindu,SHREE HARDHOL GOVT. HIGH SCHOOL,Vadodara,,7th,B,773-875-5360,JivinJohal@gmail.com,27428,Government,Taimur Krishnan,Inaaya  Lala,Marathi,Telugu,Farmer,Other,High School,Bachelor's Degree,8386-8435-1199,8283-3559-6625-4070,HDFC Bank,Joint,A-,3UPTFOENSZ3,386689
Riya Barad,Male,3/13/2018,Visnagar,SC,No,10736087,Muslim,SHREE HARDHOL GOVT. HIGH SCHOOL,Porbandar,,8th,D,724-464-3519,RiyaBarad@gmail.com,36864,Government,Taimur Dugar,Nishith Banerjee,Kannada,Assamese,Labour,Librarian,Doctorate/Ph.D.,Some College/Associate's Degree,7099-3046-4132,7215-4617-6464-1871,State Bank Of India,Individual,AB+,V29HMBMVT1A,389084
