name,gender,dob,city,community,discontinue,usiNo,religion,school,district,discontinueReason,class,section,mobileNumber,emailId,familyIncome,schoolType,fathersName,mothersName,mediumOfInstruction,motherTongue,fathersOccupation,mothersOccupation,fathersEducation,mothersEducation,aadhaar,accountNumber,bankName,accountType,bloodGroup,ifscCode,pincode
Mehul Babu,Male,3/20/2018,Sayla,General,No,17098540,Hindu,SHRI GOVERNMENT HIGH SCHOOL,Banaskantha,,2nd,B,268-629-5416,MehulBabu@gmail.com,27665,Government,Aradhya Gala,Devansh Mahajan,Urdu,Gujarati,Sales Representative,Government Employee,Other/Unknown,Doctorate/Ph.D.,6370-2405-3844,4565-3201-9650-5195,IDBI Bank,Individual,B+,SCLHZ10XWL5,388168
Arnav Sama,Male,1/5/2018,Lathi,DT,No,83050699,Christian,SHRI GOVERNMENT HIGH SCHOOL,Valsad,,6th,A,119-519-7993,ArnavSama@gmail.com,29720,Government,Vivaan Verma,Sahil Shan,Assamese,Marathi,Lawyer,Social Worker,Bachelor's Degree,No Formal Education,8183-5921-2276,5564-3980-8891-1479,Punjab National Bank,Individual,A+,Q314ASP89UE,388440
Ritvik Kothari,Male,3/23/2018,Vanthali,DT,No,54927986,Christian,SHRI GOVERNMENT HIGH SCHOOL,Bhavnagar,,4th,B,748-991-8057,RitvikKothari@gmail.com,65283,Government,Hrishita Loyal,Suhana Dass,Nepali,Telugu,Chef,Nurse,Vocational/Trade School,Primary School,5999-1722-4338,2425-5812-7587-7865,State Bank Of India,Joint,AB+,J0GL8WIICBL,389635
Devansh Vohra,Female,11/27/2018,Jamkandorna,ST,No,61243057,Muslim,SHRI GOVERNMENT HIGH SCHOOL,Jamnagar,,5th,B,621-831-5857,DevanshVohra@gmail.com,61818,Government,Zain Sachar,Manikya Sule,Telugu,Kashmiri,Lawyer,Manager,Vocational/Trade School,High School,7477-5003-8862,5736-1705-5340-6527,Central Bank Of India,Joint,AB-,HJ7KO7ATB4V,385128
Taran Ben,Male,4/9/2018,Modasa,DT,No,41233631,Muslim,SHRI GOVERNMENT HIGH SCHOOL,Narmada,,11th,C,811-801-3893,TaranBen@gmail.com,93553,Government,Darshit Bhatia,Eva Sangha,Konkani,Santali,Doctor,IT Professional,No Formal Education,Doctorate/Ph.D.,7390-1482-6790,1600-2044-2052-1812,Punjab National Bank,Individual,B-,R7SQQP3C21T,382521
Drishya Char,Male,8/20/2018,Radhanpur,ST,No,70047122,Christian,SHRI GOVERNMENT HIGH SCHOOL,Dahod,,2nd,A,982-379-4863,DrishyaChar@gmail.com,30490,Government,Aarav Kota,Tara Varma,Dogri,Nepali,Engineer,Sales Representative,Primary School,Some College/Associate's Degree,1725-8587-8487,6065-9600-6970-4960,ICICI Bank,Joint,O+,Q7H8E6982AL,386226
Charvi Bora,Male,8/6/2018,Harij,SEBC,No,97012093,Christian,SHRI GOVERNMENT HIGH SCHOOL,Bharuch,,3rd,C,741-426-1299,CharviBora@gmail.com,95666,Government,Drishya Chakrabarti,Priyansh Batta,Bodo,Assamese,Other,Nurse,Doctorate/Ph.D.,Middle School,4654-9012-9048,3692-5968-7224-8981,Indian Bank,Joint,A-,WJ6Q8GUX8GX,385840
Indrajit Bhagat,Male,2/3/2018,Vallabhipur,DT,No,49632387,Muslim,SHRI GOVERNMENT HIGH SCHOOL,Ahmedabad,,5th,C,382-102-9084,IndrajitBhagat@gmail.com,70941,Government,Samiha Dutt,Vihaan Chander,Sindhi,Hindi,IT Professional,Social Worker,High School,Doctorate/Ph.D.,8125-3000-1620,5251-5108-4213-1700,Indian Bank,Individual,A+,G9WLIYDULVA,397076
Jiya Lanka,Female,3/14/2018,Idar,ST,No,46794423,Hindu,SHRI GOVERNMENT HIGH SCHOOL,Sabarkantha,,2nd,A,975-220-2140,JiyaLanka@gmail.com,33938,Government,Rhea Varkey,Kartik Dora,Others,Kannada,IT Professional,Manager,Middle School,Doctorate/Ph.D.,2540-3901-2098,7597-2722-2631-2118,State Bank Of India,Individual,A+,YEP73MYY4Z0,383972
Adah Kunda,Male,8/4/2018,Mehmedabad,DT,No,98289991,Muslim,SHRI GOVERNMENT HIGH SCHOOL,Tapi,,8th,C,735-519-8315,AdahKunda@gmail.com,72476,Government,Kavya Shere,Saksham Chokshi,Dogri,Nepali,Business Owner,Other,No Formal Education,Vocational/Trade School,1791-9272-5125,5634-6035-6832-7808,HDFC Bank,Individual,B-,Y8HX95MI1A4,394463
